seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_police.tob,25,,未翻,
2,0x1c,system,system,kw_police.sts,13,,未翻,
3,0x2c,dialogue,label,ROM2_KW_警官,12,ROM2_KW_警官,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_警官,16,ROM2_KW會話_警官,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_警官_昇,16,ROM2_KW_警官_昇,人工定稿,
8,0x8c,system,system,0312,4,,未翻,
9,0x91,dialogue,narrative,lic｢自分が警官だｯﾀﾗﾅｧ｣,22,lic｢如果我是警官就好｣,人工定稿,P7 校对修正: なぁ 愿望语气漏译
10,0xa8,system,system,2000,4,,未翻,
11,0xad,dialogue,narrative,lic｢警官がﾖｶｯﾀﾉｶ?｣,18,lic｢當警官較好?｣,人工定稿,P7 校对修正: 补回缺失的收尾引号
12,0xc0,system,system,0313,4,,未翻,
13,0xc5,dialogue,narrative,lic｢ﾅﾝﾄﾅｸ安全ﾅ気がｽﾙｹど,23,lic｢總覺得比較安全，但,人工定稿,P7 校对修正: けど 连接词漏译
14,0xe0,dialogue,narrative,実際ｿｳでﾓﾅｲﾖﾅ｣,14,實際上不盡然｣,人工定稿,P7 校对修正: そうでもない 误译
15,0xf0,system,system,2001,4,,未翻,
16,0xf5,dialogue,narrative,lic｢ｱｧ､自分ｦ指名ｽﾚばｼばﾗｸﾊ持ﾂが,31,lic｢指名自己的話能維持一陣，但,人工定稿,P7 校对修正: しばらく/が 漏译
17,0x118,dialogue,narrative,ｿﾉ間最低でﾓ1人ずﾂﾊ死ﾝでｼﾏｳｶﾗﾅ｣,30,其間至少也會死一個人呀｣,人工定稿,"P7 校对修正: その間 误译, からな 补语气"
18,0x138,system,system,0314,4,,未翻,
19,0x13d,dialogue,narrative,lic｢だﾖﾅｧ｡,10,lic｢對呀。,人工定稿,P7 校对修正: だよなぁ 承答位口径(对照 kw_detect 同类行)
20,0x148,dialogue,narrative,人が死ﾇﾀびﾆ自分ﾉｾｲだｯﾃ,22,毎當有人死便覺自己害的,人工定稿,P7 校对修正
21,0x160,dialogue,narrative,感じﾙだﾛｳｼﾅ｣,12,會這麼想的｣,人工定稿,P7 校对修正: だろう 的「哦」花按 v1.4 卡改陈述
22,0x170,system,system,2002,4,,未翻,
23,0x175,dialogue,narrative,lic｢ｶﾄｲｯﾃ誰ｶｦ守ｯﾃ予想が外ﾚﾃﾓ,28,lic｢但就算守了誰，預想落空,人工定稿,P7 校对修正: かといって/ても 结构补全
24,0x194,dialogue,narrative,一緒だがﾅ｣,10,也是一樣｣,人工定稿,导入警告: kana_residue
25,0x19f,system,system,t0315,5,,未翻,
26,0x1a5,dialogue,narrative,lic｢ｳｰﾝ､ﾔｯぱ俺ﾊ市民でﾖｶｯﾀﾖ｣,27,lic｢唔，我還是當市民好｣,人工定稿,P7 校对修正: うーん 漏译
27,0x1c4,dialogue,narrative,ロム2_KW_警官_香菜,18,ROM2_KW_警官_香菜,人工定稿,
28,0x1d8,dialogue,narrative,｢警官ﾈｰ､ﾐﾝﾅ警官ﾆﾅｯﾁｬｴば,23,｢警官呀，都當警官的話,人工定稿,P7 校对修正: 补回缺失的开引号
29,0x1f0,dialogue,narrative,誰ﾓ死ﾅﾅｸﾃ済ﾑﾉﾆﾈ｣,16,就誰都不用死了｣,人工定稿,导入警告: kana_residue
30,0x204,system,system,2003,4,,未翻,
31,0x209,dialogue,narrative,lic｢ｿﾚでﾊゲームが成立ｼﾅｲｶﾗﾅ……,31,lic｢那樣的話遊戲就不成立呀……,人工定稿,P7 校对修正: それでは/からな 补全
32,0x22c,dialogue,narrative,ｿﾝﾅルールﾆﾊﾅﾗﾅｲだﾛｳﾅ｣,21,應該不會有那種規則｣,人工定稿,P7 校对修正: だろうな 的「哦」花改陈述
33,0x244,dialogue,narrative,｢成立ｼﾅｲｶﾗ良ｲﾝじｬﾅｲ｣,20,｢不成立不也挺好?｣,人工定稿,P7 校对修正: 良いんじゃない 求确认句尾按卡改问句
34,0x25c,dialogue,narrative,何ｶ含ﾐﾉｱﾘｿｳﾅ言ｲ方だﾅ……?,25,像是話中有話的説法……?,人工定稿,P7 校对修正: 何か/含み/ありそう/言い方 漏译
35,0x278,dialogue,narrative,ロム2_KW_警官_圭介,18,ROM2_KW_警官_圭介,人工定稿,
36,0x28c,system,system,0181,4,,未翻,
37,0x291,dialogue,narrative,lic｢警官が2人ｲﾀﾗﾖｶｯﾀﾉﾆ……｣,27,lic｢有兩個警官就好了……｣,人工定稿,P7 校对修正: 补回缺失的收尾引号
38,0x2b0,system,system,2004,4,,未翻,
39,0x2b5,dialogue,narrative,lic｢ﾌﾑ｡ｿｳｼﾀﾗ何ｶ策でﾓｱｯﾀﾉｶ?｣,27,lic｢唔。那有什麼計策?｣,人工定稿,"P7 校对修正: ﾌﾑ 误译, 收尾引号缺失"
40,0x2d4,system,system,0182,4,,未翻,
41,0x2d9,dialogue,narrative,lic｢ｲｴ……霞が心配でﾂｲ……｣,27,lic｢不……忍不住擔心霞｣,人工定稿,"P7 校对修正: つい 漏译, 收尾引号缺失"
42,0x2f8,dialogue,narrative,ロム2_KW_警官_霞,16,ROM2_KW_警官_霞,人工定稿,
43,0x30c,system,system,0184,4,,未翻,
44,0x311,dialogue,narrative,lic｢私が警官だｯﾀﾗ……,21,lic｢如果我是警官……,人工定稿,导入警告: kana_residue
45,0x328,dialogue,narrative,圭ｸﾝｦ守ｯﾃｱげﾗﾚﾀﾉﾆ……｣,22,就能保護圭了……｣,人工定稿,导入警告: kana_residue
46,0x340,system,system,2005,4,,未翻,
47,0x345,dialogue,narrative,lic｢ｼｶｼ､ｿﾚｦｼﾃｼﾏｯﾀﾗ,18,lic｢但那樣做的話,人工定稿,导入警告: kana_residue
48,0x358,dialogue,narrative,樫沢氏ﾉ作戦ﾊ失敗ｽﾙぞ?｣,22,樫澤的作戰會失敗哇?｣,人工定稿,"P7 校对修正: だぞ 按口径作「哇」, 补 の"
49,0x370,system,system,0185,4,,未翻,
50,0x375,dialogue,narrative,lic｢ｿｳ……でｽﾖﾈ……ごﾒﾝﾅｻｲ……｣,31,lic｢是呀……對不起……｣,人工定稿,"P7 校对修正: ですよね 漏译, 收尾引号缺失"
51,0x398,dialogue,narrative,ロム2_KW_警官_美紀,18,ROM2_KW_警官_美紀,人工定稿,
52,0x3ac,system,system,1110,4,,未翻,
53,0x3b1,dialogue,narrative,lic｢ｱﾀｼが警官だｯﾀﾗ,18,lic｢如果我是警官,人工定稿,导入警告: kana_residue
54,0x3c4,dialogue,narrative,ｵ姉ｻﾏﾊ絶対安全だｯﾀﾉﾆ!!｣,23,姐姐大人就絶對安全!!｣,人工定稿,导入警告: kana_residue
55,0x3dc,system,system,2006,4,,未翻,
56,0x3e1,dialogue,narrative,lic｢ｿﾚでﾊ樫沢氏ﾉ作戦が成立ｼﾅｲｼ,30,lic｢那樣樫澤的作戰就不成立,人工定稿,P7 校对修正: の 漏译
57,0x400,dialogue,narrative,君ﾓ危険だﾄ思ｳが?｣,17,也會有危險?｣,人工定稿,P7 校对修正: 求确认句尾禁「哦」(v1.4 卡)
58,0x414,system,system,1111,4,,未翻,
59,0x419,dialogue,narrative,lic｢ｿﾚでﾓｲｲﾝｽ!,14,lic｢無所謂!,人工定稿,导入警告: kana_residue
60,0x428,dialogue,narrative,ｵ姉ｻﾏが無事ﾅﾗ!｣,15,姐姐大人平安!｣,人工定稿,导入警告: kana_residue
61,0x438,dialogue,narrative,正直､彼女が警官でﾅｸﾃﾖｶｯﾀ……｡,29,説實話，幸好美紀不是警官……,人工定稿,P7 校对修正: 补回省略号
62,0x458,dialogue,narrative,ロム2_KW_警官_ﾊﾙｶ,17,ROM2_KW_警官_遙,人工定稿,
63,0x46c,system,system,0122,4,,未翻,
64,0x471,dialogue,narrative,lic｢……ｹｲｶﾝ? 知ｯﾃﾙﾖ｣,21,lic｢……警官?知道哦｣,人工定稿,P7 校对修正: 补回缺失的收尾引号
65,0x488,system,system,2007,4,,未翻,
66,0x48d,dialogue,narrative,lic｢本当ｶ!?｣,12,lic｢真的!?｣,人工定稿,P7 校对修正: 补回缺失的收尾引号
67,0x49a,system,system,st0123,6,,未翻,
68,0x4a1,dialogue,narrative,lic｢ｳﾝ｡薫ｻﾝ｣,12,lic｢對。薰｣,人工定稿,"P7 校对修正: うん 误译, 补回收尾引号"
69,0x4ae,system,system,st2008,6,,未翻,
70,0x4b5,dialogue,narrative,lic｢……ｿｳｶ｣,12,lic｢……哦｣,人工定稿,"P7 校对修正: そうか 误译, 补回收尾引号"
71,0x4c2,dialogue,narrative,stｲﾔ､可能性ﾊ否ﾒﾅｲが……,23,st不，不能説不可能……,人工定稿,P7 校对修正: 否めない 语义不清
72,0x4dc,dialogue,narrative,彼女ﾊｵｿﾗｸ質問ﾉ意図ｦ勘違ｲｼﾃｲﾙﾅ｡,30,他大概誤解了提問的意圖。,人工定稿,P7 校对修正: 質問の意図 漏译
73,0x4fc,dialogue,narrative,どｯﾁﾆｼﾛ知ﾗﾅｲﾄｲｳｺﾄだﾛｳが……｡,28,總之大概就是不知道……。,人工定稿,P7 校对修正: だろう 漏译
74,0x51c,dialogue,narrative,ロム2_KW_警官_ﾂﾑじ,18,ROM2_KW_警官_旋,人工定稿,
75,0x530,system,system,0139,4,,未翻,
76,0x535,dialogue,narrative,lic｢警官? ｯﾃ､薫ｻﾝじｬﾅｲでｽﾖﾈ｣,28,lic｢警官?不是指薰對不?｣,人工定稿,P7 校对修正: じゃないですよね 求确认句尾按 v1.4 卡
77,0x554,system,system,2009,4,,未翻,
78,0x559,dialogue,narrative,lic｢ｱｱ｡ゲーム内でﾉ話だ｣,23,lic｢哦。是遊戲裏的事｣,人工定稿,"P7 校对修正: ああ 误译, 收尾引号缺失"
79,0x574,system,system,0140,4,,未翻,
80,0x579,dialogue,narrative,lic｢ｿｯﾁﾊﾜｶﾗﾅｲｹど､,17,lic｢那我不知道，,人工定稿,导入警告: kana_residue
81,0x58c,dialogue,narrative,薫ｻﾝﾊ､ﾊﾙｶﾆ優ｼｸｼﾃｸﾚﾙｼ､,21,薰對遙很温柔，,人工定稿,
82,0x5a4,dialogue,narrative,ｿﾉ警官ﾓﾊﾙｶｦ守ｯﾃｸﾚﾀﾗｲｲﾅ｣,23,那警官也守護遙就好｣,人工定稿,导入警告: kana_residue
83,0x5bc,dialogue,narrative,ｿｳｼﾀﾗ樫沢氏ﾉ作戦ﾊ通用ｼﾅｸﾅﾙが､,29,那樣樫澤的作戰就行不通，,人工定稿,"P7 校对修正: の 漏译, 通用しなくなる 表达"
84,0x5dc,dialogue,narrative,ﾀﾗﾚばﾉ話ﾆ本気で答ｴﾙｺﾄﾓﾅｲｶ｡,26,也不必對假設認真回答。,人工定稿,P7 校对修正: たらればの話 漏译
85,0x5f8,dialogue,narrative,ロム2_KW_警官_ジャック,22,ROM2_KW_警官_傑克,人工定稿,
86,0x610,system,system,0156,4,,未翻,
87,0x615,dialogue,narrative,lic｢ﾁｷｼｮｳ!,10,lic｢可惡!,人工定稿,导入警告: kana_residue
88,0x620,dialogue,narrative,ｿﾉ名前ｦオレﾉ前で出ｽﾝじｬﾈｪ!,26,別在我面前提那名字!,人工定稿,
89,0x63c,dialogue,narrative,虫唾が走ﾙぜ!｣,13,令人作嘔咯!｣,人工定稿,P7 校对修正: ぜ 按口径补「咯」
90,0x64c,system,system,2010,4,,未翻,
91,0x651,dialogue,narrative,lic｢ﾌﾑ｡ｽﾏﾅｲ｣,12,lic｢唔｡抱歉｣,人工定稿,"P7 校对修正: ﾌﾑ 误译, 补回收尾引号"
92,0x65e,dialogue,narrative,stｺﾉ話題ﾊﾔﾒﾃｵｲﾀ方がﾖｻｿｳだﾅ｡,27,st這話題先放下比較好。,人工定稿,P7 校对修正: 与 kw_vote 同句定稿口径统一
93,0x67c,dialogue,narrative,ロム2_KW_警官_薫,16,ROM2_KW_警官_薰,人工定稿,
94,0x690,system,system,0301,4,,未翻,
95,0x695,dialogue,narrative,lic｢警官ﾄﾊ本来皆ｻﾝｦ守ﾙ仕事でｽが……,35,lic｢警官本是守護大家的工作，但……,人工定稿,P7 校对修正: 仕事 漏译
96,0x6bc,dialogue,narrative,人員ﾆﾊ限ﾘがｱﾙｼ､実際ﾉﾄｺﾛ,23,人員有限，而且實際上,人工定稿,P7 校对修正: し 连接漏译
97,0x6d4,dialogue,narrative,限界ﾊｱﾘﾏｽ｣,10,有極限的｣,人工定稿,导入警告: kana_residue
98,0x6df,system,system,t0302,5,,未翻,
