offset,enc,orig,trans,note
0x896e8,utf-8,システムデータ,系統資料,
0x896fe,utf-8,プレイデータ,遊玩資料,
0x89711,utf-8,日目,日,数字后缀 3日目->3日
0x89718,utf-8,日曜日,星期日,
0x89722,utf-8,月曜日,星期一,
0x8972c,utf-8,火曜日,星期二,
0x89736,utf-8,水曜日,星期三,
0x89740,utf-8,木曜日,星期四,
0x8974a,utf-8,金曜日,星期五,
0x89754,utf-8,土曜日,星期六,
0x8976e,utf-8,プロローグ,序章,
0x8977e,utf-8,定例ミーティング日,定例會議日,
0x8979a,utf-8,最終ミーティング日,最終會議日,
0x897b6,utf-8,休日,假日,
0x897bd,utf-8,パーティー,宴會,
0x897cd,utf-8,エンディング,終章,
0x897e0,utf-8,オプション設定、イベント既読情報、ＣＧの取得状況などのデータが保存されております。,選項設定、事件已讀信息、ＣＧ取得状況等資料均已儲存。,
0x8985c,utf-8,プレイ時間,遊玩時間,
0x8aa6d,cp932,"新規セーブデータ作成をするには記録メディアの空き容量が不足しています。
このゲームのセーブデータを作成するには空き容量があと%dKB以上必要です。
セーブデータの削除を行いますか？",新建儲存資料時記録媒體剩餘容量不足。,
0x8aab4,cp932,"このゲームのセーブデータを作成するには空き容量があと%dKB以上必要です。
セーブデータの削除を行いますか？",建立本遊戲儲存資料還需要%dKB以上剩餘容量。,保留 %dKB
0x8aafb,cp932,セーブデータの削除を行いますか？,要刪除儲存資料嗎？,
0x8ab32,cp932,新しいデータ,新資料,
