seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_brother.tob,26,,未翻,
2,0x1c,system,system,kw_brother.sts,14,,未翻,
3,0x2c,dialogue,label,ROM2_KW_兄弟,12,ROM2_KW_兄弟,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_兄弟,16,ROM2_KW會話_兄弟,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_兄弟_昇,16,ROM2_KW_兄弟_昇,人工定稿,
8,0x8c,system,system,0221,4,,未翻,
9,0x91,dialogue,narrative,oth｢兄弟? ｲﾙﾄ思ｳｶ?｣,19,oth｢兄弟? 覺得有?｣,人工定稿,导入警告: kana_residue
10,0xa8,system,system,1445,4,,未翻,
11,0xad,dialogue,narrative,oth｢ｳｰﾑ｡責任感ﾓ几帳面ｻﾓｱﾏﾘﾅｸ,28,oth｢唔。責任感跟嚴謹都不太有,人工定稿,"P7 校对修正: あまりなく 为 不太有, 原译 都沒有 过强"
12,0xcc,dialogue,narrative,妙ﾆ女ﾀﾗｼﾅ部分ﾓｱﾙｶﾗﾅ……,23,也有莫名花心的一面……,人工定稿,"P7 校对修正: 女たらし=花心/玩弄女人, 輕浮 丢义"
13,0xe4,dialogue,narrative,恐ﾗｸﾊ面倒見ﾉ良ｲ姉がｲﾙだﾛｳ｣,26,大概有位很會照顧人的姐姐｣,人工定稿,导入警告: kana_residue
14,0x100,system,system,0222,4,,未翻,
15,0x105,dialogue,narrative,oth｢ｴﾗｲ理由でﾉ予想だﾅ……｣,26,oth｢預測的理由太牽強……｣,人工定稿,"P7 校对修正: 修饰语序理顺, 去翻译腔"
16,0x120,system,system,1446,4,,未翻,
17,0x125,dialogue,narrative,oth｢実際ﾉ所ﾊどｳﾅﾝだ?｣,21,oth｢實際上到底怎樣?｣,人工定稿,导入警告: kana_residue
18,0x13c,system,system,0223,4,,未翻,
19,0x141,dialogue,narrative,oth｢歳ﾉ離ﾚﾀ妹ｦ､責任感ﾓ感じず,28,oth｢差很多歳的妹妹，沒責任感,人工定稿,"P7 校对修正: 歳の離れた=差很多歳, 原译 差多歳 不成词"
20,0x160,dialogue,narrative,几帳面でﾓﾅｸ､,12,也並不嚴謹，,人工定稿,
21,0x16d,system,system,s,1,,未翻,
22,0x170,dialogue,narrative,俺ﾅﾘﾆｶﾜｲがｯﾃﾙﾖ……｣,19,以我的方式疼愛……｣,人工定稿,"P7 校对修正: 補回 俺なりに=以我的方式, 去增译 也"
23,0x184,system,system,1447,4,,未翻,
24,0x189,dialogue,narrative,oth｢ｿ､ｿｳｶ｡,10,oth｢是哦。,人工定稿,导入警告: kana_residue
25,0x194,dialogue,narrative,妹ｻﾝﾆﾖﾛｼｸﾅ｣,11,向妹妹問好｣,人工定稿,导入警告: kana_residue
26,0x1a0,system,system,0224,4,,未翻,
27,0x1a5,dialogue,narrative,oth｢ｱｧ､ｺｺｦ出ﾗﾚﾀﾗﾅ｣,18,oth｢哦，出去就好｣,人工定稿,P7 校对修正: 補回 ｱｧ 感嘆词(槽紧压到 出去就好)
28,0x1b8,dialogue,narrative,ロム2_KW_兄弟_香菜,18,ROM2_KW_兄弟_香菜,人工定稿,
29,0x1cc,system,system,0237,4,,未翻,
30,0x1d1,dialogue,narrative,oth｢兄弟?,9,oth｢兄弟?,人工定稿,导入警告: kana_residue
31,0x1db,dialogue,narrative,hｲﾀﾗ面白ｶｯﾀでｼｮｳﾈ｣,18,h要是有會很有趣呀｣,人工定稿,"P7 校对修正: でしょうね 共感句尾, v1.4 卡 用 呀"
32,0x1f0,system,system,1448,4,,未翻,
33,0x1f5,dialogue,narrative,oth｢ﾄｲｳ事ﾊｲﾅｲﾉｶ?｣,17,oth｢就是説沒有?｣,人工定稿,导入警告: kana_residue
34,0x208,system,system,0238,4,,未翻,
35,0x20d,dialogue,narrative,oth｢ﾎﾝﾄﾊ弟が欲ｼｶｯﾀﾅ｡,20,oth｢其實想要個弟弟。,人工定稿,导入警告: kana_residue
36,0x224,dialogue,narrative,英才教育ｦ施ｼﾃｱげﾀﾉﾆ｣,20,明明施以英才教育了｣,人工定稿,导入警告: kana_residue
37,0x23c,system,system,1449,4,,未翻,
38,0x241,dialogue,narrative,oth｢私が一人前ﾆｼﾃｱげﾖｳ♪,24,oth｢我會把他培養成材♪,人工定稿,"P7 校对修正: 一人前にしてあげる=培養成材, 教好 丢义"
39,0x25c,dialogue,narrative,ﾅﾝﾃダメﾅ男ﾆﾋｯｶｶﾘｿｳだﾅ｣,22,感覺會被沒用的男人騙｣,人工定稿,"P7 校对修正: 引っかかる=被騙/上當, 遇到 过弱"
40,0x274,system,system,0239,4,,未翻,
41,0x279,dialogue,narrative,oth｢……ﾋどｲ言ﾜﾚﾖｳﾈ｣,20,oth｢……被説得好慘｣,人工定稿,导入警告: kana_residue
42,0x290,dialogue,narrative,ロム2_KW_兄弟_圭介,18,ROM2_KW_兄弟_圭介,人工定稿,
43,0x2a4,system,system,0105,4,,未翻,
44,0x2a9,dialogue,narrative,oth｢兄弟でｽｶ? ｲﾏｾﾝﾖ｣,20,oth｢兄弟? 沒有哦｣,人工定稿,导入警告: kana_residue
45,0x2c0,system,system,1450,4,,未翻,
46,0x2c5,dialogue,narrative,oth｢ﾎ～｡一人ｯ子ｶ｡意外だﾅ｡,25,oth｢哦～。獨生子真意外。,人工定稿,导入警告: kana_residue
47,0x2e0,dialogue,narrative,歳ﾉ割ﾘﾆｼｯｶﾘｼﾃｲﾙ印象だが｣,24,給人比年紀更成熟的印象｣,人工定稿,"P7 校对修正: 比年紀 缺 更, 补足比较句"
48,0x2fc,system,system,0106,4,,未翻,
49,0x301,dialogue,narrative,oth｢ｿｳでｽｶ? ｱﾘがﾄｳござｲﾏｽ｡,26,oth｢真的? 謝謝。,人工定稿,"P7 校对修正: そうですか? 为疑问, 原來如此? 陈述加问号矛盾"
50,0x31c,dialogue,narrative,祖父が厳ｼｶｯﾀｶﾗｶﾓｼﾚﾏｾﾝ｡,22,也許是因為祖父很嚴格。,人工定稿,
51,0x334,dialogue,narrative,軍人だｯﾀﾗｼｲでｽｶﾗﾈ｣,18,因為據説他是軍人｣,人工定稿,P7 校对修正: 補回 から 的因果关系
52,0x348,system,system,1451,4,,未翻,
53,0x34d,dialogue,narrative,oth｢ﾅﾙﾎどﾅ｡,11,oth｢是哦。,人工定稿,导入警告: kana_residue
54,0x359,dialogue,narrative,r.sｿﾚﾆﾖｸ考ｴﾀﾗ妹がｲﾙﾖｳﾅ環境だﾓﾉﾅ｣,32,r.s而且仔細想，就像有妹妹似的｣,人工定稿,P7 校对修正: 補回 それに(而且)
55,0x37c,system,system,0107,4,,未翻,
56,0x381,dialogue,narrative,oth｢……ｿｳｶﾓｼﾚﾏｾﾝﾈ｣,19,oth｢……也許是這樣｣,人工定稿,导入警告: kana_residue
57,0x398,dialogue,narrative,ロム2_KW_兄弟_霞,16,ROM2_KW_兄弟_霞,人工定稿,
58,0x3ac,system,system,0096,4,,未翻,
59,0x3b1,dialogue,narrative,oth｢……私がﾏだ小ｻｲ頃ﾆ,22,oth｢……我年紀還小時,人工定稿,导入警告: kana_residue
60,0x3c8,dialogue,narrative,兄が亡ｸﾅｯﾃｲﾏｽ｣,14,哥哥去世了｣,人工定稿,导入警告: kana_residue
61,0x3d8,system,system,1452,4,,未翻,
62,0x3dd,dialogue,narrative,oth｢ｿｳﾅﾉｶ……迂闊ﾅ事ｦ,21,oth｢這樣……問得冒失,人工定稿,导入警告: kana_residue
63,0x3f4,dialogue,narrative,聞ｲﾃｼﾏｯﾃｽﾏﾅｶｯﾀ｣,15,不該問的，抱歉｣,人工定稿,导入警告: kana_residue
64,0x404,system,system,0097,4,,未翻,
65,0x409,dialogue,narrative,oth｢ｲｴ､昔ﾉ話でｽｶﾗ……｣,22,oth｢不，都是往事……｣,人工定稿,P7 校对修正: 回應 ですから 的收束感
66,0x420,dialogue,narrative,悪ｲ事ｦｼﾃｼﾏｯﾀﾅ……｡,18,做了不該的事……。,人工定稿,"P7 校对修正: 悪い事をしてしまった 为 做了不该的事, 原译易读成作恶"
67,0x434,dialogue,narrative,ロム2_KW_兄弟_美紀,18,ROM2_KW_兄弟_美紀,人工定稿,
68,0x448,system,system,0947,4,,未翻,
69,0x44d,dialogue,narrative,oth｢ｱﾀｼﾆﾊ､ｵ姉ｻﾏがｲﾙｯｽ｣,22,oth｢我有姐姐大人｣,人工定稿,导入警告: kana_residue
70,0x464,system,system,1453,4,,未翻,
71,0x469,dialogue,narrative,oth｢ｿﾚﾊ私ﾉｺﾄでｱｯﾃ,17,oth｢那人就是我,人工定稿,导入警告: kana_residue
72,0x47c,dialogue,narrative,本当ﾉ姉でﾊﾅｲﾉだﾅ｣,17,並非真正的姐姐｣,人工定稿,导入警告: kana_residue
73,0x490,system,system,1454,4,,未翻,
74,0x495,dialogue,narrative,oth｢私ﾆ妹ﾅどｲﾅｲ｣,16,oth｢我沒有妹妹｣,人工定稿,导入警告: kana_residue
75,0x4a8,system,system,0949,4,,未翻,
76,0x4ad,dialogue,narrative,oth｢……ｵ姉ｻﾏ……｣,18,oth｢……姐姐大人｣,人工定稿,导入警告: kana_residue
77,0x4c0,system,system,1455,4,,未翻,
78,0x4c5,dialogue,narrative,oth｢頼ﾓｼｲ友人ﾅﾗｲﾙがﾅ｣,21,oth｢可靠的朋友倒有｣,人工定稿,导入警告: kana_residue
79,0x4dc,system,system,0950,4,,未翻,
80,0x4e1,dialogue,narrative,oth｢ｱﾀｼ……憧ﾚﾃﾀﾝｽ｡,19,oth｢我……很憧憬。,人工定稿,导入警告: kana_residue
81,0x4f8,dialogue,narrative,ｵ姉ｻﾏﾐﾀｲﾅ姉が本当ﾆｲﾀﾗｯﾃ｡,24,有像姐姐大人的姐姐就好。,人工定稿,
82,0x514,dialogue,narrative,ﾂｲでﾆ……樫沢が兄貴ｯﾃﾉﾓｲｲｶﾅｯﾃ｣,30,順便……樫澤當哥哥也不錯｣,人工定稿,导入警告: kana_residue
83,0x534,system,system,0951,4,,未翻,
84,0x539,dialogue,narrative,oth｢多分､ｲﾂﾓ喧嘩ｼﾃ｡,19,oth｢大概老是爭執。,人工定稿,导入警告: kana_residue
85,0x550,dialogue,narrative,ｵ姉ｻﾏが仲裁ｼﾃ｡,14,姐姐大人調解。,人工定稿,
86,0x560,dialogue,narrative,ｿﾝﾅ毎日ﾄｶ……楽ｼｿｳだﾅｯﾃ｣,24,那樣的日子……感覺開心｣,人工定稿,"P7 校对修正: そんな毎日=那樣的日子, 原译 那樣毎天 不通"
87,0x57c,system,system,1456,4,,未翻,
88,0x581,dialogue,narrative,oth｢……ｿﾉ関係ﾊ､親友でﾓ築ｹﾙだﾛｳ?,32,oth｢……那種關係，好友也能建立?,人工定稿,导入警告: kana_residue
89,0x5a4,dialogue,narrative,君ﾉ妄想だｹﾉ話でﾊﾅｲ､現実的ﾆ,26,這不只是妄想，現實地來説,人工定稿,
90,0x5c0,dialogue,narrative,ｱﾘ得ﾙ……ｲﾔ……ｱﾘ得ﾀ話､だ｣,26,有可能……不，曾有過的事｣,人工定稿,导入警告: kana_residue
91,0x5dc,dialogue,narrative,過去形ﾆｼﾀﾉﾊ､,12,用過去式，,人工定稿,
92,0x5e9,system,system,s,1,,未翻,
