seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_ct.tob,21,,未翻,
2,0x18,system,system,kw_ct.sts,9,,未翻,
3,0x24,dialogue,label,ROM2_KW_カテゴリ分岐,20,ROM2_KW_類別分支,人工定稿,
4,0x3c,dialogue,label,ROM2_KW_カテゴリ,16,ROM2_KW_類別,人工定稿,
5,0x4d,dialogue,narrative,ｪ岐<switch_err> ﾆ分岐ｼﾃｷﾀ,25,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了; 行首 ｪ岐 残片维持丢弃(全局项18)"
6,0x68,dialogue,label,<assert>式が偽  ( v_移動人物 < 1 && v_移動人物 > 14),52,<assert>式為假  ( v_移動人物 < 1 && v_移動人物 > 14),人工定稿,
7,0xa0,dialogue,label,ROM2_汎用人物セット,19,ROM2_通用人物設定,人工定稿,
8,0xb4,dialogue,narrative,圭介セット,10,圭介設定,人工定稿,
9,0xbf,dialogue,narrative,>霞セット,9,>霞設定,人工定稿,
10,0xcc,dialogue,narrative,美紀セット,10,美紀設定,人工定稿,
11,0xd8,dialogue,narrative,ﾂﾑじセット,10,旋設定,人工定稿,
12,0xe4,dialogue,narrative,ﾊﾙｶセット,9,遙設定,人工定稿,
13,0xf0,dialogue,narrative,唯柚セット,10,唯柚設定,人工定稿,
14,0xfc,dialogue,narrative,紅春セット,10,紅春設定,人工定稿,
15,0x108,dialogue,narrative,昇セット,8,昇設定,人工定稿,
16,0x114,dialogue,narrative,香菜セット,10,香菜設定,人工定稿,
17,0x120,dialogue,narrative,樫沢セット,10,樫澤設定,人工定稿,
18,0x12c,dialogue,narrative,薫セット,8,薰設定,人工定稿,
19,0x138,dialogue,command,ジャックセット,14,,未翻,
20,0x148,dialogue,command,フェードアウト,14,,未翻,
21,0x158,dialogue,label,KW_キャンセル,13,KW_取消,人工定稿,
