seq,orig,trans,note
1,"テスト用文字列１
",,调试串不译
2,"テスト用文字列２
テスト用文字列２
",,调试串不译
3,"テスト用文字列３
テスト用文字列３
テスト用文字列３
",,调试串不译
4,"設定の変更を反映しますか？
","要套用設定的變更嗎？
",
5,"セーブされていない情報が失われますが
タイトルへ戻りますか？
","尚未儲存的資料將會遺失
要返回標題嗎？
",
6,"クイックセーブしますか？
","要執行快速儲存嗎？
",
7,"クイックロードしますか？
","要執行快速讀取嗎？
",
8,"システムデータのセーブ中です。
","正在儲存系統資料。
",
9,"システムデータのセーブが終了しました。
","系統資料儲存完畢。
",
10,"システムデータのセーブに失敗しました。
","系統資料儲存失敗。
",
11,"記録メディアの空き容量が不足しています。
セーブするには空き容量が%dＫＢ必要です。
","記録媒體的剩餘容量不足。
儲存還需要%dＫＢ剩餘容量。
",保留 %d 与 ＫＢ
12,"システムデータのロード中です。
","正在讀取系統資料。
",
13,"システムデータのロードが終了しました。
","系統資料讀取完畢。
",
14,"システムデータのロードに失敗しました。
","系統資料讀取失敗。
",
15,"システムデータが壊れています。
","系統資料已損壞。
",
16,"本ゲームではシステムデータのオートセーブを行います。
オートセーブ中はメモリースティック＃アクセスランプが
点滅しますので、その間は記録メディアを抜いたり、
本体の電源を切ったりしないで下さい。
","本遊戲會自動儲存系統資料。
自動儲存時記憶棒＃存取指示燈將會點滅，
點滅期間請勿取出記録媒體，
也請勿關閉主機電源。
",保留 ＃ 占位
17,"記録メディアが差し込まれていません。
","未插入記録媒體。
",
18,"システムデータのロードに失敗しました。
","系統資料讀取失敗。
",与 14 同形
19,"システムデータのセーブに失敗しました。
システムデータのセーブを中止しますか？
","系統資料儲存失敗。
要中止系統資料的儲存嗎？
",
20,"システムデータが存在しません。
","系統資料不存在。
",
21,"セーブデータの削除を行いますか？
","要刪除儲存資料嗎？
",
22,"記録メディアの空き容量が不足しています。
セーブするには空き容量があと%dKB以上必要です。
セーブデータの削除を行いますか？
","記録媒體的剩餘容量不足。
儲存還需要%dKB以上的剩餘容量。
要刪除儲存資料嗎？
",保留 %d 与 KB
23,"システムデータのセーブを中止しますか？
","要中止系統資料的儲存嗎？
",
24,"システムデータのロードを中止しますか？
","要中止系統資料的讀取嗎？
",
25,"新規にシステムデータを作成しますか？
","要新建系統資料嗎？
",
26,"記録メディアが引き抜かれました。
","記録媒體已被拔出。
",
27,"記録メディアのアクセスに失敗しました。
","記録媒體存取失敗。
",
28,"記録メディアを抜いたり、
本体の電源を切ったりしないで下さい。
","請勿取出記録媒體，
也請勿關閉主機電源。
",
29,"この行を削除しますか？
","要刪除此行嗎？
",
30,"記録メディアをチェックしています。
記録メディアを抜かないでください。
","正在檢査記録媒體。
請勿取出記録媒體。
",
31,"設定に変更がありました。
変更を反映しますか？
","設定已有變更。
要套用變更嗎？
",
32,"編集内容に変更があります。
編集内容を保存してタイトルに戻りますか？
","編集内容已有變更。
要儲存編集内容並返回標題嗎？
",
33,"タイトルに戻りますか？
","要返回標題嗎？
",
34,"以前のクイックセーブに上書きしますが
クイックセーブしますか？
","將覆寫先前的快速儲存，
要執行快速儲存嗎？
",
35,"システムデータの作成を中止しますか？
","要中止系統資料的建立嗎？
",
36,"システムデータはセーブ時に自動で作成されます。
","系統資料會在儲存時自動建立。
",
37,"セーブデータがロックされていました。
","儲存資料處於鎖定状態。
",
38,"システムデータの変更がありました。
システムデータのセーブを行いますか？
","系統資料已有變更。
要儲存系統資料嗎？
",
39,"「君とこの果てることない暗闇を」の
クリアデータをチェックしています。
記録メディアを抜かないでください。
","｢君とこの果てることない暗闇を｣的
通關資料檢査中。
請勿取出記録媒體。
","卷标题保留日文(2026-09-14 用户拍板), ｢｣保留; 该界面引号字形缺失为原版固有行为"
40,"「死と絶望を乗り越えて」の
クリアデータをチェックしています。
記録メディアを抜かないでください。
","｢死と絶望を乗り越えて｣的
通關資料檢査中。
請勿取出記録媒體。
","卷标题保留日文(2026-09-14 用户拍板), ｢｣保留; 该界面引号字形缺失为原版固有行为"
41,"クリアデータを読み込みました。
新たなキーワードが追加されます。
","已讀取通關資料。
將追加新的關鍵詞。
",
42,"クリアデータが見つかりませんでした。
","未找到通關資料。
",
43,"「君とこの果てることない暗闇を」の
クリアデータが破損しています。
","｢君とこの果てることない暗闇を｣的
通關資料已損壞。
","卷标题保留日文(2026-09-14 用户拍板), ｢｣保留; 该界面引号字形缺失为原版固有行为"
44,"「死と絶望を乗り越えて」の
クリアデータが破損しています。
","｢死と絶望を乗り越えて｣的
通關資料已損壞。
","卷标题保留日文(2026-09-14 用户拍板), ｢｣保留; 该界面引号字形缺失为原版固有行为"
45,"クリアデータのロードを中止しますか？
","要中止通關資料的讀取嗎？
",
46,"クリアデータのロードに失敗しました。
クリアデータのロードを中止しますか？
","通關資料讀取失敗。
要中止通關資料的讀取嗎？
",
47,"選択肢ジャンプを行いますか？
","要執行選項跳轉嗎？
",
48,"メニューにＲＵＬＥが追加されました。
","選單已追加ＲＵＬＥ。
",菜单专名保留
49,"システムデータはオートセーブされますが
システムデータのロードを中止しますか？
","系統資料將自動儲存，
要中止系統資料的讀取嗎？
",
