seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/sts_debZONO.tob,27,,未翻,
2,0x1c,system,system,sts_debZONO.sts,15,,未翻,
3,0x2c,system,system,zono_deb_start,14,,未翻,
4,0x3c,dialogue,command,ゾノデバッグスタート,20,,未翻,
5,0x54,dialogue,narrative,テストメニュー1,15,測試菜單1,人工定稿,
6,0x64,dialogue,narrative,テストメニュー2,15,測試菜單2,人工定稿,
7,0x74,dialogue,narrative,テストメニュー3,15,測試菜單3,人工定稿,
8,0x84,dialogue,narrative,テストメニュー4,15,測試菜單4,人工定稿,
9,0x94,dialogue,narrative,BUテスト,8,BU測試,人工定稿,
10,0x9d,dialogue,narrative,NO.選択肢テスト,15,NO.選項測試,人工定稿,
11,0xad,system,system,ts,2,,未翻,
12,0xb0,dialogue,label,KWテスト,8,KW測試,人工定稿,
13,0xb9,dialogue,narrative,NO.BUベタテスト,15,NO.BU基本測試,人工定稿,
14,0xc9,system,system,ts,2,,未翻,
15,0xcc,dialogue,narrative,移動テスト,10,移動測試,人工定稿,
16,0xd7,dialogue,narrative,.アイテムテスト,15,.道具測試,人工定稿,
17,0xe8,dialogue,narrative,移動人物設定テスト,18,移動人物設定測試,人工定稿,
18,0xfc,dialogue,narrative,投票アニメテスト,16,投票動畫測試,人工定稿,
19,0x110,dialogue,narrative,未実装,6,未實裝,人工定稿,P7 校对修正: 装->裝(日文新字体改繁体形)
20,0x117,dialogue,narrative,Z樫沢ﾆ従ｳ,9,Z遵從樫澤,人工定稿,
21,0x121,dialogue,narrative,NO.信用でｷﾅｲ,12,NO.無法信任,人工定稿,
22,0x12e,dialogue,narrative,O.<switch_err> ﾆ分岐ｼﾃｷﾀ,24,O.<switch_err> 分支到了,人工定稿,"P7 校对修正: 分岐->分支, 对齐 r2_t6_4_1_0 定稿译法"
23,0x148,dialogue,narrative,ｳざｲ,4,好煩,人工定稿,
24,0x14d,dialogue,narrative,ebZﾅﾆｲｯﾃﾝﾉ?,11,ebZ説什麼?,人工定稿,P7 校对修正: 补回 言ってん 语义(原译仅 何)
25,0x159,dialogue,narrative,NO.空気読ﾝで,12,NO.讀空氣,人工定稿,"P7 校对修正: 読->讀(日文新字体), 语序 読空氣->讀空氣"
26,0x166,dialogue,narrative,O.ｳﾋｬｰ!,7,O.嗚呀!,人工定稿,P7 校对修正: ウヒャー->嗚呀(风格指南)
27,0x16e,dialogue,narrative,bZｳﾋｬｰ?,7,bZ嗚呀?,人工定稿,P7 校对修正: 补 呀 与原文问号
28,0x176,dialogue,narrative,bZｳﾋｬｰ!?,8,bZ嗚呀!?,人工定稿,P7 校对修正: 补 呀 与原文问号
29,0x17f,dialogue,narrative,Zｳﾋｬﾋｬﾋｬｰ!?,11,Z嗚桀桀桀!?,人工定稿,P7 校对修正: ウヒャヒャヒャー 笑声按 ヒャ->桀 转写
30,0x18b,dialogue,narrative,.ﾝ!,3,.唔,人工定稿,"P7 校对修正: ん->唔(全库定稿统一, 原译嗚为误)"
31,0x18f,dialogue,narrative,_ﾝﾝ?,4,_唔?,人工定稿,"P7 校对修正: ん->唔, 补原文问号"
32,0x194,dialogue,narrative,ﾝﾝﾝw,4,唔w,人工定稿,P7 校对修正: ん->唔
33,0x199,dialogue,narrative,ebZﾝﾝﾝﾝ＞＜,11,ebZ唔唔＞＜,人工定稿,"P7 校对修正: ん->唔, 补回漏译的＞＜"
34,0x1a5,dialogue,narrative,NO.ﾝﾝﾝﾝﾝ^^,10,NO.唔唔^^,人工定稿,"P7 校对修正: ん->唔, 补回漏译的^^"
35,0x1b0,dialogue,narrative,35歳,4,35歳,人工定稿,
36,0x1b5,dialogue,narrative,ebZ18歳,7,ebZ18歳,人工定稿,
37,0x1bd,dialogue,narrative,ebZ43歳,7,ebZ43歳,人工定稿,
38,0x1c5,dialogue,narrative,ebZ彼氏ｲﾅｲでｼｮ?,15,ebZ沒男友對不?,人工定稿,"P7 校对修正: でしょ? 求确认句尾, 按 v1.4 卡禁 對哦"
39,0x1d5,system,system,ts,2,,未翻,
40,0x1d8,dialogue,narrative,ﾓﾃﾅｲでｼｮ?,9,沒人氣?,人工定稿,
41,0x1e2,dialogue,narrative,O.ジャックｻﾝﾄﾊどｳｲｳ関係?,24,O.和傑克先生是什麼關係?,人工定稿,
42,0x1fc,dialogue,narrative,パートナーﾅｼ,12,沒有同伴,人工定稿,
43,0x209,system,system,ts,2,,未翻,
44,0x20c,dialogue,narrative,パートナーｱﾘ,12,有同伴,人工定稿,
45,0x219,system,system,ts,2,,未翻,
46,0x21c,dialogue,narrative,所在不明,8,下落不明,人工定稿,
47,0x225,dialogue,narrative,NO.除外テスト,13,NO.排除測試,人工定稿,
48,0x233,dialogue,narrative,.移動用変数初期化テスト,23,.移動用變量初始化測試,人工定稿,"P7 校对修正: 變數->變量(大陆词形, 同 sts_cmn)"
49,0x24c,dialogue,command,パートナーテスト,16,,未翻,
50,0x25d,dialogue,narrative,eス所在不明テスト,17,eス下落不明測試,人工定稿,机翻警告: kana_residue; 机翻警告: kana_residue; 机翻警告: kana_residue; 机翻警告: kana_residue
51,0x270,dialogue,narrative,香菜､圭介､ジャック,18,香菜、圭介、傑克,人工定稿,
52,0x284,dialogue,narrative,楓､ﾂﾑじ､ﾊﾙｶ,11,楓、旋、遙,人工定稿,
53,0x290,dialogue,narrative,霞､唯柚､樫沢,12,霞､唯柚､樫澤,人工定稿,"P7 校对修正: 槽宽仅 12B, 用原文半角､补回第三个分隔符"
54,0x29d,system,system,ts,2,,未翻,
55,0x2a0,dialogue,narrative,西野､薫､美紀,12,西野､薰､美紀,人工定稿,"P7 校对修正: 槽宽仅 12B, 用原文半角､补回第三个分隔符"
56,0x2ad,system,system,ts,2,,未翻,
57,0x2b0,dialogue,narrative,紅春､昇,7,紅春､昇,人工定稿,"P7 校对修正: 槽宽仅 7B, 用原文半角､补回分隔符"
58,0x2b8,dialogue,command,リセット,8,,未翻,
59,0x2c1,dialogue,narrative,NO.キーワード分岐テスト,23,NO.關鍵詞分支測試,人工定稿,
60,0x2dc,dialogue,label,KWテスト??,10,KW測試??,人工定稿,
61,0x2e7,dialogue,narrative,.殺人ゲームｶ…,14,.殺人遊戲呀…,人工定稿,
62,0x2f6,system,system,s,1,,未翻,
63,0x2f8,dialogue,narrative,選択肢テスト2_開始,18,選項測試2_開始,人工定稿,
64,0x30c,dialogue,narrative,ﾐﾅｻﾝ､全員､僕ﾆ投票ｼﾃｸだｻｲ,24,各位、全員、請投票給我,人工定稿,
65,0x328,dialogue,narrative,選択肢テスト2_1,15,選項測試2_1,人工定稿,
66,0x338,dialogue,narrative,ご協力ｱﾘがﾄｳござｲﾏｽ｡,20,感謝各位的協助。,人工定稿,
67,0x350,dialogue,narrative,選択肢テスト2_2,15,選項測試2_2,人工定稿,
68,0x360,dialogue,narrative,…ﾏｧｲｲでｼｮｳ｡,12,…嘛，算了。,人工定稿,P7 校对修正: 顿号误用改逗号
69,0x36d,system,system,ts,2,,未翻,
70,0x370,dialogue,narrative,選択肢テスト3_開始,18,選項測試3_開始,人工定稿,
71,0x384,dialogue,narrative,ｱｩｩ……ぐｽｯ……ｵ花ｧ……,23,嗚嗚……嗚咽……小花…,人工定稿,
72,0x39c,dialogue,narrative,選択肢テスト3_1,15,選項測試3_1,人工定稿,
73,0x3ac,dialogue,narrative,でｽﾖﾈ…,7,對哦…,人工定稿,
74,0x3b4,dialogue,narrative,選択肢テスト3_2,15,選項測試3_2,人工定稿,
75,0x3c4,dialogue,narrative,でｽﾖﾈ……,9,對哦……,人工定稿,
76,0x3ce,dialogue,narrative,O.選択肢テスト3_3,17,O.選項測試3_3,人工定稿,
77,0x3e0,dialogue,narrative,でｽﾖﾈ………,11,對哦………,人工定稿,
78,0x3ec,dialogue,narrative,選択肢テスト4_開始,18,選項測試4_開始,人工定稿,
79,0x400,dialogue,narrative,選択肢テスト4_1,15,選項測試4_1,人工定稿,
80,0x410,dialogue,narrative,マネｼﾅｲでｸだｻｲ,14,請不要學我,人工定稿,
81,0x420,dialogue,narrative,選択肢テスト4_2,15,選項測試4_2,人工定稿,
82,0x430,dialogue,narrative,ｳﾋｬｰでｽﾖ,8,嗚呀哦,人工定稿,P7 校对修正: 去掉原文没有的感叹号
83,0x439,dialogue,narrative,NO.選択肢テスト4_3,18,NO.選項測試4_3,人工定稿,
84,0x44c,dialogue,narrative,何驚ｲﾃﾙﾝでｽｶ,12,在吃驚什麼?,人工定稿,
