seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_triangle.tob,27,,未翻,
2,0x1c,system,system,kw_triangle.sts,15,,未翻,
3,0x2c,dialogue,label,ROM2_KW_三角関係,16,ROM2_KW_三角關係,人工定稿,
4,0x40,dialogue,label,ROM2_KW会話_三角関係,20,ROM2_KW會話_三角關係,人工定稿,
5,0x58,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x70,dialogue,command,フェードアウト,14,,未翻,
7,0x80,dialogue,narrative,ロム2_KW_三角関係_昇,20,ROM2_KW_三角關係_昇,人工定稿,
8,0x98,system,system,0220,4,,未翻,
9,0x9d,dialogue,narrative,ian｢ﾔﾒﾛ｡ｿﾝﾅ話ｦｽﾙﾝじｬﾅｲ｣,23,ian｢別説了。別聊那種事｣,人工定稿,导入警告: kana_residue
10,0xb8,system,system,1432,4,,未翻,
11,0xbd,dialogue,narrative,ian｢ｱｱ､ｽﾏﾅｲ……｣,16,ian｢唔 抱歉……｣,人工定稿,导入警告: kana_residue
12,0xce,system,system,s,1,,未翻,
13,0xd0,dialogue,narrative,彼ﾆﾊ冗談でﾊｽﾏﾅｲ話だｯﾀﾅ｡,23,對他來説可不是玩笑。,人工定稿,
14,0xe8,dialogue,narrative,ロム2_KW_三角関係_香菜,22,ROM2_KW_三角關係_香菜,人工定稿,
15,0x100,system,system,0234,4,,未翻,
16,0x105,dialogue,narrative,ian｢ｻ､三角関係でｽｯﾃ……?｣,25,ian｢那，三角關係是……?｣,人工定稿,导入警告: kana_residue
17,0x120,system,system,1433,4,,未翻,
18,0x125,dialogue,narrative,ian｢ｱｱ､俗ﾆ言ｳ二股ﾄｲｳﾔﾂだﾅ｣,26,ian｢就是俗稱的脚踏兩條船｣,人工定稿,导入警告: kana_residue
19,0x140,system,system,0235,4,,未翻,
20,0x145,dialogue,narrative,ian｢ｿ､ｿﾚが私ﾆﾅﾝﾉ関係がｱﾙﾉﾖ,26,ian｢那、那跟我有什麼關係呀,人工定稿,"P7 校对: 「私になんの関係があるのよ」误读为「那種關係是什麼」, 实为「跟我有什麼關係」的否认; のよ→呀(风格指南)"
21,0x160,dialogue,narrative,昇ﾄﾊﾄｯｸﾆ別ﾚﾃﾙﾝだｶﾗ!!｣,21,早就和昇分手了!!｣,人工定稿,导入警告: kana_residue
22,0x178,system,system,1434,4,,未翻,
23,0x17d,dialogue,narrative,ian｢ｵﾔ? 森崎氏ﾉ話ﾅどｼﾀｶﾅ??｣,27,ian｢哦? 我有提到森崎??｣,人工定稿,"P7 校对: 「森崎氏の話などしたかな」=我有提到森崎嗎, 原译「森崎怎麼知道的」把主语方向译反; 行首おや→哦为独立用法"
24,0x19c,system,system,0236,4,,未翻,
25,0x1a1,dialogue,narrative,ian｢ﾝﾅｯ……ｸｯ……!,18,ian｢唔……嘖……!,人工定稿,导入警告: kana_residue
26,0x1b4,dialogue,narrative,ﾓｳｯ! 知ﾗﾅｲ!｣,12,算了!不管!｣,人工定稿,导入警告: kana_residue
27,0x1c1,system,system,ts,2,,未翻,
28,0x1c4,dialogue,narrative,ロム2_KW_三角関係_圭介,22,ROM2_KW_三角關係_圭介,人工定稿,
29,0x1dc,system,system,0103,4,,未翻,
30,0x1e1,dialogue,narrative,ian｢ｱ～､女子ｯﾃｿｳｲｳ話好ｷでｽﾖﾈ,28,ian｢哦～女孩子就愛聊這種事呀,人工定稿,"P7 校对: 行首あ~按全库主流作「哦～」(原「呀～」); 句尾ですよね为共感求同, 依 v1.4 卡补「呀」(原译整句丢失)"
31,0x200,dialogue,narrative,楓ｻﾝﾓでｽｶ?｣,11,楓也是?｣,人工定稿,导入警告: kana_residue
32,0x20c,system,system,1435,4,,未翻,
33,0x211,dialogue,narrative,ian｢何ｦ言ｯﾃｲﾙﾉだ?,17,ian｢在説什麼?,人工定稿,导入警告: kana_residue
34,0x224,dialogue,narrative,私ﾊ2人ぐﾗｲでﾊ満足でｷﾅｲﾖ｡,24,我可不會滿足於兩個人。,人工定稿,
35,0x240,dialogue,narrative,五角､六角ﾉ修羅場が見ﾀｲﾓﾉだ｣,27,還想看五角六角的修羅場!｣,人工定稿,导入警告: kana_residue
36,0x25c,system,system,0104,4,,未翻,
37,0x261,dialogue,narrative,ian｢楓ｻﾝが言ｳﾄ冗談ﾆ聞ｺｴﾅｲでｽﾈ……｣,34,ian｢楓小姐説出來就不像玩笑了……｣,人工定稿,导入警告: kana_residue
38,0x284,dialogue,narrative,ロム2_KW_三角関係_霞,20,ROM2_KW_三角關係_霞,人工定稿,
39,0x29c,system,system,0094,4,,未翻,
40,0x2a1,dialogue,narrative,ian｢三角関係……｣,17,ian｢三角關係……｣,人工定稿,导入警告: kana_residue
41,0x2b4,dialogue,narrative,珍ｼｸ目が輝ｲﾃｲﾙﾅ｡,16,難得地兩眼放光。,人工定稿,
42,0x2c8,system,system,0095,4,,未翻,
43,0x2cd,dialogue,narrative,ian｢一人ﾉ女性ｦ奪ｲ合ｯﾀﾘｽﾙﾝでｽﾖﾈ｡,31,ian｢就是去爭奪同一個女人呀。,人工定稿,"P7 校对: v1.4 卡 求确认句尾(んですよね)禁「哦」, 改「呀」; 并删去原文没有的收尾｣(本行原文无｣, 跨行引号按原文保真)"
44,0x2f0,dialogue,narrative,実際ﾆｿﾝﾅ事ﾆﾅｯﾀﾗ困ｯﾁｬｳでｼｮｳｹど,29,雖然真變成那樣會很困擾,人工定稿,
45,0x310,dialogue,narrative,ﾁｮｯﾄだｹロマンチックでｽﾖﾈ!｣,26,可是也有幾分浪漫呀!｣,人工定稿,"P7 校对: v1.4 卡 求确认句尾(ですよね!)禁「哦」, 无问号不加问号, 依卡用「呀」并保留原文「!」"
46,0x32c,dialogue,narrative,……ｿｳだﾛｳｶ｡,12,……是這樣?,人工定稿,
47,0x339,system,system,ts,2,,未翻,
48,0x33c,dialogue,narrative,ロム2_KW_三角関係_美紀,22,ROM2_KW_三角關係_美紀,人工定稿,
49,0x354,system,system,0944,4,,未翻,
50,0x359,dialogue,narrative,ian｢ｵ姉ｻﾏﾄｱﾀｼﾉ間ﾆ三角関係ﾅﾝﾃ,28,ian｢姐姐大人和我之間,人工定稿,导入警告: kana_residue
51,0x378,dialogue,narrative,言葉ﾉ入ﾙ隙ﾊﾅｲでｽﾖﾈ!｣,20,根本沒那種餘地呀!｣,人工定稿,"P7 校对: 「言葉の入る隙はない」的「隙」漏译(原译改写成「有什麼三角關係」), 补「根本沒那種餘地」; ですよね!→「呀!」依 v1.4 卡"
52,0x390,system,system,0945,4,,未翻,
53,0x395,dialogue,narrative,ian｢ｱﾀｼﾊｵ姉ｻﾏ一筋でｽｶﾗ!｣,24,ian｢我只屬於姐姐大人!｣,人工定稿,导入警告: kana_residue
54,0x3b0,system,system,1436,4,,未翻,
55,0x3b5,dialogue,narrative,ian｢ｿｳだﾅ｡線がﾂﾅがｯﾃｲﾅｲﾉだｶﾗ,28,ian｢是呀。線沒有相連,人工定稿,导入警告: kana_residue
56,0x3d4,dialogue,narrative,三角ﾆﾊﾅﾘﾖｳがﾅｲだﾛｳﾅ｡,20,應該成不了三角。,人工定稿,"P7 校对: 「なりようがないだろうな」的推量 だろう 丢失, 依全库「だろう→應該式」口径补「應該」"
57,0x3ec,dialogue,narrative,ﾀだﾉ点ﾄ点だ｣,12,只是兩個點｣,人工定稿,"P7 校对: 「ただの点と点だ」=只是兩個點, 原译「點連點」读成点与点相连, 与上文「線が繋がっていない」矛盾"
58,0x3f9,system,system,ts,2,,未翻,
59,0x3fc,system,system,0946,4,,未翻,
60,0x401,dialogue,narrative,ian｢ｳﾋｬｰ､ｿﾚﾊ酷ｲｯｽ!｣,19,ian｢嗚呀，太狠了!｣,人工定稿,导入警告: kana_residue
61,0x418,dialogue,narrative,ロム2_KW_三角関係_ﾊﾙｶ,21,ROM2_KW_三角關係_遙,人工定稿,
62,0x430,system,system,0063,4,,未翻,
63,0x435,dialogue,narrative,ian｢テレビでﾖｸｱﾙﾖｳﾅﾉ?｣,22,ian｢就像電視裡常見的?｣,人工定稿,导入警告: kana_residue
64,0x44c,system,system,1437,4,,未翻,
65,0x451,dialogue,narrative,ian｢ｿｳｿｳ｡,9,ian｢對對,人工定稿,"P7 校对: 「そうそう」是承接赞同(全库多作「對對」), 非「哦哦」的领悟义; 槽宽 9B 容不下句点"
66,0x45b,dialogue,narrative,nﾄｲｯﾃﾓ､ﾊﾙｶｸﾝﾊピンﾄｺﾅｲｶ｣,23,n但遙就沒什麼實感唄｣,人工定稿,导入警告: kana_residue
67,0x474,system,system,0064,4,,未翻,
68,0x479,dialogue,narrative,ian｢ｲﾁどﾆ2人ｶﾗｵ手紙ｦﾓﾗｯﾀ事がｱﾙﾉ｡,32,ian｢我曾同時收到兩個人的信。,人工定稿,导入警告: kana_residue
69,0x49c,dialogue,narrative,2人ﾄﾓ同じクラスﾉ子だｯﾀﾝだｹど……,32,2人都是同班的同學……,人工定稿,
