页名,块,类型,原文(日文),现行译文,你的译文,说明
RULE01,body,正文,"ゲームは、14人の参加者達によって行われる。","遊戲由 14 名參加者進行。","",顶部横幅
RULE02,body,正文,"参加者は勝負がつくまで会場から抜け出す事はできない。","參加者在分出勝負之前，不得離開會場。","",顶部横幅
RULE03,body,正文,"参加者は〈シリアルキラー〉と〈市民〉の役に振り分けられ、役は本人のみに知られる。〈シリアルキラー〉は3名割り当てられる。","參加者被分配為〈連環殺手〉與〈市民〉兩種身分， / 身分僅本人可知。〈連環殺手〉共分配 3 名。","",顶部横幅(2行)
RULE03,label1,标注,"シリアルキラー","連環殺手","",右下红棋下方标注
RULE03,keep1,同形标注,"市民","市民","",左下蓝棋下方(与中文同形保留原像素; 如需改译填此列)
RULE04,body,正文,"参加者はゲームの運営のため、腕輪型の装置を身につける。","參加者須配戴遊戲運行所需的手環型裝置。","",顶部横幅
RULE05,body,正文,"1ターンは1時間の自由時間と8分の「指名」タイムで構成される。","每個回合由 1 小時自由時間與 8 分鐘的 / 「指名」時間構成。","",顶部横幅(2行)
RULE05,label1,标注,"1ターン","1 回合","",时间轴顶部绿框
RULE05,label2,标注,"1時間","1 小時","",时间轴中段
RULE05,keep1,同形标注,"8分","8分","",时间轴右段(同形保留原像素)
RULE05,keep2,同形标注,"自由時間","自由時間","",时间轴左段下方(同形保留原像素)
RULE05,keep3,同形标注,"指名","指名","",时间轴右段下方(同形保留原像素)
RULE06,body,正文,"「指名」タイムでは、参加者は誰か1人殺したい参加者を「指名」する。","在「指名」時間，參加者須指名一名 / 自己想殺掉的參加者。","",顶部横幅(2行)
RULE06,keep1,同形标注,"指名","指名","",箭头标注(同形保留原像素)
RULE07,body,正文,"ターン終了後、〈シリアルキラー〉によって「指名」された人物のうち指名数が最も多かった人物は死亡する。","回合結束後，在被〈連環殺手〉指名的人之中， / 指名數最多者將死亡。","",顶部横幅(2行)
RULE07,label1,标注,"指名により / 死亡","因指名 / 死亡","",右下白底方块(上下两行)
RULE07,keep1,同形标注,"指名","指名","",箭头标注(同形保留原像素)
RULE07,keep2,同形标注,"生存","生存","",蓝棋下方(同形保留原像素)
