seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_lover.tob,24,,未翻,
2,0x1c,system,system,kw_lover.sts,12,,未翻,
3,0x2c,dialogue,label,ROM2_KW_恋人,12,ROM2_KW_戀人,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_恋人,16,ROM2_KW會話_戀人,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_恋人_美紀,18,ROM2_KW_戀人_美紀,人工定稿,
8,0x8c,system,system,1009,4,,未翻,
9,0x91,dialogue,narrative,ver｢恋人!?｣,11,ver｢戀人!?｣,人工定稿,导入警告: kana_residue
10,0x9d,system,system,sts1010,7,,未翻,
11,0xa5,dialogue,narrative,ver｢ｵ姉ｻﾏ……ﾂｲﾆ……｣,21,ver｢姐姐大人……終於｣,人工定稿,导入警告: kana_residue
12,0xbc,system,system,1646,4,,未翻,
13,0xc1,dialogue,narrative,ver｢どｳｼﾀﾝだ? 目ｦキラキラｻｾﾃ｣,29,ver｢怎麼了? 眼睛閃閃發光｣,人工定稿,导入警告: kana_residue
14,0xe0,system,system,1011,4,,未翻,
15,0xe5,dialogue,narrative,ver｢ﾂｲﾆｱﾀｼﾉ気持ﾁｦ,17,ver｢終於肯接受,人工定稿,"P7 校对修正: 受け止めてくれる 语序, 原译'我的心意願意接受'不通"
16,0xf8,dialogue,narrative,受ｹ止ﾒﾃｸﾚﾙﾝでｽﾈ!?｣,18,我的心意了!?｣,人工定稿,P7 校对修正
17,0x10c,system,system,1647,4,,未翻,
18,0x111,dialogue,narrative,ver｢ｳﾑ､ｿﾉ気持ﾁﾊ受ｹ流ｼﾃｵｺｳ｣,26,ver｢唔，那種心意就略過｣,人工定稿,导入警告: kana_residue
19,0x12c,system,system,1012,4,,未翻,
20,0x131,dialogue,narrative,ver｢ｳﾋｬｰ! 酷ｲｯｽ!｣,17,ver｢嗚呀! 過分!｣,人工定稿,导入警告: kana_residue
21,0x144,dialogue,narrative,彼女が百合ﾅ上､男嫌ｲﾅｺﾄｦ忘ﾚﾃｲﾀ｡,30,忘了他既是百合又討厭男人。,人工定稿,
22,0x164,dialogue,narrative,異性ﾉ恋人ﾅどｲﾙﾊずﾓﾅｲ……ｶ｡,26,根本不可能有異性戀人……。,人工定稿,
23,0x180,dialogue,narrative,ロム2_KW_恋人_昇,16,ROM2_KW_戀人_昇,人工定稿,
24,0x194,system,system,0253,4,,未翻,
