seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/r2_t1_1_100.tob,27,,未翻,
2,0x1c,system,system,r2_t1_1_100.sts,15,,未翻,
3,0x2c,dialogue,label,ROM2_ターン1_チュートリアル,27,ROM2_回合1_教學,人工定稿,
4,0x48,dialogue,narrative,チュートリアル移動,18,教學移動,人工定稿,
5,0x5b,dialogue,narrative,ャ鴻2_一旦解散,15,ャ鴻2_暫時解散,人工定稿,导入警告: kana_residue
6,0x6c,system,system,0135,4,,未翻,
7,0x71,dialogue,narrative,_1_｢ｻﾃ､ﾏずﾊ……｣,16,_1_｢首先……｣,人工定稿,导入警告: kana_residue
8,0x82,system,system,s,1,,未翻,
9,0x84,system,system,0126,4,,未翻,
10,0x89,dialogue,narrative,_1_｢ｵ姉ｻﾏ､ｱｯﾁ行ｷﾏｼｮｳ､ｱｯﾁ!｣,26,_1_｢姐姐大人，去那邊那邊!｣,人工定稿,导入警告: kana_residue
11,0xa4,system,system,0136,4,,未翻,
12,0xa9,dialogue,narrative,_1_｢ｱｯﾁ?,8,_1_｢那邊,人工定稿,导入警告: kana_residue
13,0xb2,dialogue,narrative,1_何ｶｱﾘｿｳﾅﾉｶ?｣,14,1_好像有什麼?｣,人工定稿,导入警告: kana_residue
14,0xc1,system,system,ts,2,,未翻,
15,0xc4,system,system,0127,4,,未翻,
16,0xc9,dialogue,narrative,_1_｢ｱﾀｼﾉ野生ﾉ勘が,17,_1_｢我的野性直覺,人工定稿,导入警告: kana_residue
17,0xdc,dialogue,narrative,何ｶｱﾙﾄ言ｯﾃﾙｯｽ!｣,15,正説著有什麼!｣,人工定稿,导入警告: kana_residue
18,0xec,system,system,0137,4,,未翻,
19,0xf1,dialogue,narrative,_1_｢無駄ﾆ信用でｷｿｳﾅ勘でﾊｱﾙが､,29,_1_｢這直覺雖不算毫無可信，,人工定稿,导入警告: kana_residue
20,0x110,dialogue,narrative,闇雲ﾆ動ｷ回ﾙﾉﾊﾔﾒﾃｵｺｳ｣,20,但別盲目到處亂動｣,人工定稿,导入警告: kana_residue
21,0x128,dialogue,narrative,エレベータﾉ横ﾆ貼ﾘﾂｹﾗﾚﾃｲﾙ,24,貼在電梯旁邊的,人工定稿,
22,0x144,dialogue,narrative,フロアマップｦ見ﾙ｡,17,看樓層圖。,人工定稿,P7 校对修正
23,0x158,dialogue,narrative,ｿﾝﾅﾆ複雑ﾅ地形でﾊﾅｲﾅ｡,20,地形並不那麼複雜。,人工定稿,
24,0x170,dialogue,narrative,…………｡,9,…………,人工定稿,
