seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_game.tob,23,,未翻,
2,0x18,system,system,kw_game.sts,11,,未翻,
3,0x24,dialogue,label,ROM2_KW_殺人ゲーム,18,ROM2_KW_殺人遊戲,人工定稿,
4,0x38,dialogue,label,ROM2_KW会話_殺人ゲーム,22,ROM2_KW會話_殺人遊戲,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_殺人ゲーム_美紀,24,ROM2_KW_殺人遊戲_美紀,人工定稿,
8,0x94,system,system,1066,4,,未翻,
9,0x99,dialogue,narrative,me.｢ｯﾀｸ､殺人ゲームﾅﾝﾃ冗談じｬﾅｲｯｽﾖ!,34,me.｢真是的，殺人遊戲可不是開玩笑!,人工定稿,"P7 校对: 冗談じゃない 否定强调, 「不是開玩笑」翻译腔改「可不是開玩笑」"
10,0xbc,dialogue,narrative,何でｺﾝﾅ変ﾅゲームﾆ付ｷ合ﾜｻﾚﾅｷｬ,28,為何非得奉陪這種怪遊戲,人工定稿,
11,0xdc,dialogue,narrative,ﾅﾗﾅｲﾝｽｶ!｣,9,不可!｣,人工定稿,P7 校对: 〜なきゃならない 的 ならない 被误读为「不行」; 与上行「為何非得奉陪」成「非得…不可」
12,0xe6,system,system,s,1,,未翻,
13,0xe8,system,system,1844,4,,未翻,
14,0xed,dialogue,narrative,me.｢私ﾓｿｳ思ｳ｡,13,me.｢我也是。,人工定稿,导入警告: kana_residue
15,0xfc,dialogue,narrative,私達ｦｻﾗｯﾀ者ﾊ何ｦ考ｴﾃｲﾀﾉだﾛｳﾅ｣,28,抓走我們的人究竟在想什麼｣,人工定稿,导入警告: kana_residue
16,0x11c,system,system,1067,4,,未翻,
17,0x121,dialogue,narrative,me.｢何ｦ考ｴﾃｲﾀﾄｼﾃﾓ許ｾﾅｲｯｽ!,25,me.｢不管想什麼都不可原諒!,人工定稿,导入警告: kana_residue
18,0x13c,dialogue,narrative,理由ﾅﾝﾃ関係ﾅｲｯｽﾖ!｣,18,理由根本無所謂!｣,人工定稿,导入警告: kana_residue
19,0x150,dialogue,narrative,ロム2_KW_殺人ゲーム_昇,22,ROM2_KW_殺人遊戲_昇,人工定稿,
20,0x168,system,system,0290,4,,未翻,
21,0x16d,dialogue,narrative,me.｢悪趣味ﾅゲームだﾖﾅ｣,22,me.｢真是惡趣味遊戲呀｣,人工定稿,导入警告: kana_residue
22,0x184,system,system,1845,4,,未翻,
23,0x189,dialogue,narrative,me.｢ｱｱ｡酷ｸ病ﾝでｲﾙﾅ｣,19,me.｢哦，病得不輕呀｣,人工定稿,导入警告: kana_residue
24,0x1a0,system,system,0291,4,,未翻,
25,0x1a5,dialogue,narrative,me.｢ｿﾓｿﾓゲームじｬｽﾏﾅｲだﾛ,24,me.｢這可不是遊戲那麼簡單,人工定稿,导入警告: kana_residue
26,0x1c0,dialogue,narrative,ｺﾝﾅｺﾄ……｣,10,這種事…｣,人工定稿,导入警告: kana_residue
27,0x1cc,system,system,1846,4,,未翻,
28,0x1d1,dialogue,narrative,me.｢全ｸだ｡何ﾄｶ手ｦ打ﾀﾈばﾅﾙﾏｲﾅ｣,29,me.｢沒錯。總得設法才行呀｣,人工定稿,P7 校对: 全くだ 为赞同(非「真是的」exasperation); 比照 kw_death まったくだ→沒錯
29,0x1f0,system,system,0292,4,,未翻,
