seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/check_har.tob,25,,未翻,
2,0x1c,system,system,check_har.sts,13,,未翻,
3,0x2c,dialogue,narrative,調査_ﾊﾙｶ,8,調査_遙,人工定稿,
4,0x38,dialogue,label,調査_ﾊﾙｶ_未調査,15,調査_遙_未調査,人工定稿,
5,0x48,dialogue,narrative,画面ﾆ映ｼ出ｻﾚﾀ参加者ﾉ名前｡,25,畫面中映出的參加者姓名。,人工定稿,P7 终轮统一: 共享句对齐(畫面中映出的參加者姓名。)
6,0x64,dialogue,narrative,ｿﾉ中ｶﾗ私ﾊ『柏木ﾊﾙｶ』ﾉ名前ｦ押ｽ｡,30,我從中按下『柏木遙』的名字。,人工定稿,P7 校对修正
7,0x84,dialogue,narrative,『柏木ﾊﾙｶでｲｲでｽｶ?』ﾉメッセージ｡,32,『柏木遙是否正確?』的信息。,人工定稿,P7 校对修正
8,0xa8,dialogue,narrative,『確認』ｦ押ｽﾄ､,14,按『確認』後，,人工定稿,P7 校对修正
9,0xb8,dialogue,narrative,画面ﾆﾊ『調査結果』ﾄｲｳ文字が浮ｶび出ﾀ｡,36,畫面上浮現出『調査結果』這幾個字。,人工定稿,P7 终轮统一: 共享句对齐(畫面上浮現出…這幾個字)
10,0xe0,dialogue,narrative,ｿｼﾃ……｡,8,然後……,人工定稿,
11,0xe9,dialogue,narrative,.st…………｡,12,.st…………,人工定稿,
12,0xf6,dialogue,narrative,st……｡,7,st……,人工定稿,
13,0xfe,dialogue,narrative,ha『柏木ﾊﾙｶﾊシリアルキラーでﾊｱﾘﾏｾﾝ』,36,ha『柏木遙不是連環殺手』,人工定稿,
14,0x124,system,system,2019,4,,未翻,
15,0x129,dialogue,narrative,_ha｢……ﾌｩ｣,11,_ha｢……呼｣,人工定稿,终轮省略号统一: 单…→…… x1
16,0x135,dialogue,narrative,.stﾓｼﾔ､ﾄ一瞬でﾓ考ｴ､ヒヤヒヤｼﾃｼﾏｯﾀ｡,34,.st一瞬間想到『萬一』，冷汗直冒。,人工定稿,
17,0x158,dialogue,narrative,結果が安心でｷﾙﾓﾉで実ﾆﾖｶｯﾀ｡,26,結果讓人安心，實在太好了。,人工定稿,
18,0x174,dialogue,narrative,だがｿﾉ反面､本当ﾆ彼女ｦ調べﾙべｷだｯﾀﾉｶﾄ,36,但反過來説，我是否真該調査遙。,人工定稿,P7 校对修正
19,0x19c,dialogue,narrative,少ｼばｶﾘ後悔ｼﾃｼﾏｳ｡,17,我不禁有些後悔。,人工定稿,
20,0x1b0,dialogue,narrative,見ﾂｹﾙべｷﾊシリアルキラー……｡,28,應該找出的是連環殺手……。,人工定稿,
21,0x1d0,dialogue,narrative,消去法が一歩進ﾝだ｡,18,消去法更進一歩。,人工定稿,
22,0x1e4,dialogue,narrative,ｿﾚだｹでﾓ今回ﾊ､ﾖｼﾄｼﾃｵｸｶ……｡,27,僅憑這點，這次算過關……。,人工定稿,
