rec,slot,orig,trans,note
0,1,高校三年生,高中三年級,
0,2,人を疑うことと運動が苦手。,不擅長懷疑他人與運動。,
0,3,鈍感だとよく言われる。,常被説很遲鈍。,
0,4,香菜と付き合っていた。,曾與香菜交往。,
1,1,大学二年生,大學二年級,
1,2,自称・科学万能の大学生。,自稱科學萬能的大學生。,
1,3,実際に科学分野においては,在科學領域確實能發揮,
1,4,非常識な性能を発揮する。,超乎常識的性能。,
1,5,マイペースな性格。,個性我行我素。,
1,6,昇と付き合っていた。,曾與昇交往。,
2,1,大学四年生,大學四年級,
2,2,冷静で、論理的思考をする。,冷靜沈著，思考講求邏輯。,
2,3,淡々とした言葉で話し、,説話語氣平淡，,
2,4,周囲を翻弄するのが得意。,擅長玩弄周圍的人。,
2,5,美紀に好かれている。,深受美紀喜愛。,
3,1,大学二年生,大學二年級,
3,2,常人離れした運動神経を持つ,擁有超乎常人的運動神經,
3,3,活発で明るく直情的な少女。,開朗活躍又直率的少女。,
3,4,楓を慕い、依存している。,憧憬楓並依賴著她。,
3,5,「うひゃー」が口癖。,口頭禪是｢嗚呀ー｣。,
4,1,中学二年生,國中二年級,
4,2,正義感が強く困っている人は,正義感很強，見到有困難的,
4,3,放っておけない。,人便無法置之不理。,
4,4,特に霞には特別な責任すら,尤其對霞甚至懷有特別的,
4,5,感じている。,責任感。,
5,1,中学二年生,國中二年級,
5,2,無口で引っ込み思案だが,沈默寡言又畏縮，,
5,3,圭介とは普通に会話できる。,但能與圭介正常交談。,
5,4,本が好きで恋愛小説を好む。,喜歡看書，偏好戀愛小説。,
5,5,殺人事件にトラウマがある。,對殺人事件有心理陰影。,
6,1,看護師,護理師,
6,2,現役の看護師だが,雖然是現職護理師，,
6,3,どこか抜けたところがある。,卻有點少根筋。,
6,4,怖がりで泣き虫だが、,膽小又愛哭，,
6,5,母性的で面倒見が良い。,但富有母性、很會照顧人。,
7,1,大学四年生,大學四年級,
7,2,高円寺グループの令嬢で,高圓寺集團的千金小姐，,
7,3,お金持ちの箱入り娘。,是有錢人家的嬌嬌女。,
7,4,世間知らずで天然な所も。,也有不諳世事又天然的一面。,
7,5,お花に特別な思い入れが,對花似乎有特別的執念。,
8,1,小学六年生,小學六年級,
8,2,はるかの双子の兄。,遙的雙胞胎哥哥。,
8,3,常に他人を警戒しており、,總是警戒著他人，,
8,4,全く素直さがない。,毫無坦率可言。,
8,5,はるかには過保護。,對遙過度保護。,
9,1,小学六年生,小學六年級,
9,2,つむじの双子の妹。,紬的雙胞胎妹妹。,
9,3,大人しくて泣き虫な,文靜又愛哭，,
9,4,子どもらしい子ども。,是非常孩子氣的孩子。,
9,5,つむじに依存している。,依賴著紬。,
10,1,大学四年生,大學四年級,
10,2,眼鏡をかけた優等生。,戴眼鏡的優等生。,
10,3,場を仕切るのが得意で、,擅長掌控場面，,
10,4,演説癖がある。,有演講癖。,
10,5,論理的思考に基づいてのみ,只依邏輯思考行事，,
10,6,行動し、感情は見せない。,從不流露感情。,
11,1,警察官,警察,
11,2,現役の警察官だが、,雖然是現職警察，,
11,3,優秀とは言えないようだ。,但似乎稱不上優秀。,
11,4,正義感が強く、子どもから,正義感很強，從小孩到,
11,5,死刑囚までも含めた,死刑犯在内的所有人,
11,6,全ての人を守りたがる。,都想要守護。,
11,7,年齢と恋人の話は禁句。,年齡與戀人是禁句。,
12,1,死刑囚,死刑犯,
12,2,かつて世間を騒がせた,曾經轟動一時的,
12,3,凶悪連続殺人犯。,凶惡連環殺人犯。,
12,4,現在は死刑囚として,現在身為死刑犯,
12,5,刑務所に服役していた。,在監獄服刑。,
12,6,殺人を望んでいるらしく、,似乎很想殺人，,
12,7,この状況にはノリノリだ。,對這個状況樂在其中。,
13,1,国会議員,國會議員,
13,2,権力を笠に着て,仗著權力,
13,3,常に威張っている国会議員。,總是作威作福的國會議員。,
13,4,汚職の噂が絶えない。,貪汚傳聞不斷。,
13,5,高円寺家には世話になって,受過高圓寺家的照顧，,
13,6,いるらしく、唯柚には頭が,似乎因此對唯柚抬,
13,7,上がらないようだ。,不起頭來。,
14,5,役職は市民側。,身分是市民方。,
15,6,昇と付き合っていた。,身分是市民方。,
