seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/check_kas.tob,25,,未翻,
2,0x1c,system,system,check_kas.sts,13,,未翻,
3,0x2c,dialogue,narrative,調査_霞,7,調査_霞,人工定稿,
4,0x34,dialogue,label,調査_霞_未調査,14,調査_霞_未調査,人工定稿,
5,0x44,dialogue,narrative,画面ﾆ映ｼ出ｻﾚﾀ参加者ﾉ名前｡,25,畫面中映出的參加者姓名。,人工定稿,P7 终轮统一: 共享句对齐(畫面中映出的參加者姓名。)
6,0x60,dialogue,narrative,ｿﾉ中ｶﾗ私ﾊ『三上霞』ﾉ名前ｦ押ｽ｡,29,我從中按下『三上霞』的名字。,人工定稿,"P7 校对修正: 原文私ハ明示, 补回主语(同 check_koh 之外各档口径)"
7,0x80,dialogue,narrative,『三上霞でｲｲでｽｶ?』ﾉメッセージ｡,31,『三上霞是否正確?』的信息。,人工定稿,P7 校对修正: 訊息→信息(大陆用词); 确认句口径与 check_koh 统一
8,0xa0,dialogue,narrative,『確認』ｦ押ｽﾄ､,14,按下『確認』，,人工定稿,
9,0xb0,dialogue,narrative,画面ﾆﾊ『調査結果』ﾄｲｳ文字が浮ｶび出ﾀ｡,36,畫面上浮現出『調査結果』這幾個字。,人工定稿,
10,0xd8,dialogue,narrative,ｿｼﾃ……｡,8,然後……,人工定稿,P7 终轮统一: 共享句形(然後……)
11,0xe1,dialogue,narrative,.st…………｡,12,.st…………,人工定稿,P7 终轮统一: 共享句形(.st…………)
12,0xee,dialogue,narrative,st……｡,7,st……,人工定稿,P7 终轮统一: 共享句形(st……)
13,0xf6,dialogue,narrative,ka『三上霞ﾊシリアルキラーでｽ』,30,ka『三上霞是連環殺手』,人工定稿,
14,0x118,system,system,2052,4,,未翻,
15,0x11d,dialogue,narrative,_ka｢ﾅﾝ……だﾄ……!?｣,20,_ka｢什麼……真的!?｣,人工定稿,"P7 校对修正: だﾄ……!?=真的(同 r2_t1_4_4_0 先例), 去增译 竟然"
16,0x134,dialogue,narrative,坂橋氏ﾉ言動が､,14,坂橋的言行，,人工定稿,
17,0x144,dialogue,narrative,どｳﾆﾓシリアルキラーｦ庇ｳﾖｳﾅ感じだｯﾀﾉで,37,怎麼看都像是在袒護連環殺手，,人工定稿,
18,0x16c,dialogue,narrative,ﾏｻｶﾄﾊ思ｯﾀが……｡,16,想過該不會……。,人工定稿,
19,0x180,dialogue,narrative,ﾏｻｶ､人ﾉ死ｦｱﾝﾅﾆ嫌ｯﾃｲﾙ霞ｸﾝが,26,沒想到，如此厭惡死亡的霞，,人工定稿,P7 校对修正: 补回丢失的 あんなに=如此
20,0x19c,dialogue,narrative,シリアルキラーﾆ選ばﾚﾃｲﾀﾄﾊ……｡,30,竟會被選為連環殺手……。,人工定稿,
21,0x1bc,system,system,2053,4,,未翻,
22,0x1c1,dialogue,narrative,_ka｢運命ﾉイタズラﾆﾓ程がｱﾙだﾛｳ……｣,34,_ka｢命運的捉弄也該有個限度……｣,人工定稿,导入警告: kana_residue
23,0x1e4,dialogue,narrative,役職ﾊﾓｼﾔ､故意ﾆ振ﾗﾚﾀﾓﾉﾅﾉだﾛｳｶ｡,29,這身份莫非是被故意分配的?,人工定稿,
24,0x204,dialogue,narrative,だﾄｼﾀﾗ……｡,11,若真如此。,人工定稿,
25,0x210,dialogue,narrative,ｺﾉゲームﾉ運営者ﾊ､,17,這遊戲的運營方，,人工定稿,"P7 校对修正: 營運→運營(大陆用词, 同 r2_t5_1_0_0 人工定稿)"
26,0x224,dialogue,narrative,絶対ﾆ許ｾﾙﾓﾉでﾊﾅｲﾅ｡,18,絶不可原諒。,人工定稿,
