seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_drug.tob,23,,未翻,
2,0x18,system,system,kw_drug.sts,11,,未翻,
3,0x24,dialogue,label,ROM2_KW_薬物,12,ROM2_KW_藥物,人工定稿,
4,0x34,dialogue,label,ROM2_KW会話_薬物,16,ROM2_KW會話_藥物,人工定稿,
5,0x48,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x60,dialogue,command,フェードアウト,14,,未翻,
7,0x70,dialogue,narrative,ロム2_KW_薬物_美紀,18,ROM2_KW_藥物_美紀,人工定稿,
8,0x84,system,system,1083,4,,未翻,
9,0x89,dialogue,narrative,ug.｢薬物ｯｽｶ?｣,13,ug.｢藥物?｣,人工定稿,导入警告: kana_residue
10,0x98,system,system,1084,4,,未翻,
11,0x9d,dialogue,narrative,ug.｢ｱﾀｼが欲ｼｲﾉﾊﾔｯぱﾘ,20,ug.｢我想要的果然是,人工定稿,导入警告: kana_residue
12,0xb4,dialogue,narrative,惚ﾚ薬ｯｽ!!｣,10,迷魂藥!!｣,人工定稿,导入警告: kana_residue
13,0xc0,system,system,1924,4,,未翻,
14,0xc5,dialogue,narrative,ug.｢念ﾉﾀﾒﾆ聞ｸが,15,ug.｢為慎重問下,人工定稿,导入警告: kana_residue
15,0xd8,dialogue,narrative,どｺで使ｳﾂﾓﾘﾅﾝだ?｣,17,打算在何處用?｣,人工定稿,导入警告: kana_residue
16,0xec,system,system,1085,4,,未翻,
17,0xf1,dialogue,narrative,ug.｢ﾓﾁﾛﾝｵ姉ｻﾏﾆ使ｳｯｽ!｣,21,ug.｢當然給姐姐大人用｣,人工定稿,导入警告: kana_residue
18,0x108,system,system,1925,4,,未翻,
19,0x10d,dialogue,narrative,ug.｢ﾏｧ､現実ﾆ存在ｼﾀﾗ,19,ug.｢嘛現實中若有,人工定稿,导入警告: kana_residue
20,0x124,dialogue,narrative,間違ｲﾅｸ使用禁止ﾆﾅﾙだﾛｳがﾅ｣,26,肯定會被禁止使用｣,人工定稿,导入警告: kana_residue
21,0x140,dialogue,narrative,ロム2_KW_薬物_昇,16,ROM2_KW_藥物_昇,人工定稿,
22,0x154,system,system,0301,4,,未翻,
23,0x159,dialogue,narrative,ug.｢薬!?｣,9,ug.｢藥!?｣,人工定稿,导入警告: kana_residue
24,0x163,system,system,.1926,5,,未翻,
25,0x169,dialogue,narrative,ug.｢どｳｼﾀ?｣,11,ug.｢怎麼?｣,人工定稿,"P7 校对修正: 原文 どした? 带问号, 槽紧取短形并保留问号(全库先例 r2_t3_1_0_0 487)"
26,0x175,system,system,ts,2,,未翻,
27,0x178,system,system,0302,4,,未翻,
28,0x17d,dialogue,narrative,ug.｢ｱｧ……ｲﾔ､昔ﾊ香菜ﾆﾖｸ,23,ug.｢唔……以前常被香菜,人工定稿,"P7 校对修正: 香菜に=被香菜(原译 對香菜 误), 承29行成 被…逼著喝下"
29,0x198,dialogue,narrative,薬ﾄ呼ばﾚﾙ怪ｼげﾅ物体ｦ飲ﾏｻﾚﾃﾅ｣,28,逼著喝下那叫藥的可疑東西｣,人工定稿,"P7 校对修正: 承28行, 去重复的 被, 飲まされて=逼著喝下"
30,0x1b8,system,system,1927,4,,未翻,
31,0x1bd,dialogue,narrative,ug.｢ﾖｸ飲ﾝだﾅｿﾝﾅﾓﾉ……｣,22,ug.｢常喝那種東西……｣,人工定稿,导入警告: kana_residue
32,0x1d4,system,system,0303,4,,未翻,
33,0x1d9,dialogue,narrative,ug.｢若気ﾉ至ﾘｯﾃﾔﾂだﾖ……｣,24,ug.｢年輕氣盛那回事哦｣,人工定稿,"P7 校对修正: だよ 不得用 咯(だぜ专用), 改 哦(v1.4 卡)"
34,0x1f4,system,system,1928,4,,未翻,
35,0x1f9,dialogue,narrative,ug.｢愛ﾉ力ﾄｲｳﾔﾂｶ?｣,17,ug.｢愛的力量?｣,人工定稿,导入警告: kana_residue
36,0x20c,system,system,0304,4,,未翻,
37,0x211,dialogue,narrative,ug.｢ば､ばｶﾔﾛｳ､ｿﾝﾅﾝじｬﾈｪﾖ……!｣,30,ug.｢蠢，蠢材，才不是那樣……!｣,人工定稿,导入警告: kana_residue
38,0x230,dialogue,narrative,ロム2_KW_薬物_香菜,18,ROM2_KW_藥物_香菜,人工定稿,
39,0x244,dialogue,narrative,｢ﾝｯﾌｯﾌ～｣,9,｢呵呵～｣,人工定稿,导入警告: kana_residue
40,0x24e,system,system,s,1,,未翻,
41,0x250,dialogue,narrative,｢どｳｼﾀﾉ? どｺｶ調子でﾓ悪ｲﾉ?｣,26,｢怎麼了? 身體不舒服?｣,人工定稿,导入警告: kana_residue
42,0x26c,dialogue,narrative,｢ﾁｮｯﾄｼﾀ痛ﾐ止ﾒﾔ風邪薬程度で,26,｢普通止痛藥或感冒藥之類,人工定稿,导入警告: kana_residue
43,0x288,dialogue,narrative,ﾖｶｯﾀﾗ作ｯﾃｱげﾙﾜﾖ?｣,17,可以的話我做哦?｣,人工定稿,导入警告: kana_residue
44,0x29c,system,system,1929,4,,未翻,
45,0x2a1,dialogue,narrative,ug.｢ﾎｳ｡薬剤師ﾉ免許でﾓ持ｯﾃｲﾙﾉｶ?｣,31,ug.｢哦。還有藥劑師執照?｣,人工定稿,导入警告: kana_residue
46,0x2c4,system,system,0305,4,,未翻,
47,0x2c9,dialogue,narrative,ug.｢ｲｲｴ? ｹど､効ｷ目ﾊ保証ｽﾙﾜﾖ｡,28,ug.｢沒有? 不過效果我保證哦。,人工定稿,导入警告: kana_residue
