seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/check_yuy.tob,25,,未翻,
2,0x1c,system,system,check_yuy.sts,13,,未翻,
3,0x2c,dialogue,narrative,調査_唯柚,9,調査_唯柚,人工定稿,
4,0x38,dialogue,label,調査_唯柚_判定,14,調査_唯柚_判定,人工定稿,
5,0x48,dialogue,label,調査_唯柚_未調査,16,調査_唯柚_未調査,人工定稿,
6,0x5c,dialogue,narrative,画面ﾆ映ｼ出ｻﾚﾀ参加者ﾉ名前｡,25,畫面中映出的參加者姓名。,人工定稿,P7 校对修正
7,0x78,dialogue,narrative,ｿﾉ中ｶﾗ私ﾊ『高円寺唯柚』ﾉ名前ｦ押ｽ｡,33,我從中按下『高圓寺唯柚』的名字。,人工定稿,
8,0x9c,dialogue,narrative,『高円寺唯柚でｲｲでｽｶ?』ﾉメッセージ｡,35,出現『高圓寺唯柚是否正確?』信息。,人工定稿,P7 校对修正
9,0xc0,dialogue,narrative,『確認』ｦ押ｽﾄ､,14,按『確認』後，,人工定稿,
10,0xd0,dialogue,narrative,画面ﾆﾊ『調査結果』ﾄｲｳ文字が浮ｶび出ﾀ｡,36,畫面上浮現出『調査結果』這幾個字。,人工定稿,P7 校对修正
11,0xf8,dialogue,narrative,ｿｼﾃ……｡,8,然後……,人工定稿,P7 终轮统一: 共享句形(然後……)
12,0x101,dialogue,narrative,.st…………｡,12,.st…………,人工定稿,P7 终轮统一: 共享句形(.st…………)
13,0x10e,dialogue,narrative,st……｡,7,st……,人工定稿,
14,0x116,dialogue,narrative,yu『高円寺唯柚ﾊシリアルキラーでﾊｱﾘﾏｾﾝ』,39,yu『高圓寺唯柚不是連環殺手』,人工定稿,
15,0x140,system,system,2037,4,,未翻,
16,0x145,dialogue,narrative,_yu｢ﾌﾑ､ﾖｶｯﾀ｣,12,_yu｢太好了｣,人工定稿,导入警告: kana_residue
17,0x152,dialogue,narrative,stﾅぜｶ口ｶﾗ､ｿﾝﾅ言葉がｺぼﾚﾀ｡,26,st不經意説出了那種話。,人工定稿,
18,0x170,dialogue,narrative,彼女がシリアルキラーだﾅﾝﾃ､,26,唯柚是連環殺手什麼的，,人工定稿,
19,0x18c,dialogue,narrative,想像ｼﾀｸﾓﾅｶｯﾀｶﾗだﾛｳｶ｡,20,或許因為不願想像。,人工定稿,P7 校对修正
20,0x1a4,dialogue,narrative,だが探偵ﾉ役割ﾄｼﾃﾊ､ﾖｶｯﾀﾄﾊ言ｴﾅｲ｡,30,但作為偵探的職責，不算是好事。,人工定稿,P7 校对修正
21,0x1c4,dialogue,narrative,シリアルキラーｦ見ﾂｹﾙ機会が,26,找出連環殺手的機會,人工定稿,
22,0x1e0,dialogue,narrative,一回減ｯﾃｼﾏｯﾀﾉだ……｡,20,就少了一次……。,人工定稿,
23,0x1f8,dialogue,narrative,唯柚ｸﾝｦ信じﾗﾚﾙﾖｳﾆﾅｯﾀﾄﾊｲｴ,24,雖説變得能相信唯柚了,人工定稿,
24,0x214,dialogue,narrative,焦ﾘｦ感じずﾆﾊｲﾗﾚﾅｶｯﾀ……｡,24,卻無法不感到焦慮……。,人工定稿,
25,0x230,dialogue,narrative,調査_唯柚_調査済,16,調査_唯柚_調査濟,人工定稿,
26,0x244,system,system,2038,4,,未翻,
27,0x249,dialogue,narrative,_yu｢ｳﾑ｡ﾖｸ考ｴﾀﾗ知ｯﾃﾀﾅ､私｣,24,_yu｢唔。想來我早知道｣,人工定稿,导入警告: kana_residue
28,0x262,dialogue,narrative,ｱﾘﾅぜｶﾏだ調べﾃｲﾅｲﾖｳﾅ気がｼﾃｼﾏｯﾀ｡,31,總覺得好像還沒調査過。,人工定稿,P7 校对修正
29,0x284,dialogue,narrative,私ﾉ記憶ﾏでｵ花畑ﾆ,16,連記憶都成了花田,人工定稿,
30,0x298,dialogue,narrative,浸食ｻﾚﾃｼﾏｯﾀﾉだﾛｳｶ｡,18,已經被侵蝕了?,人工定稿,
31,0x2ac,dialogue,narrative,……次ｶﾗﾊﾁｬﾝﾄ確認ｼﾃｶﾗ,21,……下次要好好確認後,人工定稿,
32,0x2c4,dialogue,narrative,調べﾙ相手ｦ選ぶﾄｼﾖｳ｡,19,再選要調査的對象。,人工定稿,
