seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_detect.tob,25,,未翻,
2,0x1c,system,system,kw_detect.sts,13,,未翻,
3,0x2c,dialogue,label,ROM2_KW_探偵,12,ROM2_KW_偵探,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_探偵,16,ROM2_KW會話_偵探,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_探偵_昇,16,ROM2_KW_偵探_昇,人工定稿,
8,0x8c,system,system,0279,4,,未翻,
9,0x91,dialogue,narrative,tec｢探偵ｯﾃ難ｼｿｳだﾖﾅ｡,20,tec｢偵探好像很難呀。,人工定稿,"P7 校对: だよな 共感陈述, 依 v1.4 卡用「呀」(去「哦」)"
10,0xa8,dialogue,narrative,俺が探偵だｯﾀﾗ何ｼﾃｲｲｶﾜｶﾗﾅｲﾖ｣,27,要是我是偵探也不知該做什麼｣,人工定稿,导入警告: kana_residue
11,0xc4,system,system,1771,4,,未翻,
12,0xc9,dialogue,narrative,tec｢ｿｳだﾅ……誰がシリアルキラーﾅﾉｶ,34,tec｢對呀……究竟誰是連環殺手,人工定稿,导入警告: kana_residue
13,0xec,dialogue,narrative,知ｯﾀﾄｺﾛで……ﾄｲｳ問題ﾓｱﾙｼﾅ｣,26,就算知道……也是個問題呀｣,人工定稿,导入警告: kana_residue
14,0x108,system,system,0280,4,,未翻,
15,0x10d,dialogue,narrative,tec｢だﾖﾅｧ｡,10,tec｢對呀。,人工定稿,导入警告: kana_residue
16,0x118,dialogue,narrative,簡単ﾆ処刑ｯﾃﾜｹﾆﾓｲｶﾅｲﾓﾝﾅ……｣,27,也不能就那麼簡單處刑……｣,人工定稿,导入警告: kana_residue
17,0x134,dialogue,narrative,ロム2_KW_探偵_香菜,18,ROM2_KW_偵探_香菜,人工定稿,
18,0x148,dialogue,narrative,｢純粋ﾆゲームﾄｼﾃ楽ｼﾑﾅﾗ､,22,｢若單純當遊戲享受，,人工定稿,导入警告: kana_residue
19,0x160,dialogue,narrative,ﾄｲｳ注釈付ｷだｹど､,16,雖附這種注解，,人工定稿,
20,0x174,dialogue,narrative,探偵ﾊ中々面白ｿｳﾈ｣,17,偵探好像挺有趣呀｣,人工定稿,"P7 校对: そうね 共感陈述, 依 v1.4 卡用「呀」(去「哦」)"
21,0x188,system,system,1772,4,,未翻,
22,0x18d,dialogue,narrative,tec｢ﾅぜだ?｣,11,tec｢為何?｣,人工定稿,导入警告: kana_residue
23,0x199,dialogue,narrative,.st｢自分ﾉ1票ﾊ何ﾆﾓﾅﾗﾅｲﾉﾆ､,24,.st｢自己1票毫無作用，,人工定稿,导入警告: kana_residue
24,0x1b4,dialogue,narrative,ｿﾉ情報ﾄ言葉だｹで状況ｦ変ｴﾙﾉﾖ｣,28,光靠信息和話語就能改變状況｣,人工定稿,导入警告: kana_residue
25,0x1d4,system,system,0281,4,,未翻,
26,0x1d9,dialogue,narrative,tec｢ｼｶﾓ自分が探偵だﾅﾝﾃ明ｶｼﾀﾗ,28,tec｢而且暴露自己是偵探的話,人工定稿,导入警告: kana_residue
27,0x1f8,dialogue,narrative,殺ｻﾚﾁｬｳｶﾗ､ｿﾚﾓでｷﾅｲ……,22,會被殺，那也做不到……,人工定稿,
28,0x210,dialogue,narrative,ギリギリﾉ駆ｹ引ｷ､面白ｿｳじｬﾅｲ｣,28,極限心理戰，不也挺有趣?｣,人工定稿,导入警告: kana_residue
29,0x230,system,system,1773,4,,未翻,
30,0x235,dialogue,narrative,tec｢君ﾊ､ゲームﾊハードモードで始ﾒﾙタイプｶ｣,41,tec｢玩遊戲都從困難模式開始的類型?｣,人工定稿,"P7 校对: ゲームは 缺谓语, 补「玩」; 去误加的「是」"
31,0x260,system,system,0282,4,,未翻,
32,0x265,dialogue,narrative,tec｢ｳｳﾝ?,8,tec｢唔?,人工定稿,导入警告: kana_residue
