seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_propose.tob,26,,未翻,
2,0x1c,system,system,kw_propose.sts,14,,未翻,
3,0x2c,dialogue,label,ROM2_KW_プロポーズ,18,ROM2_KW_求婚,人工定稿,
4,0x40,dialogue,label,ROM2_KW会話_プロポーズ,22,ROM2_KW會話_求婚,人工定稿,
5,0x58,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x70,dialogue,command,フェードアウト,14,,未翻,
7,0x80,dialogue,narrative,ロム2_KW_プロポーズ_美紀,24,ROM2_KW_求婚_美紀,人工定稿,
8,0x9c,system,system,0937,4,,未翻,
9,0xa1,dialogue,narrative,opo｢ｳﾋｬｰ!,9,opo｢嗚呀!,人工定稿,导入警告: kana_residue
10,0xab,dialogue,narrative,oマジｯｽｶ!? ｵ姉ｻﾏ大好ｷｯｽ!,24,o真的!? 最喜歡姐姐大人!,人工定稿,
11,0xc4,dialogue,narrative,愛ｼﾃﾙｯｽ!｣,9,好愛呀!｣,人工定稿,导入警告: kana_residue
12,0xce,system,system,.s1391,6,,未翻,
13,0xd5,dialogue,narrative,opo｢待ﾃ待ﾃ､暴走ｽﾙﾅ｡,19,opo｢等等，別暴走。,人工定稿,导入警告: kana_residue
14,0xec,dialogue,narrative,私ﾊ別ﾆ……｣,11,我並沒……｣,人工定稿,导入警告: kana_residue
15,0xf8,system,system,0938,4,,未翻,
16,0xfd,dialogue,narrative,opo｢法的ﾆ認ﾒﾗﾚﾅｸﾃﾓ､,19,opo｢就算不合法，,人工定稿,导入警告: kana_residue
17,0x114,dialogue,narrative,ｱﾀｼﾊずｯﾄｵ姉ｻﾏﾉ嫁ｯｽﾖ!｣,21,永遠是姐姐大人的妻!｣,人工定稿,导入警告: kana_residue
18,0x12c,system,system,1392,4,,未翻,
19,0x131,dialogue,narrative,opo｢ﾁ､ﾁｮｯﾄ､美紀ｸﾝ｡,18,opo｢等等，美紀。,人工定稿,导入警告: kana_residue
20,0x144,dialogue,narrative,顔が近ｲぞ……｣,14,臉太近了……｣,人工定稿,导入警告: kana_residue
21,0x154,system,system,0939,4,,未翻,
22,0x159,dialogue,narrative,opo｢ﾝｰ……｣,11,opo｢唔……｣,人工定稿,导入警告: kana_residue
23,0x165,system,system,e.s1393,7,,未翻,
24,0x16d,dialogue,narrative,opo｢ﾔ､ﾔﾒﾅｲｶ､ｺﾗ｣,15,opo｢欸，住手｣,人工定稿,"P7: こら 误译修正(全库 こら→欸), 去骂称"
25,0x17d,system,system,s,1,,未翻,
26,0x180,system,system,0940,4,,未翻,
27,0x185,dialogue,narrative,opo｢……ｺｳｼﾃ､ｱﾀｼﾄｵ姉ｻﾏﾊ結ばﾚ,28,opo｢……這樣我和姐姐大人結為,人工定稿,导入警告: kana_residue
28,0x1a4,dialogue,narrative,末永ｸ幸ｾﾆ暮ﾗｼﾀﾉでｼﾀ｣,20,永遠幸福地生活了｣,人工定稿,导入警告: kana_residue
29,0x1bc,system,system,Fin.,4,,未翻,
30,0x1c1,system,system,opo1394,7,,未翻,
31,0x1c9,dialogue,narrative,opo｢だが断ﾙ!｣,13,opo｢我拒絶!｣,人工定稿,导入警告: kana_residue
32,0x1d7,system,system,s0941,5,,未翻,
33,0x1dd,dialogue,narrative,opo｢ｴｰ……｣,11,opo｢欸……｣,人工定稿,导入警告: kana_residue
34,0x1e9,system,system,e.s1395,7,,未翻,
35,0x1f1,dialogue,narrative,opo｢ｺﾝﾅﾄｺﾛで終ﾜｯﾃﾀﾏﾙｶ｡,22,opo｢豈能在這地方結束。,人工定稿,导入警告: kana_residue
36,0x208,dialogue,narrative,思ｲｯｷﾘバッドエンドだｯﾀでﾊﾅｲｶ｣,29,根本就是個壞結局不是?｣,人工定稿,P7: 〜ではないか 求確認出口(卡 v1.4)
37,0x228,system,system,0942,4,,未翻,
38,0x22d,dialogue,narrative,opo｢超ハッピーエンドｯｽﾖｰ!｣,26,opo｢超美滿結局哦!｣,人工定稿,导入警告: kana_residue
39,0x248,system,system,1396,4,,未翻,
40,0x24d,dialogue,narrative,opo｢ﾜｶｯﾀ｡ﾓｳﾜｶｯﾀｶﾗ､,18,opo｢知道。知道了，,人工定稿,导入警告: kana_residue
41,0x260,dialogue,narrative,今ﾊﾄﾆｶｸXｦ探ｽ作業だ｡ｲｲﾅ?｣,24,現在總之先找X。知道?｣,人工定稿,导入警告: kana_residue
42,0x27c,system,system,0943,4,,未翻,
43,0x281,dialogue,narrative,opo｢ﾁｪ｡ｳｨｰｽ｣,12,opo｢切。好｣,人工定稿,导入警告: kana_residue
44,0x28e,dialogue,narrative,.s彼女ﾆｺﾝﾅ話題ｦ出ｼﾀ私がバカだｯﾀ｡,32,.s跟美紀提這種話題的我真蠢。,人工定稿,P7: 第三人称女性用名字指代(指南 v1.2)
45,0x2b0,dialogue,narrative,ロム2_KW_プロポーズ_昇,22,ROM2_KW_求婚_昇,人工定稿,
46,0x2c8,system,system,0216,4,,未翻,
47,0x2cd,dialogue,narrative,opo｢ｲ､ｲﾔ､悪ｲｹど俺､,18,opo｢不，抱歉，但我,人工定稿,"P7: 补回 けど 连接, 与下行衔接"
48,0x2e0,dialogue,narrative,浅川ｻﾝﾊｿｳｲｳ風ﾆ見ﾚﾅｲｯﾃｲｳｶ……｣,29,沒法把淺川當成那種對象……｣,人工定稿,P7: そういう風に見れない 误译修正(原'不像那種人')
49,0x300,system,system,1397,4,,未翻,
50,0x305,dialogue,narrative,opo｢別ﾆ､プロポーズｼﾀﾂﾓﾘでﾊﾅｲが?｣,32,opo｢沒什麼，我不是求婚的意思?｣,人工定稿,P7: 〜したつもりではない 语义修正
51,0x328,system,system,0217,4,,未翻,
52,0x32d,dialogue,narrative,opo｢ｴｯ?,7,opo｢欸?,人工定稿,导入警告: kana_residue
53,0x335,dialogue,narrative,opoｱ､ｿｳ? ｿｳだﾖﾅ､ﾊﾊﾊ｣,20,opo是? 對呀，哈哈哈｣,人工定稿,P7: そうだよね 承答位用「對呀」(卡 v1.4)
54,0x34c,system,system,1398,4,,未翻,
55,0x351,dialogue,narrative,opo｢プロポーズﾓｼﾃﾅｲﾉﾆフラﾚﾃｼﾏｯﾀ……｡,36,opo｢還沒求婚就被拒絶了……。,人工定稿,导入警告: kana_residue
56,0x378,dialogue,narrative,乙女心が傷ﾂｲﾀでﾊﾅｲｶ……｡,24,少女心受傷了不是?……。,人工定稿,P7: 〜ではないか 求確認出口(卡 v1.4)
57,0x394,dialogue,narrative,どｳ責任ｦ取ｯﾃｸﾚﾙﾉだ｣,19,要怎麼負責呀｣,人工定稿,导入警告: kana_residue
58,0x3a8,system,system,0218,4,,未翻,
59,0x3ad,dialogue,narrative,opo｢ｴｯ､ｾ､責任ｯﾃ……?｣,21,opo｢欸、責任……?｣,人工定稿,导入警告: kana_residue
60,0x3c4,system,system,1399,4,,未翻,
61,0x3c9,dialogue,narrative,opo｢慰謝料ﾄｼﾃ五十万円ｦ請求ｽﾙ｣,29,opo｢作為賠償要求五十萬圓｣,人工定稿,P7: 慰謝料 日式词改写
62,0x3e8,system,system,0219,4,,未翻,
63,0x3ed,dialogue,narrative,opo｢じ､冗談ﾆ聞ｺｴﾅｲ金額ｦ言ｳﾅｯ!｣,30,opo｢別説不像玩笑的金額!｣,人工定稿,导入警告: kana_residue
64,0x40c,dialogue,narrative,ｳﾑ､実ﾆ弄ﾘ甲斐ﾉｱﾙ男だ｡,21,唔，這男人真好戲弄。,人工定稿,
65,0x424,dialogue,narrative,ロム2_KW_プロポーズ_香菜,24,ROM2_KW_求婚_香菜,人工定稿,
66,0x440,system,system,0231,4,,未翻,
67,0x445,dialogue,narrative,opo｢プロポーズﾉ台詞でｻ｡,23,opo｢求婚的台詞嘛。,人工定稿,导入警告: kana_residue
68,0x460,dialogue,narrative,ﾖｸ､毎朝俺ﾉﾐｿ汁作ｯﾃｸﾚｰｯﾃﾉ,24,常有毎天早上為我做味噌湯,人工定稿,P7: 补回 よく/毎朝
69,0x47c,dialogue,narrative,ｱﾙｹど……｣,10,有哦……｣,人工定稿,导入警告: kana_residue
70,0x487,system,system,s0232,5,,未翻,
71,0x48d,dialogue,narrative,opo｢私､パン食派ﾅﾉﾖﾈ｡,20,opo｢我是麺包派呀。,人工定稿,P7: なのよね 共感陈述用「呀」(卡 v1.4)
72,0x4a4,dialogue,narrative,ｿﾚ言ﾜﾚﾀﾗ､例ｴ大好ｷﾅ人でﾓ,23,被那樣説，就算喜歡的人,人工定稿,
73,0x4bc,dialogue,narrative,ｲｲｴﾄ言ﾜざﾙｦ得ﾅｲﾉﾖ｣,18,也只能説不呀｣,人工定稿,导入警告: kana_residue
74,0x4d0,system,system,1400,4,,未翻,
75,0x4d5,dialogue,narrative,opo｢大好ｷﾅ人ﾉﾀﾒﾆ,16,opo｢為了喜歡的人,人工定稿,导入警告: kana_residue
76,0x4e8,dialogue,narrative,ご飯派ﾆﾅﾙﾄｲｳﾉﾊどｳだ?｣,21,改成米飯派如何?｣,人工定稿,导入警告: kana_residue
77,0x500,system,system,0233,4,,未翻,
78,0x505,dialogue,narrative,opo｢ﾊ? ﾅﾝで私が合ﾜｾﾅｷｬﾅﾝﾅｲﾉﾖ｡,29,opo｢哈? 為何要我配合呀。,人工定稿,导入警告: kana_residue
79,0x524,dialogue,narrative,ﾑｼﾛ男ﾉ方が毎朝パンｦ焼ｹばｲｲﾉﾖ｣,29,不如男的毎天早上做麺包就好｣,人工定稿,"P7: 毎朝 补正; 烤 不可编码, 改 做(与味噌湯句并行)"
80,0x544,dialogue,narrative,……彼女ﾄ結婚ｼﾀ男ﾊ,18,……娶香菜的男人,人工定稿,P7: 第三人称女性用名字指代(指南 v1.2)
81,0x558,dialogue,narrative,尻ﾆ敷ｶﾚｿｳだﾅ……｡,17,會被老婆管……。,人工定稿,
