seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_death.tob,24,,未翻,
2,0x1c,system,system,kw_death.sts,12,,未翻,
3,0x2c,dialogue,label,ROM2_KW_西野ﾉ死,15,ROM2_KW_西野死,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_西野ﾉ死,19,ROM2_KW會話_西野死,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_西野ﾉ死_美紀,21,ROM2_KW_西野之死_美紀,人工定稿,
8,0x90,system,system,1086,4,,未翻,
9,0x95,dialogue,narrative,ath｢ｱﾉｵｯｻﾝ､嫌ﾜﾚﾃﾀじｬﾅｲｽｶ｡,25,ath｢那大叔不是被討厭了?,人工定稿,"P7 校对修正: 原文引号未闭合(至11收), 去误加的 ｣"
10,0xb0,dialogue,narrative,だｶﾗ､誰ｶﾗ狙ﾜﾚﾃｲﾃﾓ,17,所以不管被誰鎖定,人工定稿,
11,0xc4,dialogue,narrative,ｵｶｼｸﾅｲｯｽﾖﾈ……｣,15,也不奇怪呀……｣,人工定稿,"P7 校对修正: おかしくないっすよね 求确认, v1.4 卡禁 哦; 无问号从共感支用 呀"
12,0xd4,system,system,1951,4,,未翻,
13,0xd9,dialogue,narrative,ath｢……ｿﾚﾊ､美紀ｸﾝが彼ｦ狙ｯﾃｲﾀﾄﾓ,31,ath｢……就是説，美紀也鎖定了他,人工定稿,导入警告: kana_residue
14,0xfc,dialogue,narrative,考ｴﾗﾚﾙﾉだが……?｣,17,可以這樣想……?｣,人工定稿,导入警告: kana_residue
15,0x110,system,system,1087,4,,未翻,
16,0x115,dialogue,narrative,ath｢ｱ､ｱﾀｼﾊ違ｳｯｽﾖ!｣,18,ath｢不，不是我!｣,人工定稿,导入警告: kana_residue
17,0x128,system,system,1088,4,,未翻,
18,0x12d,dialogue,narrative,ath｢ｿﾘｬ､気ﾆ食ﾜﾅｲｵｯｻﾝだﾅｯﾃ,25,ath｢那當然，惹人厭的大叔,人工定稿,导入警告: kana_residue
19,0x148,dialogue,narrative,思ｯﾃﾀｹど……｣,13,這麼想過……｣,人工定稿,导入警告: kana_residue
20,0x158,system,system,1089,4,,未翻,
21,0x15d,dialogue,narrative,ath｢殺ｼﾃﾔﾛｳﾄｶﾏでﾊ思ｯﾃﾅｲｯｽ!｣,27,ath｢沒想過要殺了他之類的!｣,人工定稿,导入警告: kana_residue
22,0x17c,system,system,1952,4,,未翻,
23,0x181,dialogue,narrative,ath｢……ﾜｶｯﾃﾙ｡,14,ath｢……明白。,人工定稿,导入警告: kana_residue
24,0x190,dialogue,narrative,だが､君ﾉ発言ﾊ､下手ｦｽﾚば周囲ｶﾗ,29,但這番話弄不好，就算被周圍,人工定稿,"P7 校对修正: 跨行断句重排, 让25行成句"
25,0x1b0,dialogue,narrative,疑ｲﾉ眼差ｼが向ｹﾗﾚﾃﾓ仕方がﾅｲﾉだ｣,30,投以懷疑目光也難免。｣,人工定稿,"P7 校对修正: 承24行, 去掉重复的 就算"
26,0x1d0,system,system,1953,4,,未翻,
27,0x1d5,dialogue,narrative,ath｢君が本当ﾆ潔白ﾅﾗ､迂闊ﾅｺﾄｦ言ｳﾉﾊ止ｾ｡,37,ath｢若真是清白，就別説輕率的話。,人工定稿,导入警告: kana_residue
28,0x1fc,dialogue,narrative,ﾜｶｯﾀﾅ?｣,7,明白?｣,人工定稿,导入警告: kana_residue
29,0x204,system,system,1090,4,,未翻,
30,0x209,dialogue,narrative,ath｢ｳｰ……｣,11,ath｢嗚……｣,人工定稿,导入警告: kana_residue
31,0x215,dialogue,narrative,stsロム2_KW_西野ﾉ死_香菜,24,stsROM2_KW_西野之死_香菜,人工定稿,
32,0x230,system,system,0307,4,,未翻,
33,0x235,dialogue,narrative,ath｢西野ｻﾝ?,11,ath｢西野?,人工定稿,"P7 校对修正: 原文引号未闭合, 去误加的 ｣"
