seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_ope.tob,22,,未翻,
2,0x18,system,system,kw_ope.sts,10,,未翻,
3,0x24,dialogue,label,ROM2_KW_樫沢ﾉ作戦,17,ROM2_KW_樫澤作戰,人工定稿,
4,0x38,dialogue,label,ROM2_KW会話_樫沢ﾉ作戦,21,ROM2_KW會話_樫澤作戰,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_樫沢ﾉ作戦_美紀,23,ROM2_KW_樫澤之作戰_美紀,人工定稿,
8,0x90,system,system,1034,4,,未翻,
9,0x95,dialogue,narrative,e.s｢ｱﾀｼﾊ半信半疑ｯﾃ感じｯｽ｣,25,e.s｢我是半信半疑的感覺｣,人工定稿,导入警告: kana_residue
10,0xb0,system,system,1035,4,,未翻,
11,0xb5,dialogue,narrative,e.s｢だｯﾃ､樫沢ﾊ偉ｿｳﾆｺﾉ作戦ｦ,26,e.s｢因為樫澤擺架子向大家,人工定稿,导入警告: kana_residue
12,0xd0,dialogue,narrative,ﾐﾝﾅﾆ勧ﾒﾀｹど……,15,推薦這作戰……,人工定稿,
13,0xe0,dialogue,narrative,実際､死人が出ﾁｬｯﾀじｬﾅｲｽｶ｣,25,但實際出了人命不是嘛｣,人工定稿,导入警告: kana_residue
14,0xfc,system,system,1036,4,,未翻,
15,0x101,dialogue,narrative,e.s｢ｺﾉﾏﾏ続ｹﾃ大丈夫ｶﾅｰｯﾃ不安ｯｽ｣,30,e.s｢擔心這樣下去是否沒問題｣,人工定稿,"P7 校对修正: かなーって不安 误译+翻译腔: 改""擔心…是否…"""
16,0x120,system,system,1788,4,,未翻,
17,0x125,dialogue,narrative,e.s｢……美紀ｸﾝﾉ言ｲﾀｲｺﾄﾊﾜｶﾙ｣,27,e.s｢……我明白美紀想説的｣,人工定稿,导入警告: kana_residue
18,0x144,system,system,1789,4,,未翻,
19,0x149,dialogue,narrative,e.s｢だが､樫沢氏ﾉ作戦ﾖﾘ有効ﾅ作戦がｱﾙｶ?｣,38,e.s｢但有比樫澤作戰更有效的?｣,人工定稿,导入警告: kana_residue
20,0x170,system,system,1037,4,,未翻,
21,0x175,dialogue,narrative,e.s｢ｿﾚﾊ……｣,12,e.s｢那……｣,人工定稿,导入警告: kana_residue
22,0x184,system,system,1790,4,,未翻,
23,0x189,dialogue,narrative,e.s｢ﾖﾘ良ｲ考ｴが見ﾂｶﾙﾏでﾊ､,24,e.s｢在找到更好想法前，,人工定稿,导入警告: kana_residue
