seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_secret.tob,25,,未翻,
2,0x1c,system,system,kw_secret.sts,13,,未翻,
3,0x2c,dialogue,label,ROM2_KW_秘密,12,ROM2_KW_秘密,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_秘密,16,ROM2_KW會話_秘密,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_秘密_美紀,18,ROM2_KW_秘密_美紀,人工定稿,
8,0x8c,system,system,1070,4,,未翻,
9,0x91,dialogue,narrative,cre｢ｵ姉ｻﾏ……ｱﾀｼﾉ目ｦ見ﾃ下ｻｲ!!,29,cre｢姐姐大人……看我的眼睛!!,人工定稿,导入警告: kana_residue
10,0xb0,dialogue,narrative,ｱﾀｼﾊｵ姉ｻﾏﾆ秘密ﾅﾝｶﾅｲｯｽ!｣,23,我對姐姐大人毫無秘密!｣,人工定稿,导入警告: kana_residue
11,0xc8,system,system,1870,4,,未翻,
12,0xcd,dialogue,narrative,cre｢目ｯﾃ……｣,13,cre｢眼睛……,人工定稿,导入警告: kana_residue
13,0xdb,system,system,t1071,5,,未翻,
14,0xe1,dialogue,narrative,cre｢キラキラーン｣,17,cre｢閃閃發亮｣,人工定稿,导入警告: kana_residue
15,0xf4,system,system,1871,4,,未翻,
16,0xf9,dialogue,narrative,cre｢ﾜ､ﾜｶｯﾀｶﾗ,12,cre｢明白了,人工定稿,导入警告: kana_residue
17,0x106,dialogue,narrative,stｺｯﾁｦ見ﾙﾅ暑苦ｼｲ｣,17,st別看這邊，好熱,人工定稿,
18,0x118,dialogue,narrative,ロム2_KW_秘密_昇,16,ROM2_KW_秘密_昇,人工定稿,
19,0x12c,system,system,0295,4,,未翻,
20,0x131,dialogue,narrative,cre｢秘密ﾅﾝﾃ話ｽﾊずﾅｲだﾛ｡,23,cre｢秘密才不會説。,人工定稿,导入警告: kana_residue
21,0x14c,dialogue,narrative,秘密ﾅﾝだｶﾗ｣,11,因為是秘密｣,人工定稿,导入警告: kana_residue
22,0x158,system,system,1872,4,,未翻,
23,0x15d,dialogue,narrative,cre｢ｿﾚﾊﾏｧ､ｿｳだﾛｳﾅ｣,18,cre｢那倒是。｣,人工定稿,"P7 校对修正: そうだろうな=同意(そう=如此), 非'自然'; 邻块同形句定译 那倒是"
24,0x170,system,system,0296,4,,未翻,
25,0x175,dialogue,narrative,cre｢特ﾆｺﾉゲームﾆｵｲﾃﾊ……,24,cre｢尤其在這個遊戲中……,人工定稿,导入警告: kana_residue
26,0x190,dialogue,narrative,秘密ﾆｽﾙｺﾄが多ｽぎﾙ｣,18,要保密的事太多了｣,人工定稿,导入警告: kana_residue
27,0x1a4,system,system,0297,4,,未翻,
28,0x1a9,dialogue,narrative,cre｢ｲｯｿ探偵が､全部暴ｲﾃ,22,cre｢乾脆讓偵探全部掲穿,人工定稿,导入警告: kana_residue
29,0x1c0,dialogue,narrative,秘密ﾓ何ﾓｶﾓ公表ｼﾃｸﾚﾚば,21,把秘密全都公開出來,人工定稿,
30,0x1d8,dialogue,narrative,楽ﾅﾉﾆﾅ……｣,11,多輕鬆……｣,人工定稿,导入警告: kana_residue
31,0x1e4,dialogue,narrative,探偵が､ｶ｡,9,偵探，哦,人工定稿,
32,0x1ee,dialogue,narrative,st簡単ｿｳﾆ難ｼｲｺﾄｦ言ｯﾃｸﾚﾙ｡,24,st把難題説得簡單。,人工定稿,"P7 校对修正: 簡単そうに 修饰 言う(説得容易), 原译误挂到 こと(看似簡單的難題)"
33,0x208,dialogue,narrative,ロム2_KW_秘密_香菜,18,ROM2_KW_秘密_香菜,人工定稿,
34,0x21c,system,system,0293,4,,未翻,
35,0x221,dialogue,narrative,cre｢秘密ﾅ道具ﾅﾗｱﾙﾜﾖ｣,20,cre｢秘密道具我倒有｣,人工定稿,导入警告: kana_residue
36,0x238,system,system,0294,4,,未翻,
37,0x23d,dialogue,narrative,cre｢どｺﾆでﾓｲｹﾙドアﾄｶ,20,cre｢能去任何地方的門,人工定稿,导入警告: kana_residue
38,0x254,dialogue,narrative,時間旅行ﾉでｷﾙ機械性ﾉ絨毯ﾄｶ,26,能時間旅行的機械式地毯,人工定稿,"P7 校对修正: 機械性=機械式, '機器地毯'不成词"
39,0x270,dialogue,narrative,小ｻｸﾅﾙ懐中電灯ﾄｶ!｣,18,能變小的手電筒!｣,人工定稿,"P7 校对修正: 小さくなる=能變小(縮小燈梗), 原译'小小的'丢了 なる"
40,0x284,system,system,1873,4,,未翻,
41,0x289,dialogue,narrative,cre｢ﾎﾎｳ｡,8,cre｢哦哦,人工定稿,导入警告: kana_residue
42,0x292,dialogue,narrative,re君ﾉ技術ﾊ百年ﾎど先取ﾘｼﾃｲﾙﾖｳだﾅ｣,32,re這技術像是領先了百年｣,人工定稿,导入警告: kana_residue
43,0x2b4,dialogue,narrative,｢何ｶ貸ｼﾃ欲ｼｲﾓﾉｱﾙ?｣,18,｢有想借的東西?｣,人工定稿,导入警告: kana_residue
44,0x2c8,system,system,1874,4,,未翻,
45,0x2cd,dialogue,narrative,cre｢ｿｳだﾅ､ｿﾚﾗﾉ道具が,20,cre｢對呀，那些道具,人工定稿,导入警告: kana_residue
46,0x2e4,dialogue,narrative,全部入ｯﾃｼﾏｳポケットが,21,能全部裝進去的口袋,人工定稿,
47,0x2fc,dialogue,narrative,ｱｯﾀﾘｼﾅｲｶ?｣,10,有沒有?｣,人工定稿,导入警告: kana_residue
48,0x307,dialogue,narrative,t｢ポケット?,11,t｢口袋?,人工定稿,导入警告: kana_residue
49,0x313,dialogue,narrative,t夢が無ｲﾜﾈ……｣,15,t真沒夢想……｣,人工定稿,导入警告: kana_residue
50,0x324,system,system,1875,4,,未翻,
51,0x329,dialogue,narrative,cre｢夢ﾉ塊が欲ｼｲﾄ言ｯﾀﾂﾓﾘﾅﾉだがﾅ｣,31,cre｢我明明説想要夢想的結晶｣,人工定稿,导入警告: kana_residue
52,0x34c,dialogue,narrative,ロム2_KW_秘密_圭介,18,ROM2_KW_秘密_圭介,人工定稿,
53,0x360,system,system,0161,4,,未翻,
54,0x365,dialogue,narrative,cre｢秘密?｣,10,cre｢秘密?｣,人工定稿,导入警告: kana_residue
55,0x370,system,system,0162,4,,未翻,
56,0x375,dialogue,narrative,cre｢ｿﾝﾅﾓﾉ無ｲでｽﾖ｣,17,cre｢我沒那種東西｣,人工定稿,导入警告: kana_residue
57,0x388,system,system,1876,4,,未翻,
58,0x38d,dialogue,narrative,creでﾊ､ｿﾉ隠ｼ持ｯﾃﾙ霞ｸﾝﾉ写真ﾊ,27,cre那麼私藏的霞的照片,人工定稿,
59,0x3ac,dialogue,narrative,本人ﾓ公認ｼﾃｲﾙﾉだﾅ｣,18,當事人也承認了｣,人工定稿,导入警告: kana_residue
60,0x3c0,system,system,0163,4,,未翻,
61,0x3c5,dialogue,narrative,cre｢ﾅｯ……!?,12,cre｢欸……!?,人工定稿,导入警告: kana_residue
62,0x3d2,dialogue,narrative,stｲﾂ見ﾀﾝでｽｶ!?｣,15,st何時看的!?｣,人工定稿,"P7 校对修正: いつ→何時(全库人工块8处先例); 幾時 台/南方色彩, 且全库仅此1处"
63,0x3e4,system,system,1877,4,,未翻,
64,0x3e9,dialogue,narrative,cre｢見ﾃﾅｲ｡適当ﾆ言ｯﾃﾐﾀだｹだが,28,cre｢沒看。只是隨口説説而已,人工定稿,导入警告: kana_residue
65,0x408,dialogue,narrative,ﾏｻｶ本当ﾆ持ｯﾃｲﾙﾄﾊﾅ｣,18,沒想到竟然真有｣,人工定稿,导入警告: kana_residue
66,0x41c,system,system,0164,4,,未翻,
67,0x421,dialogue,narrative,cre｢ﾋｯ､卑怯ﾅ!｣,14,cre｢嗚，卑鄙!｣,人工定稿,P7 校对修正
68,0x430,dialogue,narrative,反応ﾉ面白ｲﾔﾂだ｡,15,反應真有趣。,人工定稿,
69,0x440,dialogue,narrative,ロム2_KW_秘密_霞,16,ROM2_KW_秘密_霞,人工定稿,
70,0x454,system,system,0169,4,,未翻,
71,0x459,dialogue,narrative,cre｢……秘密でｽｶ｡ｴｯﾄ……｣,25,cre｢……秘密呀。那個……｣,人工定稿,导入警告: kana_residue
72,0x474,system,system,0170,4,,未翻,
73,0x479,dialogue,narrative,cre｢……秘密でｽ｡ごﾒﾝﾅｻｲ｣,24,cre｢……是秘密。抱歉｣,人工定稿,导入警告: kana_residue
74,0x494,system,system,1878,4,,未翻,
75,0x499,dialogue,narrative,cre｢ｲﾔ､どｳｼﾃﾓ話ｼﾀｸﾅｲｺﾄﾓｱﾙだﾛｳ｡,30,cre｢不，總有不願説出口的事。,人工定稿,导入警告: kana_residue
76,0x4b8,dialogue,narrative,変ﾅ聞ｷ方ｦｼﾃ悪ｶｯﾀ｣,17,問法不好，抱歉｣,人工定稿,导入警告: kana_residue
77,0x4cc,dialogue,narrative,ロム2_KW_秘密_ﾊﾙｶ,17,ROM2_KW_秘密_遙,人工定稿,
78,0x4e0,system,system,0111,4,,未翻,
79,0x4e5,dialogue,narrative,cre｢……嫌ｲﾅ食べﾓﾉ､,19,cre｢……討厭的菜，,人工定稿,导入警告: kana_residue
80,0x4fc,dialogue,narrative,ｵ母ｻﾝﾄｵ兄ﾁｬﾝﾆ内緒で,19,背著母親和哥哥,人工定稿,
81,0x510,dialogue,narrative,タンスﾉ後ﾛﾆ捨ﾃﾀ事がｱﾙ｣,22,曾經把菜抛在櫃子後面｣,人工定稿,"P7 校对修正: 補 事がある(曾經) 的经历义; 棄置 过书面, 改口语 拋(丟/扔 不可编码)"
82,0x528,system,system,1879,4,,未翻,
83,0x52d,dialogue,narrative,cre｢……ﾁﾅﾐﾆｿﾉ嫌ｲﾅ食べ物ﾄﾊ?｣,28,cre｢……順帶一問，是什麼菜?｣,人工定稿,导入警告: kana_residue
84,0x54c,system,system,0112,4,,未翻,
85,0x551,dialogue,narrative,cre｢ホルモン? ｯﾃｲｳｵ肉｡,22,cre｢雜碎? 就是一種肉。,人工定稿,导入警告: kana_residue
86,0x568,dialogue,narrative,ｶﾀｲﾉ苦手ﾅﾉ｣,11,硬的吃不了｣,人工定稿,导入警告: kana_residue
87,0x574,system,system,1880,4,,未翻,
88,0x579,dialogue,narrative,cre｢……ｿﾚだｹﾊ止ﾒﾀ方がｲｲぞ｡,27,cre｢……就這事最好別幹。,人工定稿,导入警告: kana_residue
89,0x598,dialogue,narrative,色々悲惨ﾅｺﾄﾆﾅﾙｼ､ｿﾉｳﾁ臭ｲでバレﾙ｣,31,會很慘，而且氣味遲早穿幇｣,人工定稿,导入警告: kana_residue
90,0x5b8,system,system,0113,4,,未翻,
91,0x5bd,dialogue,narrative,cre｢……帰ｯﾀﾗゴミ箱ﾆ捨ﾃﾄｸ｣,26,cre｢……回去就把菜處理掉｣,人工定稿,导入警告: kana_residue
92,0x5d8,dialogue,narrative,手遅ﾚでﾅｲｺﾄｦ祈ﾛｳ｡,17,但願還來得及。,人工定稿,
93,0x5ec,dialogue,narrative,ロム2_KW_秘密_ﾂﾑじ,18,ROM2_KW_秘密_旋,人工定稿,
94,0x600,system,system,0122,4,,未翻,
95,0x605,dialogue,narrative,cre｢昔ﾊ秘密基地ﾄｶ作ｯﾀﾖ｣,23,cre｢以前做過秘密基地｣,人工定稿,导入警告: kana_residue
96,0x620,system,system,1881,4,,未翻,
97,0x625,dialogue,narrative,cre｢ﾎｳ｡今ﾊ作ﾗﾅｲﾉｶ?｣,19,cre｢哦。現在不做?｣,人工定稿,导入警告: kana_residue
98,0x63c,system,system,0123,4,,未翻,
99,0x641,dialogue,narrative,cre｢ﾓｳｿﾝﾅ子どﾓじｬﾅｲﾝだ｣,23,cre｢已經不是小孩子了｣,人工定稿,导入警告: kana_residue
100,0x65c,system,system,1882,4,,未翻,
101,0x661,dialogue,narrative,cre｢私ﾊ今ｶﾗでﾓ作ﾘﾀｲがﾅ｣,23,cre｢我現在也想蓋一個｣,人工定稿,导入警告: kana_residue
102,0x67c,system,system,0124,4,,未翻,
103,0x681,dialogue,narrative,cre｢じｬｱｺｺﾆ住ﾒば?｣,18,cre｢那乾脆住這裡?｣,人工定稿,导入警告: kana_residue
104,0x694,system,system,1883,4,,未翻,
105,0x699,dialogue,narrative,cre｢ﾌﾑ｡ロケーションﾊ悪ｸﾅｲが,27,cre｢唔。地段是不錯，,人工定稿,导入警告: kana_residue
106,0x6b8,dialogue,narrative,シチュエーションが最悪だ｡ﾔﾒﾃｵｺｳ｣,32,但情境實在太糟。還是算了｣,人工定稿,导入警告: kana_residue
107,0x6dc,dialogue,narrative,ロム2_KW_秘密_ジャック,22,ROM2_KW_秘密_傑克,人工定稿,
108,0x6f4,dialogue,narrative,ロム2_KW_秘密_薫,16,ROM2_KW_秘密_薰,人工定稿,
109,0x705,dialogue,narrative,ャb0282,7,ャb0282,人工定稿,导入警告: kana_residue
110,0x70d,dialogue,narrative,cre｢秘密……教ｴﾃｸだｻｲ｣,22,cre｢秘密……請告訴我｣,人工定稿,导入警告: kana_residue
111,0x724,system,system,1884,4,,未翻,
112,0x729,dialogue,narrative,cre｢ｲﾔ､私が聞ｲﾃｲﾙﾉだが……｣,27,cre｢不，是我要問的……｣,人工定稿,导入警告: kana_residue
113,0x748,system,system,0283,4,,未翻,
114,0x74d,dialogue,narrative,cre｢何でﾓ言ｲﾏｽｶﾗ､,17,cre｢我什麼都説，,人工定稿,"P7 校对修正: 何でも言います 主语是说话人(我什麼都説), 原译'都説出來'把主语倒给了对方"
115,0x760,dialogue,narrative,ｿﾉダイナマイトボディﾉ秘密ｦ,26,那副肉彈身材的秘密,人工定稿,
116,0x77c,dialogue,narrative,教ｴﾃｸだｻｲ!｣,11,請告訴我!｣,人工定稿,"P7 校对修正: 教えてください 与110行同形, 块内统一 請告訴我"
117,0x788,system,system,0284,4,,未翻,
118,0x78d,dialogue,narrative,cre｢ｲｴ､教ｴﾅｻｲ!,14,cre｢不，快説!,人工定稿,导入警告: kana_residue
119,0x79c,dialogue,narrative,でﾅｲﾄ任意同行ﾉ上､,17,不然就自願同行，,人工定稿,P7 校对修正: 任意同行 是'自願同行'程序(非強制帶走); 邻块 kw_brother 同词同译
120,0x7b0,dialogue,narrative,事情聴取でｽﾖ!｣,14,還要訊問!｣,人工定稿,导入警告: kana_residue
121,0x7c0,system,system,1885,4,,未翻,
122,0x7c5,dialogue,narrative,cre｢黙秘権ｦ行使ｻｾﾃﾓﾗｵｳ｣,23,cre｢讓我行使沈默權｣,人工定稿,"P7 校对修正: 緘默權 为台港用词, 大陆定译 沉默权(管线映射为 沈默權)"
123,0x7e0,system,system,0285,4,,未翻,
124,0x7e5,dialogue,narrative,cre｢ｳぐぐ……｣,14,cre｢嗚嗚……｣,人工定稿,导入警告: kana_residue
125,0x7f4,system,system,0286,4,,未翻,
126,0x7f9,dialogue,narrative,cre｢ｵ願ｲｼﾏｽﾖｫ｡,14,cre｢拜託了。,人工定稿,导入警告: kana_residue
127,0x808,dialogue,narrative,私ﾉ秘密ﾓ話ｼﾏｽｶﾗｧ｣,17,我也會説秘密的哦｣,人工定稿,导入警告: kana_residue
128,0x81c,system,system,0287,4,,未翻,
129,0x821,dialogue,narrative,cre｢警察ﾉ内部情報ﾄｶ,19,cre｢警方内部信息，,人工定稿,导入警告: kana_residue
130,0x838,dialogue,narrative,某大統領暗殺ﾉ犯人ﾓ教ｴﾏｽｶﾗｧ｣,27,某總統暗殺案的兇手也講哦｣,人工定稿,导入警告: kana_residue
131,0x854,system,system,1886,4,,未翻,
132,0x859,dialogue,narrative,cre｢前者ﾊﾄﾓｶｸ､,14,cre｢前者還好，,人工定稿,导入警告: kana_residue
133,0x868,dialogue,narrative,後者ｦ知ｯﾃｲﾙﾄﾊ思ｴﾅｲが?｣,22,後者不可能會知道?｣,人工定稿,导入警告: kana_residue
134,0x880,system,system,0288,4,,未翻,
135,0x885,dialogue,narrative,cre｢ｳ……バレﾏｼﾀｶ｣,18,cre｢嗚……穿幇了?｣,人工定稿,导入警告: kana_residue
136,0x898,system,system,1887,4,,未翻,
137,0x89d,dialogue,narrative,cre｢ｿﾚﾆ残念ﾅがﾗ､,16,cre｢可惜的是，,人工定稿,导入警告: kana_residue
138,0x8b0,dialogue,narrative,私ﾊ別ﾆ特別ﾅｺﾄﾊｼﾃｲﾅｲぞ｣,22,我也沒做什麼特別的事｣,人工定稿,导入警告: kana_residue
139,0x8c8,system,system,0289,4,,未翻,
140,0x8cd,dialogue,narrative,cre｢ｳｩｩ……ｿﾝﾅﾉズルｯｺでｽ｣,25,cre｢嗚嗚……太狡猾了｣,人工定稿,"P7 校对修正: そんなの+ズルッコ 指行为(太狡猾), 原译'小滑頭'误指为人; 全库 ずるい→狡猾"
141,0x8e8,dialogue,narrative,ロム2_KW_秘密_樫沢,18,ROM2_KW_秘密_樫澤,人工定稿,
142,0x8fc,system,system,0272,4,,未翻,
143,0x901,dialogue,narrative,cre｢秘密でｽｶ?｣,14,cre｢是秘密?｣,人工定稿,导入警告: kana_residue
144,0x910,system,system,0273,4,,未翻,
145,0x915,dialogue,narrative,cre｢ｿｳｲｴばｺﾉ前……｣,19,cre｢話説，之前……｣,人工定稿,导入警告: kana_residue
146,0x92c,system,system,0274,4,,未翻,
147,0x931,dialogue,narrative,cre｢……ｲｴ､ﾔﾒﾄｷﾏｼｮｳ｣,20,cre｢……不，算了｣,人工定稿,"P7 校对修正: やめときましょう=算了(全库 やめよう→算了 先例), 原译'別説了'变成命令对方"
148,0x948,system,system,1888,4,,未翻,
149,0x94d,dialogue,narrative,cre｢ﾅ､ﾅﾝﾅﾉだ?,13,cre｢什，什麼?,人工定稿,导入警告: kana_residue
150,0x95b,dialogue,narrative,t気ﾆﾅﾙでﾊﾅｲｶ｣,13,t不是挺在意?｣,人工定稿,导入警告: kana_residue
151,0x96c,system,system,0275,4,,未翻,
152,0x971,dialogue,narrative,cre｢言ｲﾏｾﾝﾖ｡秘密､でｽｶﾗ｣,23,cre｢不告訴。因為是秘密｣,人工定稿,导入警告: kana_residue
153,0x98c,system,system,1889,4,,未翻,
154,0x991,dialogue,narrative,cre｢ぐﾇﾇ……｣,13,cre｢嗚嗚……｣,人工定稿,导入警告: kana_residue
155,0x99f,dialogue,narrative,tロム2_KW_秘密_唯柚,19,tROM2_KW_秘密_唯柚,人工定稿,
156,0x9b4,system,system,0207,4,,未翻,
157,0x9b9,dialogue,narrative,cre｢ﾕﾕﾊ昔､秘密兵器だｯﾀﾝだﾖ｣,27,cre｢唯柚以前是秘密兵器哦｣,人工定稿,导入警告: kana_residue
158,0x9d8,system,system,1890,4,,未翻,
159,0x9dd,dialogue,narrative,cre｢ﾎｵ｡ｿﾚﾊﾏﾀロマンがｱﾙﾅ｣,24,cre｢哦。這還真浪漫呀｣,人工定稿,导入警告: kana_residue
160,0x9f8,system,system,0208,4,,未翻,
161,0x9fd,dialogue,narrative,cre｢中学ﾉ時､バレー部で監督ﾆｿｳ言ﾜﾚﾏｼﾀ｣,37,cre｢中學時在排球部被教練這樣説過｣,人工定稿,导入警告: kana_residue
162,0xa24,system,system,1891,4,,未翻,
163,0xa29,dialogue,narrative,cre｢ﾎｳ……ｿﾚで､出撃ｼﾀｺﾄﾊ?｣,26,cre｢哦……那出撃過了?｣,人工定稿,导入警告: kana_residue
164,0xa44,system,system,0209,4,,未翻,
165,0xa49,dialogue,narrative,cre｢ｳｰﾝ､ﾅｶｯﾀｶﾅｧ｡,16,cre｢唔，沒有哦。,人工定稿,导入警告: kana_residue
166,0xa5c,dialogue,narrative,準々決勝で負ｹﾁｬｳﾏで､,20,直到八強賽輸掉為止，,人工定稿,"P7 校对修正: 準々決勝=八強賽(四分之一決賽), 原译'準決賽'差一轮"
167,0xa74,dialogue,narrative,ずｯﾄ秘密ﾉﾏﾏでｼﾀ｣,16,就一直保持秘密｣,人工定稿,导入警告: kana_residue
168,0xa88,dialogue,narrative,負ｹﾙ前ﾆ出番がﾅｶｯﾀｱﾀﾘ､,21,輸掉前都沒上場這點，,人工定稿,"P7 校对修正: 〜あたり=就…这一点(全库同形先例), 原译'有時'误"
169,0xaa0,dialogue,narrative,最初ｶﾗ出ｽﾂﾓﾘがﾅｶｯﾀﾉだﾛｳﾅ……｡,29,大概一開始就沒打算上場……。,人工定稿,
170,0xac0,dialogue,narrative,ロム2_KW_秘密_紅春,18,ROM2_KW_秘密_紅春,人工定稿,
171,0xad4,system,system,0250,4,,未翻,
172,0xad9,dialogue,narrative,cre｢仕事柄､ﾀﾏﾆ患者ｻﾝﾉ秘密ｦ,26,cre｢因為工作，有時會知道,人工定稿,导入警告: kana_residue
173,0xaf4,dialogue,narrative,知ｯﾃｼﾏｳﾝでｽﾖﾈ｣,14,病友的秘密呀｣,人工定稿,"P7 校对修正: 患者サン→病友(style-notes 称呼表, kw_lover/kw_propose 先例); んですね 共感句尾按 v1.4 卡用 呀, 去机械 哦"
174,0xb04,system,system,0251,4,,未翻,
175,0xb09,dialogue,narrative,cre｢ﾓﾁﾛﾝ人ﾆﾊ言ｴﾅｲ話ﾅﾝでｽｹど,27,cre｢當然是不能説給人聽的話,人工定稿,导入警告: kana_residue
176,0xb28,dialogue,narrative,私一人で抱ｴﾙﾉﾊ重ﾀｲﾖｳﾅ話ﾓｱｯﾃ｣,28,可我一個人扛着也有點沈重｣,人工定稿,导入警告: kana_residue
177,0xb48,system,system,0252,4,,未翻,
178,0xb4d,dialogue,narrative,cre｢ｿﾝﾅ時どｳｼﾀﾗｲｲﾉｶ困ｯﾃｼﾏｲﾏｽ｣,29,cre｢那時該如何是好，真煩惱｣,人工定稿,导入警告: kana_residue
