seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_school.tob,25,,未翻,
2,0x1c,system,system,kw_school.sts,13,,未翻,
3,0x2c,dialogue,label,ROM2_KW_学校,12,ROM2_KW_學校,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_学校,16,ROM2_KW會話_學校,人工定稿,"P7 校对修正: 字形统一 学校→學校(块内 13 处标签一致, 全库仅本块残留日文新字体)"
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_学校_美紀,18,ROM2_KW_學校_美紀,人工定稿,P7 校对修正: 字形统一 学校→學校
8,0x8c,system,system,0957,4,,未翻,
9,0x91,dialogue,narrative,hoo｢ｲﾂﾏでｺﾉゲームﾊ続ｸﾝでｽｶﾈ?｣,29,hoo｢這遊戲要持續到何時?｣,人工定稿,导入警告: kana_residue
10,0xb0,system,system,1483,4,,未翻,
11,0xb5,dialogue,narrative,hoo｢どｳｼﾀﾝだ､急ﾆ?｣,18,hoo｢怎麼了，突然?｣,人工定稿,导入警告: kana_residue
12,0xc8,system,system,0958,4,,未翻,
13,0xcd,dialogue,narrative,hoo｢ｲﾔｰ､明日､学校行ｹﾙｶﾅｯﾃ｡,26,hoo｢唔，明天能不能去學校。,人工定稿,"P7 校对修正: いやー 为迟疑 filler, 非惊呼叫欸"
14,0xe8,dialogue,narrative,単位ヤバイﾝｽﾖﾈ……｣,19,學分很危險呀……｣,人工定稿,"P7 校对修正: んすよね 共感, v1.4 卡禁 哦, 改 呀"
15,0xfc,system,system,1484,4,,未翻,
16,0x101,dialogue,narrative,hoo｢私ﾊ1日ぐﾗｲ休ﾝだ所で問題無ｲ｣,31,hoo｢我休息一天也不成問題｣,人工定稿,导入警告: kana_residue
17,0x124,system,system,0959,4,,未翻,
18,0x129,dialogue,narrative,hoo｢ｳｰ……ｵ姉ｻﾏズルｲｯｽ｣,23,hoo｢唔……姐姐大人好壞｣,人工定稿,导入警告: kana_residue
19,0x144,system,system,1485,4,,未翻,
20,0x149,dialogue,narrative,hoo｢普段､ズル休ﾐｼﾃｲﾙｶﾗだﾛｳ｣,27,hoo｢大概是平常逃課嘛｣,人工定稿,导入警告: kana_residue
21,0x168,system,system,0960,4,,未翻,
22,0x16d,dialogue,narrative,hoo｢ｳｩｰ……ｺﾉﾏﾏじｬ留年ｯｽ｡,25,hoo｢嗚……再這樣要留級。,人工定稿,导入警告: kana_residue
23,0x188,dialogue,narrative,学校ﾆ行ｸﾀﾒﾆﾓ､ｵ姉ｻﾏ､,19,為了上學，姐姐大人,人工定稿,
24,0x19c,dialogue,narrative,ﾊﾔｸXｦ倒ｽｯｽﾖ!｣,13,快點打倒X!｣,人工定稿,导入警告: kana_residue
25,0x1ac,dialogue,narrative,ロム2_KW_学校_昇,16,ROM2_KW_學校_昇,人工定稿,P7 校对修正: 字形统一 学校→學校
26,0x1c0,system,system,0227,4,,未翻,
27,0x1c5,dialogue,narrative,hoo｢学校ｶ……,13,hoo｢學校……,人工定稿,导入警告: kana_residue
