seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_vote.tob,23,,未翻,
2,0x18,system,system,kw_vote.sts,11,,未翻,
3,0x24,dialogue,label,ROM2_KW_投票,12,ROM2_KW_投票,人工定稿,
4,0x34,dialogue,label,ROM2_KW会話_投票,16,ROM2_KW會話_投票,人工定稿,
5,0x48,dialogue,label,<assert>式が偽  ( v_移動人物 < 1 && v_移動人物 > 14),52,<assert>式為偽  ( v_移動人物 < 1 && v_移動人物 > 14),人工定稿,
6,0x80,dialogue,label,KW_投票_香菜分岐,16,KW_投票_香菜分支,人工定稿,
7,0x94,dialogue,label,KW_投票_昇分岐,14,KW_投票_昇分支,人工定稿,
8,0xa3,dialogue,narrative,W_投票_圭介分岐,17,W_投票_圭介分支,人工定稿,
9,0xb8,dialogue,label,KW_投票_霞分岐,14,KW_投票_霞分支,人工定稿,
10,0xc7,dialogue,narrative,W_投票_美紀分岐,17,W_投票_美紀分支,人工定稿,
11,0xdc,dialogue,label,KW_投票_ﾊﾙｶ分岐,15,KW_投票_遙分支,人工定稿,
12,0xec,dialogue,label,KW_投票_ﾂﾑじ分岐,16,KW_投票_旋分支,人工定稿,
13,0x100,dialogue,label,KW_投票_ジャック分岐,20,KW_投票_傑克分支,人工定稿,
14,0x118,dialogue,label,KW_投票_薫分岐,14,KW_投票_薰分支,人工定稿,
15,0x127,dialogue,narrative,NKW_投票_樫沢分岐,17,NKW_投票_樫澤分支,人工定稿,
16,0x13c,dialogue,label,KW_投票_唯柚分岐,16,KW_投票_唯柚分支,人工定稿,
17,0x150,dialogue,label,KW_投票_紅春分岐,16,KW_投票_紅春分支,人工定稿,
18,0x164,dialogue,command,フェードアウト,14,,未翻,
19,0x173,dialogue,narrative,鴻2_KW_投票_美紀_ターン2,27,鴻2_KW_投票_美紀_回合2,人工定稿,
20,0x190,system,system,1121,4,,未翻,
21,0x195,dialogue,narrative,te.｢投票……ｵ姉ｻﾏﾊ樫沢ﾉ作戦ﾆ賛成ﾅﾝｽﾖﾈ｣,38,te.｢投票……姐姐大人贊成樫澤的作戰?｣,人工定稿,"P7 校对修正: なんすよね 求确认, 禁 哦; 槽紧只留问号"
22,0x1bc,system,system,2088,4,,未翻,
23,0x1c1,dialogue,narrative,te.｢賛成ﾄｲｳﾖﾘ､,14,te.｢不是贊成,人工定稿,导入警告: kana_residue
24,0x1d0,dialogue,narrative,反対ｽﾙ理由がﾅｲﾄｲｳだｹだﾅ｣,24,只是沒有反對的理由｣,人工定稿,导入警告: kana_residue
25,0x1ec,system,system,1122,4,,未翻,
26,0x1f1,dialogue,narrative,te.｢ｱﾙｯｽﾖ｡,10,te.｢有哦,人工定稿,导入警告: kana_residue
27,0x1fc,dialogue,narrative,ﾅﾝｶｲｹｽｶﾅｲｯｽ｣,12,就是看不慣｣,人工定稿,P7 校对修正: いけ好かない 误读为'對策'
28,0x20c,system,system,2089,4,,未翻,
29,0x211,dialogue,narrative,te.｢ｿﾝﾅ理由で人が死ﾝでﾓ良ｲﾄｲｳﾉﾅﾗ,32,te.｢如果那種理由就能讓人死,人工定稿,导入警告: kana_residue
30,0x234,dialogue,narrative,好ｷﾆｽﾙﾄｲｲ｣,10,就請便｣,人工定稿,导入警告: kana_residue
31,0x240,system,system,1123,4,,未翻,
32,0x245,dialogue,narrative,te.｢ｳｯ……ﾜｶｯﾀｯｽ……｣,21,te.｢唔……明白了｣,人工定稿,导入警告: kana_residue
33,0x25c,system,system,2090,4,,未翻,
