seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/sts_debTAGU.tob,27,,未翻,
2,0x1c,system,system,sts_debTAGU.sts,15,,未翻,
3,0x2c,system,system,tagu_deb_start,14,,未翻,
4,0x3c,dialogue,command,デバッグスタート,16,,未翻,
5,0x50,dialogue,command,エンディングテスト,18,,未翻,
6,0x64,dialogue,command,ボイステスト,12,,未翻,
7,0x71,system,system,ts,2,,未翻,
8,0x74,dialogue,narrative,SEテスト,8,SE測試,人工定稿,
9,0x7d,dialogue,narrative,GU.演出確認,11,GU.演出確認,人工定稿,
10,0x89,dialogue,narrative,GU.KWテスト,11,GU.KW測試,人工定稿,
11,0x95,dialogue,narrative,GU.CGフルオープン,17,GU.CG全開放,人工定稿,
12,0xa8,system,system,0000,4,,未翻,
13,0xad,dialogue,narrative,ebTﾌﾋｬﾋｬﾋｬﾋｬﾋｬ｡,15,ebT桀桀桀桀桀。,人工定稿,
14,0xbd,system,system,ts,2,,未翻,
15,0xc0,dialogue,narrative,今宮一郎ﾄ申ｼﾏｽ｡,15,我叫今宮一郎。,人工定稿,
16,0xd0,system,system,0671,4,,未翻,
17,0xd5,system,system,ebT0001,7,,未翻,
18,0xdd,system,system,ebT0002,7,,未翻,
19,0xe5,dialogue,narrative,ebTSEテスト??,13,ebTSE測試??,人工定稿,
20,0xf3,dialogue,narrative,.ﾏだ,4,.未,人工定稿,
21,0xf8,dialogue,label,KWテスト??,10,KW測試??,人工定稿,
22,0x103,dialogue,narrative,.殺人ゲームｶ…,14,.殺人遊戲……,人工定稿,
23,0x112,system,system,s,1,,未翻,
24,0x114,dialogue,narrative,結婚ｼﾏｽ,7,結婚,人工定稿,
25,0x11c,dialogue,narrative,ロム1_香菜ｦ信じﾅｲ,17,ROM1_不相信香菜,人工定稿,"P7 校对修正: ロム->ROM(同 kw 块 ROM2), 清假名残留"
26,0x130,dialogue,narrative,｢ｱ､ｵ二人ｻﾝ……｣,15,｢哦，二位……｣,人工定稿,机翻警告: kana_residue
27,0x140,dialogue,narrative,｢三上ﾊﾓｳ大丈夫ｶ?｣,17,｢三上已經沒事了?｣,人工定稿,机翻警告: kana_residue
28,0x154,dialogue,narrative,｢ｱ､ﾊｲ｡ｵｶげ様で……｣,19,｢是，託福……｣,人工定稿,"P7 校对修正: ﾊｲ 补回, 托福->託福(同 r2_t1_3_0_0 定稿同句)"
29,0x168,dialogue,narrative,｢ｽﾐﾏｾﾝ……度々､ご心配ｦｵｶｹｼﾃ……｣,32,｢抱歉……一再讓各位掛念……｣,人工定稿,机翻警告: kana_residue
30,0x18c,dialogue,narrative,｢仕方ﾅｲﾜﾖ｡,10,｢沒法呀。,人工定稿,P7 校对修正: 没->沒(全库繁体形)
31,0x197,dialogue,narrative,.人ﾉ死ﾅﾝﾃ､慣ﾚﾙﾓﾉじｬﾅｲｼ……｣,27,.人的死，沒法習慣……｣,人工定稿,"P7 校对修正: 补回 人(人の死), 此種->這種, 没->沒"
32,0x1b4,dialogue,narrative,｢……でﾓ､ﾏﾀ減ﾘﾏｼﾀﾈ｣,19,｢……不過又少了呀｣,人工定稿,P7 校对修正: 补回 でﾓ(不過) 连接词
33,0x1c8,dialogue,narrative,｢ｴ……?｣,8,｢欸?｣,人工定稿,P7 校对修正: ？->? 随原文半角(同 kw_suspect 同句)
