seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_serial.tob,25,,未翻,
2,0x1c,system,system,kw_serial.sts,13,,未翻,
3,0x2c,dialogue,label,ROM2_KW_シリアルキラー,22,ROM2_KW_連環殺手,人工定稿,
4,0x44,dialogue,label,ROM2_KW会話_シリアルキラー,26,ROM2_KW會話_連環殺手,人工定稿,
5,0x60,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x77,dialogue,narrative,宴tェードアウト,15,宴t淡出,人工定稿,
7,0x88,dialogue,narrative,ロム2_KW_シリアルキラー_昇,26,ROM2_KW_連環殺手_昇,人工定稿,
8,0xa4,system,system,0215,4,,未翻,
9,0xa9,dialogue,narrative,ria｢自分がﾓｼ､シリアルキラーﾆﾅｯﾃﾀﾗ……,37,ria｢如果我自己成了連環殺手……,人工定稿,导入警告: kana_residue
10,0xd0,dialogue,narrative,ｯﾃ考ｴﾙﾄぞｯﾄｽﾙﾖ｣,15,一想到就發毛｣,人工定稿,导入警告: kana_residue
11,0xe0,dialogue,narrative,ﾀｼｶﾆﾅ……｡,10,確實……。,人工定稿,
12,0xeb,dialogue,narrative,tロム2_KW_シリアルキラー_香菜,29,tROM2_KW_連環殺手_香菜,人工定稿,
13,0x10c,system,system,0229,4,,未翻,
14,0x111,dialogue,narrative,ria｢私がシリアルキラーだｯﾀﾗ……｣,32,ria｢如果我是連環殺手……｣,人工定稿,导入警告: kana_residue
15,0x134,system,system,1372,4,,未翻,
16,0x139,dialogue,narrative,ria｢どｳｽﾙ?｣,11,ria｢如何?｣,人工定稿,导入警告: kana_residue
17,0x145,system,system,.st0230,7,,未翻,
18,0x14d,dialogue,narrative,ria｢1人分安全ﾅターンが増ｴﾃｵ得だｯﾀﾜﾈ｣,36,ria｢多了一個人的安全回合，賺到了呀｣,人工定稿,P7 校对修正: 1人分 漏译(原译'一回合'单位偏移); わね→呀; 份不可编码改'一個人的'
