seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/game_over.tob,25,,未翻,
2,0x1c,system,system,game_over.sts,13,,未翻,
3,0x2c,dialogue,label,ROM2_ゲームオーバー,19,ROM2_遊戲結束,人工定稿,
4,0x40,dialogue,command,ゲームオーバー,14,,未翻,
5,0x4f,dialogue,narrative,ヲT偵タイムが終了ｽﾙ｡,20,ヲT偵時間結束了。,人工定稿,机翻警告: kana_residue
6,0x64,dialogue,narrative,腕輪ｦ端末ｶﾗ外ｼ､,15,從終端取下手環,人工定稿,
7,0x74,dialogue,narrative,部屋ｶﾗ出ﾖｳﾄｼﾀ瞬間――｡,22,想走出房間的瞬間――。,人工定稿,P7 校对修正: 補回「出ようとした」的嘗試語氣
8,0x8c,dialogue,narrative,ｿﾚﾊ､起ｺｯﾀ｡,10,它發生了。,人工定稿,
9,0x97,dialogue,narrative,tドアが――｡,12,t門卻――。,人工定稿,
10,0xa4,dialogue,narrative,開ｶﾅｶｯﾀ｡,8,沒打開。,人工定稿,
11,0xad,dialogue,narrative,.stｿﾉ代ﾜﾘﾆ､,11,.st取而代之,人工定稿,P7 校对修正: その代わりに 與全庫定稿「取而代之」一致
12,0xb9,dialogue,narrative,.st曇ﾘガラスが透明ﾆﾅﾙ｡,22,.st磨砂玻璃變得透明。,人工定稿,
13,0xd0,system,system,2020,4,,未翻,
14,0xd5,dialogue,narrative,ove｢……ﾏｻｶｯ｣,13,ove｢不會的｣,人工定稿,P7 校对修正: マサカッ 依全庫先例作「不會的」
15,0xe3,system,system,t2021,5,,未翻,
16,0xe9,dialogue,narrative,ove｢ｲﾔ……ﾔﾊﾘｶ｣,15,ove｢不……果然｣,人工定稿,"P7 校对修正: 還原原文停頓, 去逗號"
17,0xfc,dialogue,narrative,画面ﾆ踊ﾙ､笑ｴﾅｲジョーク｡,23,畫面上躍動的冷笑話。,人工定稿,
18,0x114,dialogue,narrative,『YOU ARE SHOCK!』,18,『YOU ARE SHOCK!』,人工定稿,
19,0x128,system,system,2022,4,,未翻,
20,0x12d,dialogue,narrative,ove｢メールｶ……｣,16,ove｢郵件……｣,人工定稿,
21,0x140,dialogue,narrative,ポケットｶﾗ携帯ｦ取ﾘ出ｼ､中ｦ開ｸ｡,29,從口袋裡取出手機，打開來看。,人工定稿,
22,0x160,dialogue,narrative,案ﾉ定､メールﾊ､,14,果不其然，郵件,人工定稿,
23,0x170,dialogue,narrative,『Mailer-Daemon』ｶﾗだ｡,22,來自『Mailer-Daemon』,人工定稿,
24,0x188,dialogue,narrative,鼓動が早ｲ｡,10,心臟猛跳。,人工定稿,
25,0x193,dialogue,narrative,t嫌ﾅ予感がｽﾙ｡,13,t不祥預感。,人工定稿,
26,0x1a4,dialogue,narrative,全身ｶﾗ冷ﾀｲ汗が吹ｷ出ﾙ｡,21,全身冒出冷汗。,人工定稿,
27,0x1bc,dialogue,narrative,件名『次ﾉ犠牲者ｦオシラセシマス』｡,33,標題『通知下一位犧牲者』。,人工定稿,P7 校对修正: 件名 與全庫定稿「標題」一致
28,0x1e0,dialogue,narrative,本文ﾊ――,9,正文――,人工定稿,
29,0x1ea,dialogue,narrative,st『今回ﾉ犠牲者ﾊ､浅川楓ｻﾝでｽ』,30,st『本次的犧牲者是淺川楓小姐』,人工定稿,
30,0x20c,system,system,2023,4,,未翻,
31,0x211,dialogue,narrative,ove｢ｸｯ……｣,11,ove｢嗚……｣,人工定稿,P7 校对修正: 還原省略號
32,0x21d,dialogue,narrative,.st覚悟ｦ決ﾒﾙｼｶｱﾙﾏｲ｡,19,.st只能下定決心了。,人工定稿,
33,0x234,dialogue,narrative,ｿｳ考ｴﾃｲﾀ｡,9,這麼想。,人工定稿,
34,0x23e,dialogue,narrative,st次ﾉ行ｦ見ﾙﾏでﾊ｡,16,st看下一行之前。,人工定稿,
35,0x250,dialogue,narrative,"『処刑方法ﾊ､“蟲責ﾒ""でｽ』",25,『處刑方法是，“蟲責”』,人工定稿,
36,0x26c,system,system,2024,4,,未翻,
37,0x271,dialogue,narrative,ove｢ﾑ……蟲……だﾄ!?｣,21,ove｢蟲……是蟲!?｣,人工定稿,"P7 校对修正: だﾄ!? 疑問語氣, 補問號"
38,0x288,dialogue,narrative,何ｶﾉ冗談だﾛｳ?,13,是在開玩笑?,人工定稿,P7 校对修正: 標點隨原文半角
39,0x298,dialogue,narrative,ｱﾙｲﾊ比喩だﾛｳ?,13,或者是比喩?,人工定稿,P7 校对修正: 標點隨原文半角
40,0x2a8,dialogue,narrative,私ﾊ……｡,8,我……。,人工定稿,
41,0x2b1,dialogue,narrative,.st世界で一番､虫が､蟲が､大嫌ｲﾅﾉだ!,34,.st我在這世上最討厭的，就是蟲!,人工定稿,P7 校对修正: 標點隨原文半角
42,0x2d4,dialogue,narrative,ｿﾚｺｿ死ﾇﾎど……,14,簡直要命……,人工定稿,
