seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/check_nob.tob,25,,未翻,
2,0x1c,system,system,check_nob.sts,13,,未翻,
3,0x2c,dialogue,narrative,調査_昇,7,調査_昇,人工定稿,
4,0x34,dialogue,label,調査_昇_未調査,14,調査_昇_未調査,人工定稿,
5,0x44,dialogue,narrative,画面ﾆ映ｼ出ｻﾚﾀ参加者ﾉ名前｡,25,畫面中映出的參加者姓名。,人工定稿,
6,0x60,dialogue,narrative,ｿﾉ中ｶﾗ私ﾊ『森崎昇』ﾉ名前ｦ押ｽ｡,29,我從中按下『森崎昇』的名字。,人工定稿,
7,0x80,dialogue,narrative,『森崎昇でｲｲでｽｶ?』ﾉメッセージ｡,31,『森崎昇是否正確?』的信息。,人工定稿,P7 校对修正
8,0xa0,dialogue,narrative,『確認』ｦ押ｽﾄ､,14,按『確認』後，,人工定稿,
9,0xb0,dialogue,narrative,画面ﾆﾊ『調査結果』ﾄｲｳ文字が浮ｶび出ﾀ｡,36,畫面上浮現『調査結果』的文字。,人工定稿,
10,0xd8,dialogue,narrative,ｿｼﾃ……｡,8,然後……,人工定稿,
11,0xe1,dialogue,narrative,.st…………｡,12,.st…………,人工定稿,
12,0xee,dialogue,narrative,st……｡,7,st……,人工定稿,
13,0xf6,dialogue,narrative,no『森崎昇ﾊシリアルキラーでﾊｱﾘﾏｾﾝ』,35,no『森崎昇不是連環殺手』,人工定稿,
14,0x11c,system,system,2040,4,,未翻,
15,0x121,dialogue,narrative,_no｢……ｿｳｶ｣,12,_no｢……哦｣,人工定稿,导入警告: kana_residue
16,0x12e,dialogue,narrative,st安心ﾊｼﾀ｡,10,st安心了。,人工定稿,
17,0x139,dialogue,narrative,.stだが……｡,12,.st但……。,人工定稿,
18,0x146,dialogue,narrative,st本当ﾆ森崎氏ｦ調べﾃｲﾙ場合だｯﾀﾉだﾛｳｶ｡,36,st到底該不該調査森崎……。,人工定稿,P7 校对修正
19,0x16c,dialogue,narrative,ｺﾚでシリアルキラーｦ見ﾂｹﾙ機会ｦ,29,這下找出連環殺手的機會,人工定稿,P7 校对修正
20,0x18c,dialogue,narrative,逃ｼﾃｼﾏｯﾀｶﾓｼﾚﾅｲﾉﾆ……｡,21,或許已經錯過了……。,人工定稿,
