seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_action.tob,25,,未翻,
2,0x1c,system,system,kw_action.sts,13,,未翻,
3,0x2c,dialogue,label,ROM2_KW_単独行動,16,ROM2_KW_單獨行動,人工定稿,
4,0x40,dialogue,label,ROM2_KW会話_単独行動,20,ROM2_KW會話_單獨行動,人工定稿,
5,0x58,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x70,dialogue,command,フェードアウト,14,,未翻,
7,0x80,dialogue,narrative,ロム2_KW_単独行動_昇,20,ROM2_KW_單獨行動_昇,人工定稿,
8,0x98,system,system,0225,4,,未翻,
9,0x9d,dialogue,narrative,tio｢単独行動? ﾅ､ﾅﾝﾉｺﾄだ?｣,25,tio｢單獨行動?什麼意思?｣,人工定稿,"P7 校对修正: なんのこと=什么事/什么意思(下句即解释含义), 非'怎麼回事'"
10,0xb8,system,system,1470,4,,未翻,
11,0xbd,dialogue,narrative,tio｢知ﾗﾅｲﾉｶ?,12,tio｢不知道?,人工定稿,导入警告: kana_residue
12,0xca,dialogue,narrative,st1人でウロチョロｽﾙ事だ｣,24,st1人就是到處亂晃｣,人工定稿,"P7 校对修正: 原文1人で=一个人(1 为正文数字, 与 r2_t1_4_1_0 '1人背叛' 同口径); 原译把 1 当标记又重译'一个人'"
13,0xe4,system,system,0226,4,,未翻,
14,0xe9,dialogue,narrative,tio｢……ﾝﾅｺﾀﾜｶｯﾃﾙﾖ｣,19,tio｢……那事我知道｣,人工定稿,导入警告: kana_residue
15,0x100,dialogue,narrative,どｳﾓｳﾛﾀｴﾃｲﾙﾅ｡,13,似乎很慌張。,人工定稿,
16,0x110,dialogue,narrative,ロム2_KW_単独行動_香菜,22,ROM2_KW_單獨行動_香菜,人工定稿,
17,0x128,system,system,0240,4,,未翻,
18,0x12d,dialogue,narrative,tio｢単独行動禁止ｯﾃ､不便ﾖﾈ～!,28,tio｢禁止單獨行動，真不便～!,人工定稿,导入警告: kana_residue
19,0x14c,dialogue,narrative,トイレﾆﾏで昇がﾂｲﾃｸﾙﾅﾝﾃ信じﾗﾚﾅｲ!｣,32,昇連上廁所都跟來，真不敢相信!｣,人工定稿,"P7 校对修正: 语序改'昇連…都跟來', 原译'連上廁所昇都跟來'把主语插入连字结构"
20,0x170,system,system,1471,4,,未翻,
21,0x175,dialogue,narrative,tio｢ｵﾔ? 香菜ｸﾝが1人で動ｲﾃｲﾀﾄｲｳ,30,tio｢哦? 我聽説香菜獨自行動,人工定稿,导入警告: kana_residue
22,0x194,dialogue,narrative,話ｦ聞ｲﾀﾉだが､トイレﾆﾊﾂｲﾃｷﾃ,26,的傳聞，但上廁所也,人工定稿,"P7 校对修正: 与21行连读成'…獨自行動的傳聞, 但上廁所也…', 去重复的'聽説'"
23,0x1b0,dialogue,narrative,ﾓﾗｯﾃｲﾀﾉｶ?｣,10,讓人陪著?｣,人工定稿,P7 校对修正: ついてきてもらっていた=让人陪着; 原译'讓他跟了'丢被动受益语义
24,0x1bb,system,system,t0241,5,,未翻,
