seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/check_nis.tob,25,,未翻,
2,0x1c,system,system,check_nis.sts,13,,未翻,
3,0x2c,dialogue,narrative,調査_西野,9,調査_西野,人工定稿,
4,0x38,dialogue,label,調査_西野_未調査,16,調査_西野_未調査,人工定稿,
5,0x4c,dialogue,narrative,画面ﾆ映ｼ出ｻﾚﾀ参加者ﾉ名前｡,25,畫面中映出的參加者姓名。,人工定稿,
6,0x68,dialogue,narrative,ｿﾉ中ｶﾗ私ﾊ『西野吉勇』ﾉ名前ｦ押ｽ｡,31,我從中按下『西野吉勇』的名字。,人工定稿,
7,0x88,dialogue,narrative,『西野吉勇でｲｲでｽｶ?』ﾉメッセージ｡,33,『西野吉勇是否正確?』的信息。,人工定稿,P7 校对修正
8,0xac,dialogue,narrative,『確認』ｦ押ｽﾄ､,14,按『確認』後，,人工定稿,
9,0xbc,dialogue,narrative,画面ﾆﾊ『調査結果』ﾄｲｳ文字が浮ｶび出ﾀ｡,36,畫面上浮現『調査結果』的文字。,人工定稿,
10,0xe4,dialogue,narrative,ｿｼﾃ……｡,8,然後……,人工定稿,
11,0xed,dialogue,narrative,.st…………｡,12,.st…………,人工定稿,
12,0xfa,dialogue,narrative,st……｡,7,st……,人工定稿,
13,0x102,dialogue,narrative,ni『西野吉勇ﾊシリアルキラーでﾊｱﾘﾏｾﾝ』,37,ni『西野吉勇不是連環殺手』,人工定稿,
14,0x128,dialogue,narrative,ホッﾄｼﾀﾉﾄ同時ﾆ､僅ｶﾆ焦ﾘｦ感じﾙ｡,29,鬆口氣的同時，感到些許焦躁。,人工定稿,
15,0x148,dialogue,narrative,シリアルキラーｦ知ﾙ機会ｦ,23,得知連環殺手的機會,人工定稿,
16,0x160,dialogue,narrative,逃ｼﾃｼﾏｯﾀｶﾓｼﾚﾅｲ｡,15,或許已錯過了。,人工定稿,
17,0x170,dialogue,narrative,だが信頼でｷﾙ者がﾜｶｯﾀｺﾄだｹﾊ……,30,但至少知道了能信任的人……,人工定稿,
18,0x190,dialogue,narrative,収穫ﾄ言ｴﾙだﾛｳ｡,14,算是收穫。,人工定稿,
