seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_citizen.tob,26,,未翻,
2,0x1c,system,system,kw_citizen.sts,14,,未翻,
3,0x2c,dialogue,label,ROM2_KW_市民,12,ROM2_KW_市民,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_市民,16,ROM2_KW會話_市民,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_市民_昇,16,ROM2_KW_市民_昇,人工定稿,
8,0x8c,system,system,0237,4,,未翻,
9,0x91,dialogue,narrative,tiz｢市民ｯﾃ無力だﾖﾅ……｣,23,tiz｢市民還真是無力……｣,人工定稿,导入警告: kana_residue
10,0xac,system,system,1559,4,,未翻,
11,0xb1,dialogue,narrative,tiz｢ｿｳでﾓﾅｲぞ｡,14,tiz｢不見得哇。,人工定稿,"P7 校对修正: ぞ→哇(风格指南 だぞ 口径), 非 哦"
12,0xc0,dialogue,narrative,人が減ﾙﾎど投票ﾉ重ﾐが集約ｼﾃｲｸ｣,29,人越少，投票分量越集中｣,人工定稿,导入警告: kana_residue
13,0xe0,system,system,0238,4,,未翻,
14,0xe5,dialogue,narrative,tiz｢でﾓ､Xｦ見ﾂｹﾀﾘﾊでｷﾅｲだﾛ?,26,tiz｢但也找不到X，對不?,人工定稿,"P7 校对修正: だろ? 求确认, 按卡 v1.4 用 對不?, 禁 哦"
15,0x100,dialogue,narrative,当ﾃずｯぽｳで投票ｽﾙﾜｹﾆﾓｲｶﾅｲｼ……｣,31,也不能靠瞎猜投票……｣,人工定稿,导入警告: kana_residue
16,0x120,system,system,1560,4,,未翻,
17,0x125,dialogue,narrative,tiz｢ｿﾉジレンマﾊ市民だｹﾉﾓﾉでﾊﾅｲﾖ｣,32,tiz｢那種兩難不是市民才有哦｣,人工定稿,P7 校对修正: 补回 よ 的告知语气(だよ→哦)
18,0x148,system,system,0239,4,,未翻,
19,0x14d,dialogue,narrative,tiz｢ｿｳｶ……ｿﾚﾓｿｳｶﾓﾅ｣,20,tiz｢這樣……也許哦｣,人工定稿,"P7 校对修正: 「也許是」悬空, 补足; 保留 かも 推测语气"
20,0x164,dialogue,narrative,ロム2_KW_市民_香菜,18,ROM2_KW_市民_香菜,人工定稿,
21,0x178,system,system,0252,4,,未翻,
22,0x17d,dialogue,narrative,tiz｢市民で選挙ﾈ｡,16,tiz｢市民的選舉。,人工定稿,导入警告: kana_residue
23,0x190,dialogue,narrative,でﾓ当選ｼﾀﾗ死ﾇ､ﾄ｡,16,但當選就會死。,人工定稿,"P7 校对修正: 去「，這樣」翻译腔, 补回 でも(但); 語尾 と 依全库口径略去"
24,0x1a4,dialogue,narrative,モチーフﾄｼﾃﾊ変ﾖﾈ｣,17,作為主題很怪呀｣,人工定稿,"P7 校对修正: 変よね 共感, 按卡用 呀, 禁 哦"
25,0x1b8,system,system,1561,4,,未翻,
26,0x1bd,dialogue,narrative,tiz｢選挙ﾄｲｳﾖﾘ魔女裁判だﾅ｣,25,tiz｢比起選舉更像魔女審判｣,人工定稿,导入警告: kana_residue
27,0x1d8,system,system,0253,4,,未翻,
28,0x1dd,dialogue,narrative,tiz｢ﾅﾙﾎどﾈ｡,11,tiz｢是哦。,人工定稿,导入警告: kana_residue
29,0x1e9,dialogue,narrative,n.sﾅﾗ市民ﾄｲｳﾖﾘ､裁判員じｬﾅｲ?｣,28,n.s那更像陪審員對不?｣,人工定稿,"P7 校对修正: じゃない? 求确认, 按卡用 對不?, 禁 哦"
30,0x208,system,system,1562,4,,未翻,
31,0x20d,dialogue,narrative,tiz｢どｳだﾛｳﾅ｡魔女裁判ﾅﾝﾃﾓﾉﾊ特ﾆ,30,tiz｢很難説呀。魔女審判尤其,人工定稿,"P7 校对修正: どうだろうな 非「不知道」, 改推测语气 很難説呀"
32,0x22c,dialogue,narrative,世論がｿﾉﾏﾏ判決ﾆﾅﾙﾖｳﾅﾓﾉだｶﾗﾅ｣,28,因為輿論直接就成判決｣,人工定稿,导入警告: kana_residue
33,0x24c,system,system,0254,4,,未翻,
34,0x251,dialogue,narrative,tiz｢ｿｯｶ……｣,12,tiz｢是這樣｣,人工定稿,导入警告: kana_residue
35,0x25e,dialogue,narrative,.sロム2_KW_市民_圭介,20,.sROM2_KW_市民_圭介,人工定稿,
36,0x274,system,system,0121,4,,未翻,
37,0x279,dialogue,narrative,tiz｢市民ｯﾃﾎﾄﾝど何ﾓでｷﾅｲでｽﾖﾈ……｣,33,tiz｢市民幾乎什麼都做不到呀……｣,人工定稿,"P7 校对修正: ですよね 共感, 按卡用 呀"
38,0x29c,system,system,1563,4,,未翻,
39,0x2a1,dialogue,narrative,tiz｢ｿｳでﾓﾅｲｻ｣,13,tiz｢不見得哦｣,人工定稿,导入警告: kana_residue
40,0x2af,system,system,s0122,5,,未翻,
41,0x2b5,dialogue,narrative,tiz｢ｿｳでｽｶ?,11,tiz｢這樣?,人工定稿,导入警告: kana_residue
42,0x2c1,dialogue,narrative,n.s何分ﾉ一ｶﾉ票ｼｶﾓｯﾃﾅｲﾝでｽﾖ?｣,28,n.s只有幾分之一票而已?｣,人工定稿,导入警告: kana_residue
43,0x2e0,system,system,1564,4,,未翻,
44,0x2e5,dialogue,narrative,tiz｢探偵ﾔ警官､シリアルキラーﾆ比べﾙﾄ,35,tiz｢跟偵探、警官、連環殺手相比,人工定稿,P7 校对修正: 并列三项补 、(跟偵探、警官、連環殺手)
45,0x30c,dialogue,narrative,でｷﾙ事が少ﾅｲﾖｳﾆﾓ思ｴﾙが,22,能做的事好像也較少，但,人工定稿,"P7 校对修正: 补回 が(但), 与下句衔接"
46,0x324,dialogue,narrative,探偵ﾔ警官ﾓ､能力ﾉ使ｲ所ﾊ難ｼｲｶﾗﾅ｣,30,因為偵探和警官的能力也很難用｣,人工定稿,"P7 校对修正: 补回 から(因為)与 の(的), 難用→很難用"
47,0x344,system,system,0123,4,,未翻,
48,0x349,dialogue,narrative,tiz｢……確ｶﾆ｣,13,tiz｢……確實｣,人工定稿,导入警告: kana_residue
