seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_next.tob,23,,未翻,
2,0x18,system,system,kw_next.sts,11,,未翻,
3,0x24,dialogue,label,ROM2_KW_次ﾉ投票,15,ROM2_KW_次投票,人工定稿,
4,0x34,dialogue,label,ROM2_KW会話_次ﾉ指名,19,ROM2_KW會話_次指名,人工定稿,
5,0x48,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x60,dialogue,command,フェードアウト,14,,未翻,
7,0x70,dialogue,narrative,ロム2_KW_次ﾉ指名_美紀,21,ROM2_KW_下次指名_美紀,人工定稿,
8,0x88,system,system,1019,4,,未翻,
9,0x8d,dialogue,narrative,xt.｢ｿｳｲｴば､ｱﾀｼﾊ誰ﾆ入ﾚﾚば良ｲﾝｽｶ?｣,32,xt.｢説起來，我該投票給誰?｣,人工定稿,"P7 校对修正: そういえば=説起來, 非'那樣的話'"
10,0xb0,system,system,2056,4,,未翻,
11,0xb5,dialogue,narrative,xt.｢私が調べﾀｲ者ﾆだが……,25,xt.｢我想調査的人是……,人工定稿,导入警告: kana_residue
12,0xd0,dialogue,narrative,ｿﾚｦ誰ﾆｽﾙｶﾊﾏだ決ﾒｶﾈﾙ｡,20,但還沒決定投給誰。,人工定稿,
13,0xe8,dialogue,narrative,ﾓｳ少ｼﾖｸ考ｴﾃｶﾗ決断ｼﾀｲ｣,21,想再多考慮後再決定｣,人工定稿,导入警告: kana_residue
14,0x100,system,system,1020,4,,未翻,
15,0x105,dialogue,narrative,xt.｢了解ｯｽ｣,11,xt.｢了解!｣,人工定稿,导入警告: kana_residue
16,0x111,system,system,ts,2,,未翻,
17,0x114,dialogue,narrative,ロム2_KW_次ﾉ指名_昇,19,ROM2_KW_下次指名_昇,人工定稿,
18,0x128,system,system,0271,4,,未翻,
19,0x12d,dialogue,narrative,xt.｢次ﾉ投票?,12,xt.｢下次?,人工定稿,导入警告: kana_residue
20,0x13a,system,system,s,1,,未翻,
21,0x13c,dialogue,narrative,ｿﾘｬ､作戦通ﾘ､,12,照作戰的話，,人工定稿,
22,0x14c,dialogue,narrative,樫沢ﾆ入ﾚﾙﾂﾓﾘだｹど……｣,22,打算投樫澤……｣,人工定稿,导入警告: kana_residue
