seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_suspect.tob,26,,未翻,
2,0x1c,system,system,kw_suspect.sts,14,,未翻,
3,0x2c,dialogue,label,ROM2_KW_容疑者,14,ROM2_KW_嫌疑人,人工定稿,
4,0x3c,dialogue,label,ROM2_KW会話_容疑者,18,ROM2_KW會話_嫌疑人,人工定稿,
5,0x50,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x68,dialogue,command,フェードアウト,14,,未翻,
7,0x78,dialogue,narrative,ロム2_KW_容疑者_美紀,20,ROM2_KW_嫌疑人_美紀,人工定稿,
8,0x90,system,system,0961,4,,未翻,
9,0x95,dialogue,narrative,spe｢ｿﾝﾅﾉﾜｶｯﾃﾀﾗ､,15,spe｢早知如此、,人工定稿,"P7 校对修正: そんなの分かってたら 翻译腔, 改口语'早知如此'"
10,0xa5,system,system,s,1,,未翻,
11,0xa8,dialogue,narrative,ﾄｯｸﾆぶﾝ殴ﾘﾆ行ｯﾃﾏｽﾖ｣,19,早就去打人了哦｣,人工定稿,导入警告: kana_residue
12,0xbc,system,system,1511,4,,未翻,
13,0xc1,dialogue,narrative,spe｢何度ﾓ言ｳが､殴ｯﾃﾊ君が……｣,29,spe｢説過多次、動手就輪到……｣,人工定稿,导入警告: kana_residue
14,0xe0,system,system,0962,4,,未翻,
15,0xe5,dialogue,narrative,spe｢ｳｰ､ﾜｶｯﾃﾏｽｯﾃ｡,16,spe｢明白、明白。,人工定稿,"P7 校对修正: 分かってますって 是重申'我说过了', 非告知'哦'"
16,0xf8,dialogue,narrative,言葉ﾉ綾ｯｽ｣,10,説説而已｣,人工定稿,导入警告: kana_residue
17,0x103,system,system,s1512,5,,未翻,
18,0x109,dialogue,narrative,spe｢ﾅﾗ良ｲが｣,12,spe｢那就好｣,人工定稿,导入警告: kana_residue
19,0x116,system,system,.s0963,6,,未翻,
20,0x11d,dialogue,narrative,spe｢でﾓ､怪ｼｲ奴ｯﾃ,16,spe｢但可疑的人、,人工定稿,"P7 校对修正: 补顿号, 免与下句误连为主谓"
21,0x130,dialogue,narrative,ﾎﾝﾄﾆ見当ﾂｶﾅｲｯｽﾖﾈ｣,17,真的毫無頭緒呀｣,人工定稿,"P7 校对修正: っすよね 无问号共感, v1.4 卡禁'哦', 改'呀'"
22,0x144,system,system,1513,4,,未翻,
23,0x149,dialogue,narrative,spe｢ｳﾑ｡だが怪ｼｸﾅｲ者ﾊﾜｶﾘﾂﾂｱﾙ｡,28,spe｢唔。但漸漸看出誰不可疑。,人工定稿,P7 校对修正: わかりつつある 改自然中文
24,0x168,dialogue,narrative,例ｴばｿｳ､香菜ｸﾝﾄｶﾅ｣,18,比如説、香菜之類｣,人工定稿,"P7 校对修正: とか=之類, 非'等'"
25,0x17c,dialogue,narrative,彼女ﾉ言ｯﾀｺﾄが信頼でｷﾙﾄﾅﾙﾄ,25,他所言若能信賴,人工定稿,
26,0x198,dialogue,narrative,ｺﾉ上ﾅｸ心強ｲ｡,12,再安心不過。,人工定稿,"P7 校对修正: 心強い=安心, 非'可靠'"
27,0x1a5,system,system,s,1,,未翻,
28,0x1a8,system,system,0964,4,,未翻,
29,0x1ad,dialogue,narrative,spe｢ｱﾀｼﾊ……ｵ姉ｻﾏｦ信じﾙｼｶﾅｲｯｽ｡,30,spe｢我……只能信姐姐大人。,人工定稿,P7 校对修正: しかない=只能
30,0x1cc,dialogue,narrative,ｵ姉ｻﾏが信じﾙﾄｲｳﾅﾗ,17,姐姐大人若信,人工定稿,
31,0x1e0,dialogue,narrative,誰でﾓ信じﾏｽｹど……｣,19,誰都信就是……｣,人工定稿,导入警告: kana_residue
32,0x1f4,system,system,1514,4,,未翻,
33,0x1f9,dialogue,narrative,spe｢ｽﾏﾅｲﾅ､だが……,18,spe｢抱歉，但……,人工定稿,导入警告: kana_residue
34,0x20c,dialogue,narrative,私ｦ信じﾃﾂｲﾃｷﾃ欲ｼｲ｣,18,望信我跟來｣,人工定稿,导入警告: kana_residue
35,0x220,system,system,0965,4,,未翻,
36,0x225,dialogue,narrative,spe｢ﾓ､ﾓﾁﾛﾝ!｣,12,spe｢當然!｣,人工定稿,导入警告: kana_residue
37,0x232,dialogue,narrative,.sロム2_KW_容疑者_香菜,22,.sROM2_KW_嫌疑人_香菜,人工定稿,
38,0x24c,system,system,0247,4,,未翻,
39,0x251,dialogue,narrative,spe｢容疑者?｣,12,spe｢嫌疑人?｣,人工定稿,导入警告: kana_residue
40,0x25e,system,system,.s1515,6,,未翻,
41,0x265,dialogue,narrative,spe｢ｱｱ｡香菜ｸﾝﾉ行動ｦ疑ｯﾃｲﾙ薫ｻﾝが､,32,spe｢哦。懷疑香菜的薰，,人工定稿,导入警告: kana_residue
42,0x288,dialogue,narrative,君ﾉｺﾄｦｿｳ呼ﾝでｲﾀぞ｣,18,那樣稱呼香菜哇｣,人工定稿,P7 校对修正: だぞ→哇(v1.4 卡)
43,0x29c,system,system,0248,4,,未翻,
44,0x2a1,dialogue,narrative,spe｢ｿｯｶｧ……,12,spe｢這樣……,人工定稿,导入警告: kana_residue
45,0x2ae,dialogue,narrative,.s何ｶ､仕方がﾅｲｯﾃ言ｴば仕方がﾅｲﾝだｹど｡,36,.s説沒法子也真沒法子。,人工定稿,
46,0x2d4,dialogue,narrative,ｿｳｲｳ呼ばﾚ方ｯﾃ､犯罪者ﾐﾀｲで嫌だﾜ｣,31,被那樣叫像罪犯好討厭｣,人工定稿,导入警告: kana_residue
47,0x2f4,system,system,1516,4,,未翻,
48,0x2f9,dialogue,narrative,spe｢だが､実際ﾆ君ﾊ疑ﾜﾚﾃｲﾙ｡,25,spe｢但實際上被懷疑。,人工定稿,导入警告: kana_residue
49,0x314,dialogue,narrative,全ﾃﾊ話ｻずﾄﾓ誤解ﾊ解ｲﾀ方がｲｲﾄ思ｳぞ｣,33,不全説也該解開誤會哇｣,人工定稿,P7 校对修正: だぞ→哇(v1.4 卡)
50,0x338,system,system,0249,4,,未翻,
51,0x33d,dialogue,narrative,spe｢……昇ﾆﾓｿｳ言ﾜﾚﾀｹど……｣,27,spe｢……昇也這麼説……｣,人工定稿,P7 校对修正: 补回原文收尾 ｣
52,0x35c,system,system,0250,4,,未翻,
53,0x361,dialogue,narrative,spe｢ﾏだ話ｾﾅｲﾜ｡,14,spe｢還不能説。,人工定稿,导入警告: kana_residue
54,0x370,dialogue,narrative,腕輪ﾉｺﾄｦﾐﾝﾅﾆ話ｼﾃXﾆバレﾀﾗ,24,手環的事告訴大家若X發現,人工定稿,"P7 校对修正: Xにバレたら=被X發現, '露X'误"
55,0x38c,dialogue,narrative,ｿﾚｺｿ自殺行為だﾓﾉ｣,17,那正是自殺行為嘛｣,人工定稿,P7 校对修正: だもの→嘛
56,0x3a0,system,system,1517,4,,未翻,
57,0x3a5,dialogue,narrative,spe｢ｿﾚﾊ､ｿｳだが……｣,19,spe｢那確實是……｣,人工定稿,P7 校对修正: 补回原文收尾 ｣
58,0x3bc,system,system,0251,4,,未翻,
59,0x3c1,dialogue,narrative,spe｢だｶﾗ､ｵﾈがｲ｡,15,spe｢姐姐就好。,人工定稿,导入警告: kana_residue
60,0x3d1,system,system,s,1,,未翻,
61,0x3d4,dialogue,narrative,ﾓｳ少ｼだｹ黙ｯﾃｵｲﾃ欲ｼｲﾉ｣,21,希望再保密一下｣,人工定稿,导入警告: kana_residue
62,0x3ec,system,system,1518,4,,未翻,
63,0x3f1,dialogue,narrative,spe｢…………ﾜｶｯﾀ｣,17,spe｢……明白了｣,人工定稿,导入警告: kana_residue
64,0x404,dialogue,narrative,ﾏﾙでチキンレースだﾅ｡,20,真像膽量比試。,人工定稿,
65,0x41c,dialogue,narrative,取ﾘ返ｼﾉﾂｶﾅｲｺﾄﾆﾅﾗﾅｹﾚば良ｲが……｡,31,但願別變無法挽回……。,人工定稿,
66,0x43c,dialogue,narrative,ロム2_KW_容疑者_昇,18,ROM2_KW_嫌疑人_昇,人工定稿,
67,0x450,system,system,0229,4,,未翻,
68,0x455,dialogue,narrative,spe｢容疑者ｶ…………｣,20,spe｢嫌疑人哦……｣,人工定稿,P7 校对修正: 补回原文收尾 ｣
69,0x46c,system,system,0230,4,,未翻,
70,0x471,dialogue,narrative,spe｢……ｿﾘｬ､疑ﾜﾚﾙﾖｳﾅ行動ｦｼﾃｲﾙﾉﾊ,31,spe｢……的確做了可疑行動,人工定稿,导入警告: kana_residue
71,0x494,dialogue,narrative,事実だｹど､ｱｲﾂﾅﾘﾆ考ｴがｱﾙｼ……｣,29,確是事實但他也有他的想法……｣,人工定稿,"P7 校对修正: あいつなりに=他也有自己的想法, '那夥'误"
72,0x4b4,system,system,0231,4,,未翻,
73,0x4b9,dialogue,narrative,spe｢……正直､言ｲ過ぎだﾄ思ｳ｣,27,spe｢……説實話覺得太過了｣,人工定稿,P7 校对修正: と思う 补回
74,0x4d8,dialogue,narrative,私が香菜ｸﾝﾉ単独行動ｦ知ｯﾃｲﾙ､,27,我知道香菜單獨行動、,人工定稿,
75,0x4f4,dialogue,narrative,ﾄｲｳ事実ｦ知ﾗﾅｲﾀﾒｶ､,17,或因不知此事、,人工定稿,
76,0x508,dialogue,narrative,森崎氏ﾊ誤魔化ｽﾖｳﾆｿｳ言ｯﾀ｡,24,森崎為蒙混才那樣説。,人工定稿,
77,0x524,system,system,0232,4,,未翻,
78,0x529,dialogue,narrative,spe｢だｹどｻ……ﾔｯぱ浅川ｻﾝﾓ､,26,spe｢不過……淺川也、,人工定稿,导入警告: kana_residue
79,0x544,dialogue,narrative,香菜が容疑者ﾄｶ思ｯﾃﾝﾉ?｣,22,覺得香菜是嫌疑人?｣,人工定稿,导入警告: kana_residue
80,0x55c,system,system,1519,4,,未翻,
81,0x561,dialogue,narrative,spe｢思ｯﾃﾊｲﾅｲｻ｡ﾀだ……｣,22,spe｢沒那麼想。只是……,人工定稿,导入警告: kana_residue
82,0x578,system,system,0233,4,,未翻,
83,0x57d,dialogue,narrative,spe｢ﾀだ……?｣,13,spe｢只……?｣,人工定稿,导入警告: kana_residue
84,0x58b,system,system,s1520,5,,未翻,
85,0x591,dialogue,narrative,spe｢三人ﾉ犠牲者が出ﾃｼﾏｯﾀｺﾉ状況で､,33,spe｢已有三名犧牲者、,人工定稿,导入警告: kana_residue
86,0x5b4,dialogue,narrative,ﾐﾝﾅｶﾗ犯人扱ｲｻﾚﾙﾄｲｳｺﾄﾊ､,22,被大家當犯人這回事、,人工定稿,
87,0x5cc,dialogue,narrative,香菜ｸﾝ自身ﾆﾄｯﾃﾓ危険ﾅ状態ﾄｲｳｺﾄだぞ｣,34,對香菜來説也危險哇｣,人工定稿,P7 校对修正: だぞ→哇(v1.4 卡)
88,0x5f0,system,system,0234,4,,未翻,
89,0x5f5,dialogue,narrative,spe｢ﾜ､ﾜｶｯﾃﾙﾖ｣,13,spe｢我明白哦｣,人工定稿,导入警告: kana_residue
90,0x603,system,system,s1521,5,,未翻,
91,0x609,dialogue,narrative,spe｢ﾜｶｯﾃｲﾙ?,11,spe｢明白?,人工定稿,导入警告: kana_residue
92,0x615,dialogue,narrative,t.sｿﾚﾅﾗ､森崎氏ﾊ何故､,20,t.s那森崎為何、,人工定稿,
93,0x62c,dialogue,narrative,香菜ｸﾝﾉ側ﾆｲﾃﾔﾗﾅｲﾝだ?｣,21,不待在香菜身邊?｣,人工定稿,导入警告: kana_residue
94,0x644,system,system,0235,4,,未翻,
95,0x649,dialogue,narrative,spe｢ｴ……?｣,11,spe｢欸?｣,人工定稿,导入警告: kana_residue
96,0x655,system,system,t.s1522,7,,未翻,
97,0x65d,dialogue,narrative,spe｢唯柚ｸﾝﾉｺﾄﾓ気がｶﾘﾅﾉﾊﾜｶﾙが､,29,spe｢掛心唯柚的心情明白、,人工定稿,"P7 校对修正: 现译语序破, 重排"
98,0x67c,dialogue,narrative,一人ﾆｻﾚﾀ香菜ｸﾝﾊ何ｦ思ｳ?｣,23,被孤立的香菜怎麼想?｣,人工定稿,导入警告: kana_residue
99,0x694,dialogue,narrative,ｺﾉ殺人ゲームｶﾗﾉ脱出ﾉﾀﾒﾆ､,24,為逃出這殺人遊戲、,人工定稿,
100,0x6b0,dialogue,narrative,危険ｦ冒ｼﾃﾏで研究ｦ続ｹﾃｲﾙ香菜ｸﾝ｡,30,冒險持續研究的香菜。,人工定稿,
101,0x6d0,dialogue,narrative,ｿﾝﾅ中､唯柚ｸﾝﾄ親密ﾅ関係だﾄ噂ﾉ森崎氏｡,35,其中傳與唯柚親密的森崎。,人工定稿,P7 校对修正: そんな中 补回
102,0x6f4,dialogue,narrative,彼女ｦ一人ﾆｽﾚばｽﾙﾎど､,20,越讓他孤單一人、,人工定稿,
103,0x70c,dialogue,narrative,彼女ﾊﾖﾘ他人ﾆ怪ｼﾏﾚ､孤立ｼﾃｼﾏｳ｡,28,他越被懷疑越孤立。,人工定稿,
104,0x72c,system,system,1523,4,,未翻,
105,0x731,dialogue,narrative,spe｢……ﾄﾆｶｸ､森崎氏｡,20,spe｢……總之森崎。,人工定稿,导入警告: kana_residue
106,0x748,dialogue,narrative,香菜ｸﾝｦ容疑者扱ｲﾆｻﾚﾀｸﾅｲﾅﾗ､,26,不想香菜被當嫌疑人、,人工定稿,
107,0x764,dialogue,narrative,ﾓｯﾄ彼女ﾉ側ﾆｲﾃ､守ｯﾃﾔﾚ｣,21,多待他身邊守護｣,人工定稿,导入警告: kana_residue
