seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_ring.tob,23,,未翻,
2,0x18,system,system,kw_ring.sts,11,,未翻,
3,0x24,dialogue,label,ROM2_KW_腕輪,12,ROM2_KW_手環,人工定稿,
4,0x34,dialogue,label,ROM2_KW会話_腕輪,16,ROM2_KW會話_腕輪,人工定稿,
5,0x48,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x60,dialogue,command,フェードアウト,14,,未翻,
7,0x70,dialogue,narrative,ロム2_KW_腕輪_美紀,18,ROM2_KW_腕輪_美紀,人工定稿,
8,0x84,system,system,1072,4,,未翻,
9,0x89,dialogue,narrative,ng.｢ｺﾉ腕輪､ｵ姉ｻﾏﾄｵ揃ｲﾅﾉﾊｲｲｯｽｹど｡,32,ng.｢這手環和姐姐大人成對是挺好，,人工定稿,"P7: けど(可是)漏译, 句末改逗号承接下一行"
10,0xac,dialogue,narrative,何ﾃｲｳｶ､超ダサｲｯｽﾖ｣,18,怎麼説，超土的哦｣,人工定稿,导入警告: kana_residue
11,0xc0,system,system,1892,4,,未翻,
12,0xc5,dialogue,narrative,ng.｢ﾏｱ､ｵ洒落ﾄﾊ言ｲがﾀｲﾅ｣,23,ng.｢嘛，實在談不上時髦｣,人工定稿,导入警告: kana_residue
13,0xe0,system,system,1073,4,,未翻,
14,0xe5,dialogue,narrative,ng.｢ｱﾄ､妙ﾆ重ｸﾅｲｯｽｶ?｣,20,ng.｢而且，莫名地重?｣,人工定稿,导入警告: kana_residue
15,0xfc,system,system,1893,4,,未翻,
16,0x101,dialogue,narrative,ng.｢美紀ｸﾝﾓｿｳ思ｳｶ? 実ﾊ私ﾓﾅﾝだ｡,30,ng.｢美紀也這麼想? 其實我也是。,人工定稿,P7: 実は(其實)漏译
17,0x120,dialogue,narrative,ｺﾉ腕輪､サイズﾆ比べﾃ質量がｱﾙﾅ｣,29,這手環，相對尺寸蠻沈的｣,人工定稿,导入警告: kana_residue
18,0x140,system,system,1074,4,,未翻,
19,0x145,dialogue,narrative,ng.｢ダサｲ上､重ｲｯﾃ最悪じｬﾅｲｽｶ?｣,30,ng.｢又土又重，豈不是糟透了?｣,人工定稿,"P7: じゃないか 求确认句尾, 改中文反问句式"
20,0x164,system,system,1894,4,,未翻,
21,0x169,dialogue,narrative,ng.｢ﾀだ単ﾆ重ｲだｹでﾊﾅｲ気がｽﾙが……｣,34,ng.｢總覺得不只是單純的重……｣,人工定稿,导入警告: kana_residue
22,0x18c,system,system,1075,4,,未翻,
23,0x191,dialogue,narrative,ng.｢ｿｳｯｽｶﾈ?,11,ng.｢是嘛?,人工定稿,导入警告: kana_residue
24,0x19d,system,system,ts,2,,未翻,
25,0x1a0,dialogue,narrative,どﾉﾐﾁ悪趣味ﾅデザインﾅｺﾄﾆﾊ,25,反正這設計就是惡趣味，,人工定稿,"P7: どのみち=反正(原译'怎麼看'误译), 逗号承接下行"
26,0x1bc,dialogue,narrative,変ﾜﾘﾅｲｯｽﾖ!｣,11,不會變哦!｣,人工定稿,P7: 変わりない 承接上行补出指代
27,0x1c8,dialogue,narrative,ロム2_KW_腕輪_昇,16,ROM2_KW_腕輪_昇,人工定稿,
28,0x1dc,system,system,0298,4,,未翻,
29,0x1e1,dialogue,narrative,ng.｢ﾐﾝﾅ同じ腕輪ｦ着ｹﾃﾙﾝだﾖﾅ｣,27,ng.｢大家都戴著一樣的手環｣,人工定稿,导入警告: kana_residue
30,0x200,system,system,1895,4,,未翻,
31,0x205,dialogue,narrative,ng.｢ｱｱ｡全員､色ﾓ形ﾓ全ﾃ同じﾓﾉｦ,28,ng.｢哦。毎人顏色形状都一樣,人工定稿,导入警告: kana_residue
