seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_x.tob,20,,未翻,
2,0x18,system,system,kw_x.sts,8,,未翻,
3,0x24,system,system,ROM2_KW_X,9,,未翻,
4,0x30,dialogue,label,ROM2_KW会話_X,13,ROM2_KW會話_X,人工定稿,
5,0x40,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,P7 校对修正: 统一既有口径(其他块均作 分支到了/分支到此)
6,0x58,dialogue,command,フェードアウト,14,,未翻,
7,0x68,dialogue,narrative,ロム2_KW_X_美紀,15,ROM2_KW_X_美紀,人工定稿,
8,0x78,system,system,0927,4,,未翻,
9,0x7d,dialogue,narrative,sts｢マジで許ｾﾅｲｯｽ!,18,sts｢真的無法原諒!,人工定稿,导入警告: kana_residue
10,0x90,dialogue,narrative,ｱﾀｼ､堪忍袋ﾉ緒が切ﾚﾏｼﾀ!｣,23,我的忍耐已經到極限了!｣,人工定稿,导入警告: kana_residue
11,0xa8,system,system,1337,4,,未翻,
12,0xad,dialogue,narrative,sts｢君ﾉ堪忍袋ﾊ切ﾚｯぱﾅｼだﾛｳ｣,27,sts｢忍耐早就斷光了唄｣,人工定稿,导入警告: kana_residue
13,0xcc,system,system,0928,4,,未翻,
14,0xd1,dialogue,narrative,sts｢ｿﾝﾅｺﾄﾅｲｯｽ!,14,sts｢沒那回事!｣,人工定稿,导入警告: kana_residue
15,0xe0,dialogue,narrative,ｱﾀｼﾊ海ﾖﾘ広ｲ心ﾉ持ﾁ主ｯｽﾓﾝ｣,24,我的胸懷比海更寬廣嘛｣,人工定稿,导入警告: kana_residue
16,0xfc,system,system,1338,4,,未翻,
17,0x101,dialogue,narrative,sts｢狭ｲ海だﾅ｡,13,sts｢海真狹。,人工定稿,导入警告: kana_residue
18,0x110,dialogue,narrative,ｿﾚﾊﾄﾓｶｸ､Xだ｡未だ尻尾がﾂｶﾒﾅｲﾉﾊ,29,總之是X。至今還抓不到尾巴,人工定稿,
19,0x130,dialogue,narrative,ｻｽが語ﾘ継がﾚﾙだｹﾊｱﾙﾄｲｳｺﾄｶ｣,26,不愧是流傳至今的傳説｣,人工定稿,P7 校对修正: さすが語り継がれるだけはある 误译为'只剩下传说被流传'
20,0x14c,system,system,0929,4,,未翻,
21,0x151,dialogue,narrative,sts｢ﾊﾔｸ倒ｻﾅｲﾄ､ｱﾀｼ達ﾓﾔばｲｯｽﾖﾈ｣,29,sts｢不快打倒，我們也完蛋呀｣,人工定稿,"P7 校对修正: っすよね 无问号共感, 用 呀(卡 v1.4), 非 咯"
22,0x170,system,system,1339,4,,未翻,
23,0x175,dialogue,narrative,sts｢ｱｱ｡ｾﾒﾃ今残ｯﾃﾙ人達ﾊ,22,sts｢哦。至少活著的人,人工定稿,导入警告: kana_residue
24,0x18c,dialogue,narrative,ﾅﾙべｸ救ｲﾀｲﾄｺﾛだがﾅ……｣,23,但還是想盡量多救……｣,人工定稿,"P7 校对修正: なるべく救いたいところだが 丢'想救/但', 补回"
25,0x1a4,dialogue,narrative,ロム2_KW_X_霞,13,ROM2_KW_X_霞,人工定稿,
26,0x1b4,dialogue,narrative,Xﾆﾂｲﾃ……｡,10,關於X……,人工定稿,
27,0x1bf,dialogue,narrative,鉛ﾞ女ﾊ何ｶ核心ｦ知ｯﾃｲﾙ可能性が高ｲ｡,32,鉛女很可能知道某些核心信息。,人工定稿,
28,0x1e0,dialogue,narrative,人目ﾉﾂｶﾅｲﾄｺﾛﾆ行ｯﾀ方が良ｲだﾛｳ｡,29,最好去個不引人注目的地方。,人工定稿,
29,0x200,dialogue,narrative,私達ﾊ霞ｸﾝｦ連ﾚ､,14,我們帶著霞，,人工定稿,
30,0x210,dialogue,narrative,彼女が最ﾓ落ﾁ着ｲﾃ話ｾﾙでｱﾛｳ,25,前往最能讓他冷靜談話的,人工定稿,
31,0x22c,dialogue,narrative,書庫ﾍﾄ移動ｼﾀ｡,13,書庫。,人工定稿,
32,0x23c,dialogue,narrative,ｻﾃ……｡,7,那……,人工定稿,
33,0x244,system,system,1340,4,,未翻,
34,0x249,dialogue,narrative,sts｢霞ｸﾝﾊXﾉｺﾄｦ知ｯﾃｲﾀﾉだﾅ?｣,26,sts｢霞早就知道X的事對不?｣,人工定稿,P7 校对修正: 知っていた 补'早就'; だな? 求确认按卡用 對不?
35,0x264,system,system,0082,4,,未翻,
36,0x269,dialogue,narrative,sts｢ｴｯ?｣,8,sts｢欸?｣,人工定稿,导入警告: kana_residue
37,0x272,system,system,ts1341,6,,未翻,
38,0x279,dialogue,narrative,sts｢最初ﾆ美紀ｸﾝがXﾉ話ｦｼﾀ時､,27,sts｢一開始美紀提到X的時候，,人工定稿,导入警告: kana_residue
39,0x298,dialogue,narrative,反応ｼﾃｲﾀｶﾗﾅ｣,12,有反應了嘛｣,人工定稿,导入警告: kana_residue
40,0x2a8,system,system,1342,4,,未翻,
41,0x2ad,dialogue,narrative,sts｢都市伝説ﾄｲｳﾉﾊ嘘だｶﾗ､,24,sts｢所謂都市傳説是假的，,人工定稿,导入警告: kana_residue
42,0x2c8,dialogue,narrative,反応でｷﾙﾄｽﾚば､,14,若會有反應，,人工定稿,
43,0x2d8,dialogue,narrative,Xﾉ存在ｦ知ｯﾃｲﾙ者だｹだ｣,21,就只有知道X存在的人｣,人工定稿,导入警告: kana_residue
44,0x2f0,dialogue,narrative,じｯﾄ顔ｦ覗ｷ込ﾑﾄ､霞ｸﾝﾊ首ｦ縦ﾆ振ｯﾀ｡,31,我凝視著他的臉，霞點了點頭。,人工定稿,
45,0x310,system,system,0083,4,,未翻,
46,0x315,dialogue,narrative,sts｢……ﾊｲ｡,11,sts｢……是,人工定稿,导入警告: kana_residue
47,0x324,dialogue,narrative,ごﾒﾝﾅｻｲ､実ﾊ……圭ｸﾝﾄｺﾚｦ,23,抱歉，其實……是我和圭,人工定稿,
48,0x33c,dialogue,narrative,見ﾂｹﾀﾉで……｣,13,一起找到的…｣,人工定稿,导入警告: kana_residue
49,0x34c,system,system,1343,4,,未翻,
50,0x351,dialogue,narrative,sts｢……見ﾂｹﾀ?｣,15,sts｢……找到?｣,人工定稿,导入警告: kana_residue
51,0x364,dialogue,narrative,霞ｸﾝﾊ書庫ﾉ奥ｶﾗ一冊ﾉノートｦ取ﾘ出ｽ｡,33,霞從書庫深處拿出一本筆記本。,人工定稿,
52,0x388,system,system,1344,4,,未翻,
53,0x38d,dialogue,narrative,sts｢ｺ､ｺﾚﾊ……｣,14,sts｢這、這…｣,人工定稿,导入警告: kana_residue
54,0x39c,system,system,0084,4,,未翻,
55,0x3a1,dialogue,narrative,sts｢……誰ｶﾉ日記ﾐﾀｲでｽ｡,23,sts｢……好像誰的日記。,人工定稿,P7 校对修正: みたいです→好像(全库口径)
56,0x3bc,dialogue,narrative,一応､私ﾄ圭ｸﾝﾊ目ｦ通ｼﾀﾝでｽｹど……｣,32,我和圭姑且看過一遍，不過……｣,人工定稿,P7 校对修正: けど 连接词补回
57,0x3e0,dialogue,narrative,私ﾊ日記ｦ受ｹﾄﾙﾄ､ざｯﾄページｦ確認ｽﾙ｡,33,我接過日記，大致翻看了一遍。,人工定稿,
58,0x404,dialogue,narrative,ｿｺﾆﾊ､美紀ｸﾝﾄ見ﾂｹﾀ日記ﾔ､香菜ｸﾝｶﾗ,31,裡面寫著與美紀一起找到的日記、,人工定稿,P7 校对修正: 美紀クンと 补'一起'; 裡(全库 45 处用 裡)
59,0x424,dialogue,narrative,教ｴﾃ貰ｯﾀ日記ﾄﾊ少ｼ違ｳ内容が綴ﾗﾚﾃｲﾀ｡,34,與香菜那裡聽來的日記稍有不同。,人工定稿,"P7 校对修正: 漏译 日記(第二本), 与上一行并列"
60,0x448,system,system,1345,4,,未翻,
61,0x44d,dialogue,narrative,sts｢ｺﾉ日記ﾉ主ﾊ『受験者X』ｶ｡,27,sts｢日記主人是『考生X』。,人工定稿,P7 校对修正: 受験者 与 r2 定稿块统一为 考生
62,0x46c,dialogue,narrative,ｼｶﾓ役職ﾊ……探偵……?｣,22,而且身份……偵探……?｣,人工定稿,"P7 校对修正: 探偵→偵探(全库 115 处, 本块 4 处漏改)"
63,0x484,dialogue,narrative,Xがシリアルキラーだﾄﾊ限ﾗﾅｲﾉｶ｡,29,X不一定就是連環殺手。,人工定稿,
64,0x4a4,system,system,1346,4,,未翻,
65,0x4a9,dialogue,narrative,sts｢Xﾊ､自ﾗｦ受験者ﾄ名乗ｯﾃｲﾙが……,32,sts｢X自稱是考生，不過……,人工定稿,P7 校对修正: 受験者 统一为 考生
66,0x4cc,dialogue,narrative,ｺﾚﾊ他ﾉ日記ｦ読ﾝで風習ﾆ従ｯﾀだｹｶ｣,30,只是讀了別的日記跟著做而已｣,人工定稿,导入警告: kana_residue
67,0x4ec,dialogue,narrative,ﾂﾏﾘXﾄﾊ､自称でｷﾙﾎどﾊｯｷﾘﾄｼﾀ,25,也就是説，X是有著某種,人工定稿,
68,0x508,dialogue,narrative,何ｶｼﾗﾉ定義がｱﾙﾉだﾛｳ｡,20,明確定義的存在。,人工定稿,
69,0x520,dialogue,narrative,ｼｶﾓｿｺﾆ役職ﾊ関係ﾅｲ｡,18,而且身份與此無關。,人工定稿,
70,0x534,dialogue,narrative,受験者ｶ……,11,考生……,人工定稿,P7 校对修正: 受験者 统一为 考生
71,0x540,dialogue,narrative,香菜ｸﾝﾄ話ｼﾀ試験ﾄｲｳ話ｦ思ｲ出ｽ｡,28,我想起了和香菜談過的考試。,人工定稿,
72,0x560,system,system,1347,4,,未翻,
73,0x565,dialogue,narrative,sts｢ご丁寧ﾆ殺ｻﾚﾀ人数ﾄ､,22,sts｢還仔細寫著人數、,人工定稿,P7 校对修正: ご丁寧に 补'仔細'(与 74 合计保持槽宽)
74,0x57c,dialogue,narrative,表示ｻﾚﾀ名前ﾏで書ｷ示ｼﾃｲﾙぞ｣,26,連被殺者的名字都列出來哇｣,人工定稿,"P7 校对修正: ぞ→哇(风格指南), 非 咯(だぜ 专用)"
75,0x598,system,system,0930,4,,未翻,
76,0x59d,dialogue,narrative,sts｢ｱ､ｵ姉ｻﾏ……ｺﾚ……｣,22,sts｢姐姐大人……這…｣,人工定稿,导入警告: kana_residue
77,0x5b4,dialogue,narrative,美紀ｸﾝﾆ示ｻﾚﾀ一文｡,17,美紀指的那行字。,人工定稿,
78,0x5c8,dialogue,narrative,ｿｺﾆﾊ､少ｼ大ｷﾅ文字で,18,那裡用稍大的字寫著,人工定稿,"P7 校对修正: 那里→那裡(全库统一, 裡 为 JIS 标准区字形)"
79,0x5dc,dialogue,narrative,ｺｳ書ｶﾚﾃｱｯﾀ｡,11,如下内容。,人工定稿,
80,0x5e8,dialogue,narrative,『私ﾉ能力ｦ見ｾﾂｹﾙﾀﾒﾆ､,20,『為了展示我的能力，,人工定稿,
81,0x600,dialogue,narrative,私以外ﾉ参加者ｦ全滅ｻｾﾙ』,23,讓我以外的參加者全滅』,人工定稿,
82,0x618,dialogue,narrative,……宣言通ﾘ､Xﾊ様々ﾅ嘘ｦ交ｴ､,26,……如同宣言，X用各種假話,人工定稿,
83,0x634,dialogue,narrative,市民同士ｦ殺ｼ合ﾜｾﾃｲｷ､,20,讓市民互相殘殺，,人工定稿,
84,0x64c,dialogue,narrative,ゲームが終ﾜﾗﾅｲﾖｳ調整ｼﾅがﾗ……｡,30,一面調整不讓遊戲結束……。,人工定稿,
85,0x66c,dialogue,narrative,最後ﾆﾊ残ｯﾀ市民ﾄシリアルキラーｦ,30,最後則讓倖存的市民和連環殺手,人工定稿,
