seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/r2_t3_3_0_0.tob,27,,未翻,
2,0x1c,system,system,r2_t3_3_0_0.sts,15,,未翻,
3,0x2c,dialogue,label,ROM2_ターン3_フリー移動イベント,31,ROM2_回合3_自由移動事件,人工定稿,
4,0x4c,dialogue,label,ROM2_ターン3_フリーイベント判定,31,ROM2_回合3_自由事件判定,人工定稿,
5,0x6c,dialogue,label,ROM2_ターン3_フリー移動,23,ROM2_回合3_自由移動,人工定稿,
6,0x84,dialogue,narrative,ロム2_ターン3_フリー移動場所セット,34,ROM2_回合3_自由移動場所設定,人工定稿,
7,0xa8,dialogue,command,フェードアウト,14,,未翻,
8,0xb8,dialogue,narrative,ロム2_ターン3_ダミー,20,ROM2_回合3_假資料,人工定稿,P7 校对修正
9,0xd0,dialogue,narrative,ロム2_ターン3_ホール,20,ROM2_回合3_大廳,人工定稿,
10,0xe8,system,system,0486,4,,未翻,
11,0xed,dialogue,narrative,_3_｢……ｲﾂ入ｯﾃﾓ気分が悪ｸﾅﾙｯｽ｣,29,_3_｢……毎次進來心情都變差｣,人工定稿,导入警告: kana_residue
12,0x10c,system,system,0625,4,,未翻,
13,0x111,dialogue,narrative,_3_｢無理ﾓﾅｲ｡,12,_3_｢也難怪。,人工定稿,导入警告: kana_residue
14,0x11e,dialogue,narrative,0.人が一人､死ﾝでｲﾙﾉだｶﾗﾅ……｣,29,0.因為已經死了一個人……｣,人工定稿,P7 校对修正
15,0x13c,system,system,0487,4,,未翻,
16,0x141,dialogue,narrative,_3_｢早ｸ用ｦ済ﾏｾﾏｼｮｳ｣,19,_3_｢快點處理完。｣,人工定稿,导入警告: kana_residue
17,0x158,system,system,0626,4,,未翻,
18,0x15d,dialogue,narrative,_3_｢ｱｱ｡ｺｺﾆｲﾙﾉﾊ……,18,_3_｢哦。在場的……,人工定稿,P7 校对修正
19,0x170,dialogue,narrative,ジャック氏ﾄ薫ｻﾝだｹｶ……｣,24,只有傑克和薰……?｣,人工定稿,P7 校对修正
20,0x18c,system,system,0488,4,,未翻,
21,0x191,dialogue,narrative,_3_｢……二人ﾄﾓ好ｷｯｽﾈｪ｣,22,_3_｢……兩個都好喜歡｣,人工定稿,导入警告: kana_residue
22,0x1a8,system,system,0627,4,,未翻,
23,0x1ad,dialogue,narrative,_3_｢ジャック氏ﾊ本当ﾆ好ｷでｺｺﾆｲﾙﾉだﾛｳﾅ｡,37,_3_｢傑克應該是真心喜歡待在這裡咯。,人工定稿,P7 校对修正
24,0x1d4,dialogue,narrative,薫ｻﾝﾊ……現場検証ﾊﾓｳ終ﾜｯﾃｲﾙだﾛｳｶﾗ,33,薰……大概是因為現場査證已結束,人工定稿,P7 终轮统一: 現場檢證→現場査證
25,0x1f8,dialogue,narrative,ジャック氏ﾉ見張ﾘｶ何ｶだﾛｳｶ｣,26,才在監視傑克之類咯。｣,人工定稿,P7 校对修正
26,0x214,system,system,0489,4,,未翻,
27,0x219,dialogue,narrative,_3_｢ｳﾋｬｰ､精が出ﾏｽﾈｪ｡,20,_3_｢嗚呀，真賣力。,人工定稿,导入警告: kana_residue
28,0x230,dialogue,narrative,ｱﾀｼだｯﾀﾗ､ジャックｦ縛ﾘ付ｹﾃ,25,我的話，把傑克束縛住,人工定稿,P7 校对修正
29,0x24c,dialogue,narrative,放ｯﾃｵｸﾝｽｹどﾈｰ｣,14,放著不管咯。｣,人工定稿,导入警告: kana_residue
30,0x25c,system,system,0628,4,,未翻,
31,0x261,dialogue,narrative,_3_｢暴ﾚﾗﾚﾃジャック氏が暴力ﾉ判定ｦ受ｹ,35,_3_｢要是傑克動粗，被判定為暴力,人工定稿,P7 校对修正
32,0x288,dialogue,narrative,死ﾇﾄｲｳﾉﾓ避ｹﾀｲﾉだﾛｳ｡,19,也不想鬧出人命。,人工定稿,
33,0x29c,dialogue,narrative,彼女ﾊ良ｲ人ｽぎﾙﾎど良ｲ人だｶﾗﾅ｣,28,因為薰是個太好的人。｣,人工定稿,P7 校对修正
34,0x2bc,system,system,0490,4,,未翻,
35,0x2c1,dialogue,narrative,_3_｢ｿﾉ正義感が仇ﾆﾅﾗﾅｹﾚば,24,_3_｢那正義感別變成禍害,人工定稿,导入警告: kana_residue
