seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/kw_strange.tob,26,,未翻,
2,0x1c,system,system,kw_strange.sts,14,,未翻,
3,0x2c,dialogue,label,ROM2_KW_怪ｼｲ行動,16,ROM2_KW_可疑行動,人工定稿,
4,0x40,dialogue,label,ROM2_KW会話_怪ｼｲ行動,20,ROM2_KW會話_可疑行動,人工定稿,
5,0x58,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
6,0x70,dialogue,command,フェードアウト,14,,未翻,
7,0x80,dialogue,narrative,ロム2_KW_怪ｼｲ行動_美紀,22,ROM2_KW_可疑行動_美紀,人工定稿,
8,0x98,system,system,0969,4,,未翻,
9,0x9d,dialogue,narrative,ran｢ﾝｰ､明ﾗｶﾆ怪ｼｲ行動ｦ取ｯﾃﾀﾉｯﾃ……,33,ran｢唔，明顯有可疑行動的……,人工定稿,导入警告: kana_residue
10,0xc0,dialogue,narrative,ジャックｸﾗｲだｯﾀｼ｣,17,只有傑克而已｣,人工定稿,导入警告: kana_residue
11,0xd4,system,system,0970,4,,未翻,
12,0xd9,dialogue,narrative,ran｢他ﾉ人ﾓｲﾏｲﾁ把握ｼｷﾚﾅｲﾝｯｽﾖﾈ｣,29,ran｢其他人也難以完全掌握呀｣,人工定稿,"P7 校对: っすよね求同陈述, 依 v1.4 卡共感用「呀」(去「哦」)"
13,0xf8,system,system,1584,4,,未翻,
14,0xfd,dialogue,narrative,ran｢……『X』ﾊバレﾅｲﾖｳﾆ上手ｸ,28,ran｢……『X』為了不被發現，,人工定稿,导入警告: kana_residue
15,0x11c,dialogue,narrative,カムフラージュｼﾃｲﾙﾉだﾛｳ｣,24,應該是巧妙地偽裝著｣,人工定稿,"P7 校对: だろう 非 だぜ, 去「咯」改「應該」式"
16,0x138,system,system,0971,4,,未翻,
17,0x13d,dialogue,narrative,ran｢何ﾃずﾙ賢ｲヤツﾅﾝｽｶﾈｰ!｣,25,ran｢真是狡猾的混蛋哇!｣,人工定稿,导入警告: kana_residue
18,0x158,system,system,1585,4,,未翻,
19,0x15d,dialogue,narrative,ran｢ｿﾚｸﾗｲずﾙ賢ｸﾅｹﾚば,20,ran｢要是不那麼狡猾，,人工定稿,导入警告: kana_residue
20,0x174,dialogue,narrative,『X』ﾊ務ﾏﾗﾅｲﾄｲｳｺﾄｻ｣,19,就當不了『X』呀｣,人工定稿,导入警告: kana_residue
21,0x188,system,system,1586,4,,未翻,
22,0x18d,dialogue,narrative,ran｢ｲﾔﾑｼﾛ､ずﾙ賢ｲｶﾗｺｿ,20,ran｢不，正因為狡猾，,人工定稿,导入警告: kana_residue
23,0x1a4,dialogue,narrative,我々ﾊXﾄ名付ｹﾃ呼ﾝでｲﾙﾜｹだが｣,27,我們才以X來稱呼他｣,人工定稿,导入警告: kana_residue
24,0x1c0,dialogue,narrative,ｱﾉ日記ﾆﾅぞﾗｴﾃｲﾙだｹで､,21,只是比照那本日記，,人工定稿,
