seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/sts_debIWAI.tob,27,,未翻,
2,0x1c,system,system,sts_debIWAI.sts,15,,未翻,
3,0x2c,system,system,deb_iwai_start,14,,未翻,
4,0x3c,dialogue,narrative,岩井デバッグスタート,20,岩井調試開始,人工定稿,
5,0x54,dialogue,narrative,テストメニュー1,15,測試菜單1,人工定稿,
6,0x64,dialogue,narrative,テストメニュー2,15,測試菜單2,人工定稿,
7,0x74,dialogue,narrative,テストメニュー3,15,測試菜單3,人工定稿,
8,0x84,dialogue,narrative,テストメニュー4,15,測試菜單4,人工定稿,
9,0x94,dialogue,command,アサートテスト,14,,未翻,
10,0xa4,dialogue,command,エラーテスト,12,,未翻,
11,0xb1,system,system,ts,2,,未翻,
12,0xb4,dialogue,command,フリーテスト,12,,未翻,
13,0xc1,system,system,ts,2,,未翻,
14,0xc4,dialogue,label,KWテスト,8,KW測試,人工定稿,
15,0xcd,dialogue,narrative,AI.<assert>式が偽  (f_dummy == 1),33,AI.<assert>式為偽  (f_dummy == 1),人工定稿,
16,0xf0,dialogue,narrative,"""エラーテスト""",14,"""錯誤測試""",人工定稿,
17,0x100,dialogue,narrative,探偵テスト,10,偵探測試,人工定稿,
18,0x10b,dialogue,narrative,.二重解放,9,.雙重解放,人工定稿,
19,0x115,dialogue,narrative,AI.未実装,9,AI.未實裝,人工定稿,
20,0x11f,dialogue,narrative,Iテスト,7,I測試,人工定稿,
21,0x127,dialogue,narrative,I西野ｦ調査,10,I調査西野,人工定稿,
22,0x132,dialogue,narrative,I.薫ｦ調査,9,I.調査薰,人工定稿,
23,0x13c,dialogue,narrative,樫沢ｦ調査,9,調査樫澤,人工定稿,
24,0x146,dialogue,narrative,I.ﾂﾑじｦ調査,11,I.調査旋,人工定稿,
25,0x152,dialogue,narrative,I.<switch_err> ﾆ分岐ｼﾃｷﾀ,24,I.<switch_err> 分支到了,人工定稿,"P7 校对修正: 补回 ﾆ(に) 的方向义, 同 sts_debZONO 定稿"
26,0x16c,dialogue,narrative,続ｹﾙ,4,繼續,人工定稿,"P7 校对修正: 続ける=繼續(全库定稿词形), 原译 接著 漂移"
27,0x171,dialogue,narrative,ebIﾔﾒﾙ,6,ebI停,人工定稿,P7 人工补译
28,0x178,dialogue,narrative,フリー移動場所テスト,20,自由移動場所測試,人工定稿,
29,0x190,dialogue,narrative,CT_ゲーム,9,CT_遊戲,人工定稿,
30,0x19a,dialogue,narrative,I.CT_場所,9,I.CT_場所,人工定稿,
31,0x1a4,dialogue,narrative,CT_人物,7,CT_人物,人工定稿,
32,0x1ac,dialogue,narrative,CT_話題,7,CT_話題,人工定稿,
33,0x1b4,dialogue,narrative,CT_ｿﾉ他,7,CT_其他,人工定稿,
34,0x1bc,dialogue,command,フェードアウト,14,,未翻,
35,0x1cc,dialogue,command,ゲームテスト,12,,未翻,
36,0x1d9,system,system,ts,2,,未翻,
37,0x1dc,dialogue,label,KW取得テスト,12,KW取得測試,人工定稿,
38,0x1e9,system,system,ts,2,,未翻,
39,0x1ec,dialogue,narrative,ﾊじﾏﾙﾖ～,8,開始咯～,人工定稿,
40,0x1f5,dialogue,narrative,AI.市民,7,AI.市民,人工定稿,
41,0x1fd,dialogue,narrative,ebI警官,7,ebI警官,人工定稿,
42,0x205,dialogue,narrative,ebI探偵,7,ebI偵探,人工定稿,
43,0x20d,dialogue,narrative,ebIシリアル吉良,15,ebI連環殺手吉良,人工定稿,
44,0x21d,system,system,ts,2,,未翻,
45,0x220,dialogue,narrative,腕輪,4,手環,人工定稿,
46,0x225,system,system,ebIX,4,,未翻,
47,0x22a,dialogue,narrative,s_投票,6,s_投票,人工定稿,
48,0x231,dialogue,narrative,ebI指名,7,ebI指名,人工定稿,
