类别,归一形,原文形态,出现次数,语音前缀,建议繁译,状态,备注,例句
人名(汉字),美紀,美紀クン/美紀サン/美紀チャン,464,MIKI,美紀,采用,"预填: 汉字名, 繁体同形",……美紀ｸﾝｶ｡
人名(汉字),香菜,香菜クン/香菜サン,223,KANA,香菜,采用,"预填: 汉字名, 繁体同形",U.｢ｿｺﾉ香菜ｻﾝﾐﾀｲﾆ……｣
人名(汉字),樫沢,樫沢クン/樫沢サン/樫沢氏,199,-,樫澤,采用,预填: 姓氏; 沢 为日式简写,我々ﾊ樫沢氏ﾆ促ｻﾚ､
人名(汉字),薫,薫クン/薫サン,161,"KAOR,KAORU",薰,采用,"预填: 日文作薫, 台惯用薰",_1_｢ｿﾚで､薫ｻﾝ｡
人名(汉字),森崎,森崎サン/森崎氏,144,-,森崎,采用,"预填: 姓氏, 繁体同形",森崎氏ﾉﾓｯﾄﾓﾅ質問ﾆ､
人名(汉字),唯柚,唯柚クン/唯柚サン/唯柚チャン/ユユ,142,YUYU,唯柚,采用,"片假名变体 ユユ 并入; 全名高円寺唯柚, 高円寺サン 同人; 以第三人称自称(风格指南已定)",stｱ､ｻﾃﾊｱﾝﾀ､唯柚ﾁｬﾝﾉ身代金目的ﾈ!｣
人名(汉字),紅春,紅春クン/紅春チャン,113,-,紅春,采用,"预填: 人名, 繁体同形",ざﾝﾈﾝ! 紅春ﾁｬﾝでｼﾀ!｣
人名(汉字),西野,西野サン/西野氏,93,-,西野,采用,"预填: 姓氏, 繁体同形",｢西野ｻﾝ､知ｯﾃｲﾙﾉでｽｶ?｣
人名(汉字),霞,霞クン/霞サン/霞チャン,93,"KASU,KASUM,KASUMI",霞,采用,"预填: 汉字名, 繁体同形; 即三上霞, 三上クン/三上サン 同人",｢霞ｸﾝﾄ言ｳﾉｶ｡
人名(汉字),坂橋,坂橋サン/坂橋氏,59,-,坂橋,采用,"预填: 姓氏, 繁体同形; 即坂橋圭介(圭), 同人异称",_4_｢坂橋氏ﾄ三上ｸﾝｶ｣
人名(汉字),楓,楓サン,50,"KAEDE,KAED",楓,采用,预填: 即繁体,ｿﾘｬ､楓ｻﾝﾉｺﾄﾓﾁｮｯﾄ
人名(汉字),浅川,浅川サン,43,-,淺川,采用,预填: 姓氏,｢ｴｯ? ｴｰｯﾄ……浅川ｻﾝｯﾃ
人名(汉字),圭,圭クン,41,-,圭,采用,"预填: 疑为 圭介 略称; 即坂橋圭介, 坂橋氏/坂橋サン 同人",｢ｱ､ｱﾉ……圭ｸﾝ｡
人名(汉字),昇,昇サン,36,"NOBO,NOBOR,NOBORU",昇,采用,"预填: 汉字名, 繁体同形",_3_｢ﾕﾕﾊﾈ｡ﾀだ､昇ｻﾝﾆﾓﾗｯﾀｵ花ｦ
人名(汉字),笹木,笹木サン,15,-,笹木,采用,"预填: 姓氏; 笹 为日制汉字, 保留",_1_｢笹木ｻﾝ｡Xﾄｲｳﾉﾊ……?｣
人名(汉字),青樹,青樹サン,12,-,青樹,采用,"姓氏, 繁体同形",_4_｢ｿﾉ通ﾘでｽ､青樹ｻﾝ｡素晴ﾗｼｲ｣
人名(汉字),三上,三上クン/三上サン,8,-,三上,采用,"姓氏, 繁体同形; 即三上霞(霞), 同人异称",_4_｢坂橋氏ﾄ三上ｸﾝｶ｣
人名(汉字),探偵,探偵サン,8,-,,忽略,校对忽略: 职业(探偵サン=侦探先生),探偵ｻﾝが､指名中だﾖ!
人名(汉字),高円寺,高円寺サン,6,-,高圓寺,采用,"预填: 円 为日式简写; 即高円寺唯柚(唯柚), 同人异称",st高円寺ｻﾝﾓ､ﾅﾙﾎどじｬﾅｲでｽﾖ｣
人名(汉字),早倉,早倉サン,5,-,早倉,采用,"姓氏, 繁体同形",_4_｢早倉ｻﾝ? ｼｶｼ……｣
人名(汉字),子,子サマ,4,-,,忽略,校对忽略: お子サマ(小少爷)碎片,ｵ子ｻﾏﾆﾊﾜｶﾝﾅｲﾖｰ｣
人名(汉字),二人,二人サン,3,-,,忽略,校对忽略: お二人さん(二位),｢ｱ､ｵ二人ｻﾝ……｣
人名(汉字),患者,患者サン,3,-,,忽略,校对忽略: 患者さん(病人),cre｢仕事柄､ﾀﾏﾆ患者ｻﾝﾉ秘密ｦ
人名(汉字),母,母サン,3,-,,忽略,校对忽略: お母さん(妈妈),ｵ母ｻﾝﾄｵ兄ﾁｬﾝﾆ内緒で
人名(汉字),妹,妹サン,2,-,,忽略,校对忽略: 妹さん(妹妹),ｵ前ﾉ妹ｻﾝ､ﾊﾙｶﾁｬﾝｶ?
人名(汉字),婆,婆サン,2,-,,忽略,校对忽略: お婆さん(老奶奶),opo｢隣で入院ｼﾃﾀｵ婆ｻﾝﾆ､
人名(汉字),家政婦,家政婦サン,2,-,,忽略,校对忽略: 家政婦さん(家政妇),oth｢家政婦ｻﾝﾊ家政婦ｻﾝだﾖｰ｡
人名(汉字),王子,王子様,2,-,,忽略,校对忽略: 王子様(王子殿下),王子様がｵ姫様ﾄ結ばﾚﾀﾗ
人名(汉字),聞,聞クン,2,-,,忽略,校对忽略: 聞くんすか 动词碎片,_3_｢ﾈｴ､ｵ姉ｻﾏ｡ｺﾉコ達ﾆﾓ聞ｸﾝｽｶ?｣
人名(汉字),花,花サン,2,-,,忽略,校对忽略: 用户判定: お花さん 指代不明,0.ｵ花ｻﾝ～♪｣
人名(汉字),行,行クン,2,-,,忽略,校对忽略: どこ行くんだい 动词碎片,どｺ行ｸﾝだｲ､ｵ嬢ﾁｬﾝ!｣
人名(汉字),野吉勇,野吉勇サン,2,-,,忽略,校对忽略: 姓名截断错位(西野+吉勇),『西野吉勇ｻﾝでｽ』
人名(片假名),ジャック,ジャックサン/ジャック氏,75,JACK,傑克,采用,预填: Jack 音译,O.ジャックｻﾝﾄﾊどｳｲｳ関係?
人名(片假名),ハルカ,ハルカクン/ハルカチャン,74,"HARU,HARUKA",遙,采用,预填: 柏木ハルカ; 备选: 春香/保留ハルカ,U.ﾊﾙｶﾁｬﾝが言葉ﾆ詰ﾏﾙﾄ､
人名(片假名),ミナ,ミナサン,15,-,,忽略,"校对忽略: 皆さん(各位), 非人名",ﾐﾅｻﾝ､全員､僕ﾆ投票ｼﾃｸだｻｲ
人名(片假名),ノ,ノチャン/ノ様,10,-,,忽略,校对忽略: 送假名碎片,｢ﾏずﾊ中ﾉ様子ｦ……｣
人名(片假名),タク,タクサン,9,-,,忽略,校对忽略: たくさん(许多) 碎片,ｱﾅﾀ方ﾉ他ﾆﾓ､ﾀｸｻﾝ人がｲﾙﾉでｽﾖ｣
人名(片假名),トハルカ,トハルカクン/トハルカチャン,9,"HARU,HARUKA",,忽略,校对忽略: 助词+ハルカ 粘连,森崎氏ﾄﾊﾙｶｸﾝﾊ省ｲﾃﾓ良ｲだﾛｳが､
人名(片假名),レ,レサマ/レ様,9,-,,忽略,校对忽略: お疲れ様 碎片,ｵ疲ﾚ様!!
人名(片假名),オッ,オッサン,7,-,,忽略,校对忽略: オッサン(大叔),_4_｢ｵｯｻﾝ､下がｯﾃﾃﾖ!｣
人名(片假名),ボイン,ボインチャン,7,-,巨乳妹,采用,"绰号(ボインちゃん), 具体指谁待游戏内确认; 醬 不在 CP932 字集, 用户改选 巨乳妹",0.ﾖｫ､ボインﾁｬﾝじｬﾈｪｶ｡
人名(片假名),アノオッ,アノオッサン,5,-,,忽略,校对忽略: あのオッサン(那大叔),｢……何ｱﾉｵｯｻﾝ｡
人名(片假名),シ,シサン/シ様,5,-,,忽略,校对忽略: 样态词碎片,少ｼ様子ｦ見ﾃﾐﾙｶ……｣
人名(片假名),タジャック,タジャック氏,5,JACK,,忽略,校对忽略: 助词+ジャック氏 粘连,ｱﾚだｹ悪ぶｯﾃｲﾀジャック氏でｻｴ
人名(片假名),ノオッ,ノオッサン,4,-,,忽略,校对忽略: 西野のオッサン 碎片,_1_｢何が作戦成功だﾖ｡前ﾉ投票じｬ､西野ﾉｵｯｻﾝ
人名(片假名),ントハルカ,ントハルカクン/ントハルカチャン,4,"HARU,HARUKA",,忽略,校对忽略: 助词+ハルカ 粘连,ﾂﾑじｸﾝﾄﾊﾙｶｸﾝが
人名(片假名),イタ,イタ様,3,-,,忽略,校对忽略: 落ち着いた様子 碎片,二人ﾄﾓ落ﾁ着ｲﾀ様子だｯﾀ｡
人名(片假名),トジャック,トジャック氏,3,JACK,,忽略,校对忽略: 助词+ジャック氏 粘连,.stチラリﾄジャック氏ﾉ方ｦ見ﾙ｡
人名(片假名),ニ,ニチャン/ニ様,3,-,,忽略,校对忽略: 様子 碎片,慎重ﾆ様子ｦ伺ｳ香菜ｸﾝｶﾗ
人名(片假名),ハジャック,ハジャック氏,3,JACK,,忽略,校对忽略: 助词+ジャック氏 粘连,ｺﾉﾏﾏでﾊジャック氏ﾆ先ｦ越ｻﾚ……ﾊｯ｣
人名(片假名),ハミナ,ハミナサン,3,-,,忽略,校对忽略: は+皆さん 粘连,今日ﾊﾐﾅｻﾝﾆ殺ｼ合ｲｦｼﾃｲﾀだｷﾏｽ｡
人名(片假名),ユユ,ユユチャン,3,-,,忽略,"校对忽略: 唯柚片假名形, 并入唯柚变体",_3_｢ﾕﾕﾁｬﾝ……だｲｷﾗｲ!｣
人名(片假名),ンモハルカ,ンモハルカクン,3,"HARU,HARUKA",,忽略,校对忽略: 助词+ハルカ 粘连,紅春ｸﾝﾓ､ﾂﾑじｸﾝﾓﾊﾙｶｸﾝﾓ､
人名(片假名),テタ,テタ様,2,-,,忽略,校对忽略: 様子 碎片,紅春ｸﾝﾊ慌ﾃﾀ様子で私ﾆ言ｳﾄ､
人名(片假名),ナ,ナ様,2,-,,忽略,校对忽略: な+様子 碎片,得意げﾅ様子で話ｽ美紀ｸﾝﾆ､
人名(片假名),ニユク,ニユク様,2,-,,忽略,校对忽略: 死にゆく様 碎片,ﾀだ､二人がﾓがｷ苦ｼﾐﾅがﾗ､死ﾆﾕｸ様ｦ見守
人名(片假名),ハ,ハ様,2,-,,忽略,校对忽略: 様々 碎片,樫沢氏ﾊ様々ﾅ作戦ﾉ可能性ｦ試算ｼﾃｲﾃ､
人名(片假名),ハハルカ,ハハルカクン,2,"HARU,HARUKA",,忽略,校对忽略: 助词+ハルカ 粘连,薫ｻﾝﾊﾊﾙｶｸﾝｦﾔﾝﾜﾘﾄ説得ｽﾙ｡
